year,member,tas_global,tas_gis_south,tas_gis_all,scenario
1850,r1i1p3f1,287.65310539908455,256.9933217452885,252.3787410043318,historical
1851,r1i1p3f1,287.4611441472816,258.48475984683495,253.6024755016459,historical
1852,r1i1p3f1,287.2060211602496,256.36906698739614,251.3158171081069,historical
1853,r1i1p3f1,287.3006746162961,256.410507591024,251.46920665282093,historical
1854,r1i1p3f1,287.49967000219556,258.872657037076,253.36252423391028,historical
1855,r1i1p3f1,287.40828029481014,257.5002466569164,252.39247395523125,historical
1856,r1i1p3f1,287.17378823432034,258.6283944340154,253.61700954085336,historical
1857,r1i1p3f1,287.3288522314888,258.38370872948514,253.5222890924826,historical
1858,r1i1p3f1,287.4778070724987,258.4041481623401,253.70049678669474,historical
1859,r1i1p3f1,287.2683457374016,258.79781357326016,254.09005757523573,historical
1860,r1i1p3f1,287.1346516253475,258.7801307266158,253.78376101456107,historical
1861,r1i1p3f1,287.20274251957886,258.73676164272285,253.5701746049712,historical
1862,r1i1p3f1,287.16234714792995,256.66633788146083,251.54871861665126,historical
1863,r1i1p3f1,287.1700422637119,257.57678352621946,252.4013601187173,historical
1864,r1i1p3f1,287.3141616741638,257.8451538719055,253.1057337184856,historical
1865,r1i1p3f1,287.4775351617396,257.9025860886825,253.0143012683716,historical
1866,r1i1p3f1,287.24767782525134,256.91308305623085,252.1904186515343,historical
1867,r1i1p3f1,287.1171857139144,258.79743912534053,253.31476648531006,historical
1868,r1i1p3f1,287.11437090070007,257.37722336589013,252.3612606056612,historical
1869,r1i1p3f1,287.4157113355864,257.42343435173507,252.67008118634743,historical
1870,r1i1p3f1,287.33159416277545,257.3510231395309,252.08445260308645,historical
1871,r1i1p3f1,287.11260762615547,257.0993279683305,252.53656643568092,historical
1872,r1i1p3f1,287.1328414358375,257.85635299959046,252.24165804968416,historical
1873,r1i1p3f1,287.4499027765228,258.0684797871217,253.0536891185657,historical
1874,r1i1p3f1,287.42703644123657,258.2209960466246,253.11829146058497,historical
1875,r1i1p3f1,287.0954970204813,256.31339676721484,251.54390178084225,historical
1876,r1i1p3f1,287.05755873954206,256.84950227068623,252.02346712831473,historical
1877,r1i1p3f1,287.40673712753005,259.6916091494408,254.39793732972439,historical
1878,r1i1p3f1,287.4938719139342,258.50899295475045,253.74661668490583,historical
1879,r1i1p3f1,287.25879253675436,258.3886076312042,253.1159673707583,historical
1880,r1i1p3f1,287.1901666115066,258.53263755911667,252.92380012438693,historical
1881,r1i1p3f1,287.29157993393073,259.613855609314,254.80085873535918,historical
1882,r1i1p3f1,287.4724158146994,259.0876736325719,253.34573616093968,historical
1883,r1i1p3f1,287.1854666862255,258.3487103613772,252.58002102314015,historical
1884,r1i1p3f1,286.7897696486096,256.0952953856326,250.60266488119018,historical
1885,r1i1p3f1,286.75248716170574,257.48363555631573,251.99175793519737,historical
1886,r1i1p3f1,287.08253864770285,258.4900128172891,253.0983616337384,historical
1887,r1i1p3f1,287.3642310960306,258.3075203861705,253.44430656104691,historical
1888,r1i1p3f1,287.4410027739939,257.3666818031668,252.17894493117294,historical
1889,r1i1p3f1,287.2561988635828,257.17812159958817,252.32723381263986,historical
1890,r1i1p3f1,287.1398651133637,257.5012931043706,252.4056200784532,historical
1891,r1i1p3f1,287.11149671801195,258.38188173092277,253.28379659907108,historical
1892,r1i1p3f1,287.4011734776408,258.209621189917,252.820506379421,historical
1893,r1i1p3f1,287.45663111790185,257.4522159045474,252.04383024505069,historical
1894,r1i1p3f1,287.22281566203736,258.05320913731134,252.66527379481346,historical
1895,r1i1p3f1,287.0378014337372,258.0977731397226,252.9983728007752,historical
1896,r1i1p3f1,287.1721427660458,257.57732444825143,252.2948136380473,historical
1897,r1i1p3f1,287.27094881465104,259.0669875086009,254.0526054148451,historical
1898,r1i1p3f1,287.51502028568655,258.34946631713046,253.25275999192982,historical
1899,r1i1p3f1,287.32333698051036,258.2102183116905,253.24163585950112,historical
1900,r1i1p3f1,287.0527827628027,259.0332139127362,253.92475151550954,historical
1901,r1i1p3f1,287.12877306077024,257.99903954699226,252.14422450056986,historical
1902,r1i1p3f1,287.2945187157271,258.63152364842773,253.28889325194928,historical
1903,r1i1p3f1,287.2979400916838,257.19402718968695,252.2047815951421,historical
1904,r1i1p3f1,287.26499965358187,258.3842284004947,253.18761404550065,historical
1905,r1i1p3f1,287.3737373497832,256.5765601538588,251.98790887772012,historical
1906,r1i1p3f1,287.1544706058258,257.5368247994486,252.97777652938362,historical
1907,r1i1p3f1,287.0344156836705,257.79341977412776,252.75302117016165,historical
1908,r1i1p3f1,287.11969920428356,258.2387210781282,253.61106653849373,historical
1909,r1i1p3f1,287.4476749172816,258.366009830668,253.34301994957843,historical
1910,r1i1p3f1,287.52588690569377,257.52120168466655,252.4767508156903,historical
1911,r1i1p3f1,287.2668900499205,259.16953406669313,253.84341272756447,historical
1912,r1i1p3f1,287.0841942129552,257.8867487328341,252.45005491633248,historical
1913,r1i1p3f1,287.1735702295126,257.4369347306053,252.3289597621902,historical
1914,r1i1p3f1,287.44367506244674,257.55534063473453,252.1000934811374,historical
1915,r1i1p3f1,287.246516490309,259.3046288382995,254.6951814638012,historical
1916,r1i1p3f1,287.20814763188633,258.37563402914776,253.57377864171045,historical
1917,r1i1p3f1,287.346860794717,259.377892972226,253.55424664690713,historical
1918,r1i1p3f1,287.56096985497766,258.4938010627516,253.83085661501968,historical
1919,r1i1p3f1,287.3698740697501,258.6434136128171,253.4236849691919,historical
1920,r1i1p3f1,287.2392286586074,257.34221200163483,252.01363038668063,historical
1921,r1i1p3f1,287.4417100698559,257.3289917116916,252.27142524504544,historical
1922,r1i1p3f1,287.5164259819971,258.928770713817,254.37452902157563,historical
1923,r1i1p3f1,287.5611212222706,257.9333356012587,252.59425004473079,historical
1924,r1i1p3f1,287.1688173283044,257.3333994086866,252.444205962718,historical
1925,r1i1p3f1,287.2308681626069,256.11779018980513,251.60295223228806,historical
1926,r1i1p3f1,287.513761301395,257.8768715340795,252.72370464347006,historical
1927,r1i1p3f1,287.52998916910985,256.9738314991505,251.75652217063367,historical
1928,r1i1p3f1,287.24064304174357,257.38646719999673,252.62607781484752,historical
