,gcm,period_scenario,temp_ch_ipcc
0,gfdl-esm4,1851-1870_hist,0.2314093283914862
1,gfdl-esm4,1901-1920_hist,0.4782890459291651
2,gfdl-esm4,1951-1970_hist,0.3922813261424083
3,gfdl-esm4,1995-2014_hist,0.9014670772057074
4,gfdl-esm4,2021-2040_ssp126,1.4937920686638102
5,gfdl-esm4,2041-2060_ssp126,1.6787499590526456
6,gfdl-esm4,2061-2080_ssp126,1.7300556874620256
7,gfdl-esm4,2081-2100_ssp126,1.6844765478705939
8,gfdl-esm4,2021-2040_ssp370,1.4885642277435225
9,gfdl-esm4,2041-2060_ssp370,2.049608082306824
10,gfdl-esm4,2061-2080_ssp370,2.814161774640026
11,gfdl-esm4,2081-2100_ssp370,3.5323195577705016
12,gfdl-esm4,2021-2040_ssp585,1.5298026675789704
13,gfdl-esm4,2041-2060_ssp585,2.189116090090812
14,gfdl-esm4,2061-2080_ssp585,3.048039704331407
15,gfdl-esm4,2081-2100_ssp585,4.0014557774987605
16,ipsl-cm6a-lr,1851-1870_hist,-0.1319130879951369
17,ipsl-cm6a-lr,1901-1920_hist,-0.14352877513127416
18,ipsl-cm6a-lr,1951-1970_hist,0.30289246384682444
19,ipsl-cm6a-lr,1995-2014_hist,0.9133128333724501
20,ipsl-cm6a-lr,2021-2040_ssp126,1.6367149666738983
21,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593139547
22,ipsl-cm6a-lr,2061-2080_ssp126,2.1912082437512557
23,ipsl-cm6a-lr,2081-2100_ssp126,2.1712205610071575
24,ipsl-cm6a-lr,2021-2040_ssp370,1.678163600979215
25,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972372689
26,ipsl-cm6a-lr,2061-2080_ssp370,3.5131146835277165
27,ipsl-cm6a-lr,2081-2100_ssp370,4.677751368627421
28,ipsl-cm6a-lr,2021-2040_ssp585,1.6649100398432553
29,ipsl-cm6a-lr,2041-2060_ssp585,2.843937760024
30,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437495053
31,ipsl-cm6a-lr,2081-2100_ssp585,5.849305065981435
32,mpi-esm1-2-hr,1851-1870_hist,0.08337366134083135
33,mpi-esm1-2-hr,1901-1920_hist,0.10165608524094916
34,mpi-esm1-2-hr,1951-1970_hist,0.35300914643777803
35,mpi-esm1-2-hr,1995-2014_hist,0.9049393721041743
36,mpi-esm1-2-hr,2021-2040_ssp126,1.4691133592064625
37,mpi-esm1-2-hr,2041-2060_ssp126,1.6568309293557495
38,mpi-esm1-2-hr,2061-2080_ssp126,1.6956897319960125
39,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843097294
40,mpi-esm1-2-hr,2021-2040_ssp370,1.4937793639013468
41,mpi-esm1-2-hr,2041-2060_ssp370,2.0926770724958197
42,mpi-esm1-2-hr,2061-2080_ssp370,2.7189609218682524
43,mpi-esm1-2-hr,2081-2100_ssp370,3.4545106517369253
44,mpi-esm1-2-hr,2021-2040_ssp585,1.5283031782943
45,mpi-esm1-2-hr,2041-2060_ssp585,2.1396527272630697
46,mpi-esm1-2-hr,2061-2080_ssp585,2.950346999580557
47,mpi-esm1-2-hr,2081-2100_ssp585,3.9907985395498966
48,mri-esm2-0,1851-1870_hist,0.1909482134172582
49,mri-esm2-0,1901-1920_hist,0.2524782662153826
50,mri-esm2-0,1951-1970_hist,0.3826520650757623
51,mri-esm2-0,1995-2014_hist,0.9222488867731387
52,mri-esm2-0,2021-2040_ssp126,1.7263243102999248
53,mri-esm2-0,2041-2060_ssp126,1.996245332325009
54,mri-esm2-0,2061-2080_ssp126,2.091265990310364
55,mri-esm2-0,2081-2100_ssp126,1.9477882597358271
56,mri-esm2-0,2021-2040_ssp370,1.7054888864292672
57,mri-esm2-0,2041-2060_ssp370,2.404955866490383
58,mri-esm2-0,2061-2080_ssp370,3.105613809191104
59,mri-esm2-0,2081-2100_ssp370,3.8114524972592094
60,mri-esm2-0,2021-2040_ssp585,1.911734937199555
61,mri-esm2-0,2041-2060_ssp585,2.6870070847260714
62,mri-esm2-0,2061-2080_ssp585,3.5416859386434987
63,mri-esm2-0,2081-2100_ssp585,4.59432517550268
64,ukesm1-0-ll,1851-1870_hist,0.3730948422686411
65,ukesm1-0-ll,1901-1920_hist,0.35352889477173166
66,ukesm1-0-ll,1951-1970_hist,0.2374207696881272
67,ukesm1-0-ll,1995-2014_hist,1.0587673328754037
68,ukesm1-0-ll,2021-2040_ssp126,2.1761439039049706
69,ukesm1-0-ll,2041-2060_ssp126,2.7398350147960078
70,ukesm1-0-ll,2061-2080_ssp126,2.9514725925081113
71,ukesm1-0-ll,2081-2100_ssp126,3.0384826229935666
72,ukesm1-0-ll,2021-2040_ssp370,2.3233173796764643
73,ukesm1-0-ll,2041-2060_ssp370,3.4141200058275385
74,ukesm1-0-ll,2061-2080_ssp370,4.4399768005329285
75,ukesm1-0-ll,2081-2100_ssp370,5.840495128134847
76,ukesm1-0-ll,2021-2040_ssp585,2.319732626133144
77,ukesm1-0-ll,2041-2060_ssp585,3.646967577513124
78,ukesm1-0-ll,2061-2080_ssp585,5.230543688749673
79,ukesm1-0-ll,2081-2100_ssp585,6.884361023524889
