,gcm,period_scenario,temp_ch_ipcc,region
74,gfdl-esm4,2061-2080_ssp370,5.403021874200997,RGI03_glacier
75,gfdl-esm4,2081-2100_ssp370,6.92133206051208,RGI03_glacier
76,gfdl-esm4,2021-2040_ssp585,2.68727277475095,RGI03_glacier
77,gfdl-esm4,2041-2060_ssp585,4.080579451470173,RGI03_glacier
78,gfdl-esm4,2061-2080_ssp585,5.890581603014169,RGI03_glacier
79,gfdl-esm4,2081-2100_ssp585,7.945197632960944,RGI03_glacier
80,gfdl-esm4,1851-1870_hist,0.26530393319017387,RGI04_glacier
81,gfdl-esm4,1901-1920_hist,0.5859033642701204,RGI04_glacier
82,gfdl-esm4,1951-1970_hist,0.33039163523263015,RGI04_glacier
83,gfdl-esm4,1995-2014_hist,1.0727685100501625,RGI04_glacier
84,gfdl-esm4,2021-2040_ssp126,2.3843492181312063,RGI04_glacier
85,gfdl-esm4,2041-2060_ssp126,2.660314245811867,RGI04_glacier
86,gfdl-esm4,2061-2080_ssp126,2.7283924428493003,RGI04_glacier
87,gfdl-esm4,2081-2100_ssp126,2.898231205565287,RGI04_glacier
88,gfdl-esm4,2021-2040_ssp370,2.5702322836520524,RGI04_glacier
89,gfdl-esm4,2041-2060_ssp370,2.864873621540428,RGI04_glacier
90,gfdl-esm4,2061-2080_ssp370,4.507872417034514,RGI04_glacier
91,gfdl-esm4,2081-2100_ssp370,6.085090000650405,RGI04_glacier
92,gfdl-esm4,2021-2040_ssp585,2.7548394036392065,RGI04_glacier
93,gfdl-esm4,2041-2060_ssp585,3.7680650371591953,RGI04_glacier
94,gfdl-esm4,2061-2080_ssp585,5.0917345235516045,RGI04_glacier
95,gfdl-esm4,2081-2100_ssp585,7.041672947280505,RGI04_glacier
96,gfdl-esm4,1851-1870_hist,0.07371922285533516,RGI05_glacier
97,gfdl-esm4,1901-1920_hist,0.5668143760303033,RGI05_glacier
98,gfdl-esm4,1951-1970_hist,0.46335162730827273,RGI05_glacier
99,gfdl-esm4,1995-2014_hist,0.9190559186292071,RGI05_glacier
100,gfdl-esm4,2021-2040_ssp126,2.003822361996493,RGI05_glacier
101,gfdl-esm4,2041-2060_ssp126,2.135672561326315,RGI05_glacier
102,gfdl-esm4,2061-2080_ssp126,2.281430508868253,RGI05_glacier
103,gfdl-esm4,2081-2100_ssp126,2.0744446517669695,RGI05_glacier
104,gfdl-esm4,2021-2040_ssp370,1.9247278991188144,RGI05_glacier
105,gfdl-esm4,2041-2060_ssp370,2.8573974659878485,RGI05_glacier
106,gfdl-esm4,2061-2080_ssp370,4.343717641985698,RGI05_glacier
107,gfdl-esm4,2081-2100_ssp370,5.354223128114988,RGI05_glacier
