ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,2000,11.296609136669112,11.321277564750913,9.71759012468736,13.023169131793829,3.305579007106468,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2100,joint,2000,11.00231285198604,11.278272354408196,8.475999539547065,15.018996089933095,6.542996550386031,1.9793798715201272,0.9739482634901674,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,fixed,2000,13.925035642644035,13.959029095377135,11.804458529311038,16.267048533836405,4.462590004525367,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,joint,2000,13.495737758715666,13.849999017147121,10.194539011287244,18.67910364540236,8.484564634115117,1.901264652480106,0.9691707874259448,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,fixed,2000,14.984586673318947,15.016499463231309,12.480980422531104,17.7042991335568,5.223318711025694,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,joint,2000,14.52542857955049,14.892569643347253,10.75292381178145,20.27938750928893,9.52646369750748,1.823833509794922,0.9693579740450219,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,fixed,2000,8.385961089380984,8.440363459432232,6.6136610553282065,10.345367160718551,3.7317061053903444,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,joint,2000,8.244677673478758,8.578292166091284,6.15603303813314,11.9851955910838,5.82916255295066,1.562063674985176,0.9831523883313588,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,fixed,2000,11.55210602962211,11.635191143057009,8.668913247479741,14.63376908279684,5.964855835317099,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,joint,2000,11.223618874728965,11.88457246990104,7.919994284186834,17.830408435880074,9.910414151693239,1.6614675065598445,0.9715647385809278,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2300,fixed,2000,12.992450911341066,13.19336836973449,9.285522322439194,17.819464208836735,8.53394188639754,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvHL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
