pair,construction,lo,mid,hi,n
SSP5-8.5/SSP2-4.5,endpoint_div_lit,7.944954128440367,,31.90816326530612,
SSP5-8.5/SSP2-4.5,endpoint_div_matched,1.9953488372093022,,13.679245283018869,
SSP5-8.5/SSP1-2.6,endpoint_div_lit,10.625766871165643,,53.91379310344827,
SSP5-8.5/SSP1-2.6,endpoint_div_matched,2.69811320754717,,23.387096774193548,
SSP5-8.5/SSP2-4.5,matched_p50_ratio,,6.396103896103896,,
SSP5-8.5/SSP1-2.6,matched_p50_ratio,,8.873873873873874,,
SSP5-8.5/SSP2-4.5,gcm_paired_r2300_CESM2,,4.316949051928729,,1.0
SSP5-8.5/SSP2-4.5,gcm_paired_r2300_MPI-ESM1-2-HR,,2.6914536836099727,,1.0
SSP5-8.5/SSP2-4.5,gcm_paired_range,2.6914536836099727,3.504201367769351,4.316949051928729,2.0
SSP5-8.5/SSP1-2.6,gcm_paired_r2300_CESM2,,5.180913724264394,,1.0
SSP5-8.5/SSP1-2.6,gcm_paired_r2300_MPI-ESM1-2-HR,,4.448647876929406,,1.0
SSP5-8.5/SSP1-2.6,gcm_paired_x2300_CESM2-WACCM,,30.402209651420296,,1.0
SSP5-8.5/SSP1-2.6,gcm_paired_range,4.448647876929406,5.180913724264394,30.402209651420296,3.0
SSP5-8.5/SSP2-4.5,arm::original BRICK (:stock SIMPLE),,1.89915343611381,,
SSP5-8.5/SSP1-2.6,arm::original BRICK (:stock SIMPLE),,2.5551889626251447,,
SSP5-8.5/SSP2-4.5,"arm::Ladrillo L14, untapped",,2.7174947180383193,,
SSP5-8.5/SSP1-2.6,"arm::Ladrillo L14, untapped",,4.987554664617159,,
SSP5-8.5/SSP2-4.5,arm::Ladrillo L14 + V=5.66 cascade,,5.230945234915677,,
SSP5-8.5/SSP1-2.6,arm::Ladrillo L14 + V=5.66 cascade,,9.600616749530953,,
SSP5-8.5/SSP2-4.5,arm::Ladrillo L14 + V=6.00 cascade,,5.381929894940114,,
SSP5-8.5/SSP1-2.6,arm::Ladrillo L14 + V=6.00 cascade,,9.87772648608055,,
