arm,year,construction,n_runs,n_ism,n_gcm,lo_cm,hi_cm,width_cm,cell,ours_cm,in_band
SSP5-8.5 r2300,2150,shipped runs 5-95%,35.0,1.0,5.0,14.900047326523714,48.504000673086864,33.60395334656315,,,
SSP5-8.5 r2300,2150,GCM-cluster min-max,35.0,1.0,5.0,15.045496460340962,44.174805386398056,29.129308926057092,,,
SSP5-8.5 r2300,2150,GCM-cluster t-PI 0.975,35.0,1.0,5.0,-2.2730954088934547,62.97127659396317,65.24437200285662,,,
SSP5-8.5 x2300,2150,shipped runs 5-95%,18.0,3.0,2.0,44.626670209932385,53.245671632611035,8.61900142267865,,,
SSP5-8.5 x2300,2150,GCM-cluster min-max,18.0,3.0,2.0,45.809272256124494,46.434412338542394,0.6251400824179001,,,
SSP5-8.5 x2300,2150,GCM-cluster t-PI 0.975,18.0,3.0,2.0,39.24286579045483,53.00081880421206,13.75795301375723,,,
SSP5-8.5 r2300,2150,shipped runs 5-95%,,,,14.900047326523714,48.504000673086864,,base (no reservoir),28.16318134469826,True
SSP5-8.5 r2300,2150,GCM-cluster min-max,,,,15.045496460340962,44.174805386398056,,base (no reservoir),28.16318134469826,True
SSP5-8.5 r2300,2150,GCM-cluster t-PI 0.975,,,,-2.2730954088934547,62.97127659396317,,base (no reservoir),28.16318134469826,True
SSP5-8.5 r2300,2150,shipped runs 5-95%,,,,14.900047326523714,48.504000673086864,,cell A,35.440004898885384,True
SSP5-8.5 r2300,2150,GCM-cluster min-max,,,,15.045496460340962,44.174805386398056,,cell A,35.440004898885384,True
SSP5-8.5 r2300,2150,GCM-cluster t-PI 0.975,,,,-2.2730954088934547,62.97127659396317,,cell A,35.440004898885384,True
SSP5-8.5 r2300,2150,shipped runs 5-95%,,,,14.900047326523714,48.504000673086864,,WINNER (weighted verdict),44.6184883673494,True
SSP5-8.5 r2300,2150,GCM-cluster min-max,,,,15.045496460340962,44.174805386398056,,WINNER (weighted verdict),44.6184883673494,False
SSP5-8.5 r2300,2150,GCM-cluster t-PI 0.975,,,,-2.2730954088934547,62.97127659396317,,WINNER (weighted verdict),44.6184883673494,True
SSP5-8.5 x2300,2150,shipped runs 5-95%,,,,44.626670209932385,53.245671632611035,,base (no reservoir),45.19137065614943,True
SSP5-8.5 x2300,2150,GCM-cluster min-max,,,,45.809272256124494,46.434412338542394,,base (no reservoir),45.19137065614943,False
SSP5-8.5 x2300,2150,GCM-cluster t-PI 0.975,,,,39.24286579045483,53.00081880421206,,base (no reservoir),45.19137065614943,True
SSP5-8.5 x2300,2150,shipped runs 5-95%,,,,44.626670209932385,53.245671632611035,,cell A,53.1209915645707,True
SSP5-8.5 x2300,2150,GCM-cluster min-max,,,,45.809272256124494,46.434412338542394,,cell A,53.1209915645707,False
SSP5-8.5 x2300,2150,GCM-cluster t-PI 0.975,,,,39.24286579045483,53.00081880421206,,cell A,53.1209915645707,False
SSP5-8.5 x2300,2150,shipped runs 5-95%,,,,44.626670209932385,53.245671632611035,,WINNER (weighted verdict),63.128023482014,False
SSP5-8.5 x2300,2150,GCM-cluster min-max,,,,45.809272256124494,46.434412338542394,,WINNER (weighted verdict),63.128023482014,False
SSP5-8.5 x2300,2150,GCM-cluster t-PI 0.975,,,,39.24286579045483,53.00081880421206,,WINNER (weighted verdict),63.128023482014,False
