scen,block,year,n,emu_med,emu_p05,emu_p95,lad_med,lad_p05,lad_p95,lad_fixed_med,lad_fixed_p05,lad_fixed_p95,lad_cmip6amp_med,lad_cmip6amp_p05,lad_cmip6amp_p95,ratio_cmip6amp,paired_diff_med,paired_diff_p05,paired_diff_p95,ratio_of_medians,frac_samples_lad_below,provenance
ssp126,SLOWG,2100,200,3.9154,1.5212,5.9016,2.9455,1.9198,4.5328,3.0174,2.2301,3.9053,2.5110,1.7191,3.6953,0.6413,-0.6744,-3.1016,1.5683,0.7523,0.7200,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp126,FASTG,2100,200,3.9518,2.4698,5.5720,4.4584,2.9367,6.4434,4.5173,3.3670,5.6462,4.2321,2.8578,5.9797,1.0709,0.5623,-1.3660,2.6564,1.1282,0.3300,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp126,RGI19,2100,200,1.2835,-0.6328,3.2283,0.5792,0.0823,1.6640,0.5911,0.1160,1.4636,0.7686,0.1259,1.9776,0.5988,-0.6053,-2.4508,1.4800,0.4513,0.7100,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp126,sum (excl. RGI 05),2100,200,9.2612,5.5303,12.5566,8.1216,5.4411,11.5175,8.1472,6.3901,9.9057,7.6225,5.2572,10.7362,0.8231,-0.9205,-4.1448,3.0083,0.8769,0.6400,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp245,SLOWG,2100,200,4.8311,2.3228,6.9432,3.5538,2.3868,5.4200,3.6344,2.7112,4.8298,2.8930,1.9637,4.4196,0.5988,-1.0048,-3.3295,1.2118,0.7356,0.7650,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp245,FASTG,2100,200,4.6921,3.2104,6.3484,5.3199,3.4533,7.3324,5.3431,3.9697,6.7257,4.9569,3.2984,6.9457,1.0564,0.5379,-1.4276,2.8395,1.1338,0.3400,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp245,RGI19,2100,200,1.7531,-0.1898,3.6723,0.7896,0.1859,1.9214,0.8041,0.2368,1.7914,1.0763,0.3171,2.5939,0.6139,-0.8437,-2.7528,1.1551,0.4504,0.7450,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp245,sum (excl. RGI 05),2100,200,11.2736,7.3190,14.8576,9.8595,6.6132,13.6749,9.9053,7.7949,11.9099,9.1207,6.2117,13.0566,0.8090,-1.2184,-4.9911,2.3864,0.8746,0.7250,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp585,SLOWG,2100,200,6.6449,4.0304,8.7513,4.8876,3.1795,7.2137,4.9619,3.6468,6.6189,3.7663,2.4634,5.7708,0.5668,-1.5510,-3.7685,0.9212,0.7355,0.8300,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
ssp585,FASTG,2100,200,6.1146,4.5590,8.0047,6.8325,4.5559,9.4706,6.8890,5.1141,8.7544,6.2482,4.1408,8.7175,1.0218,0.6424,-1.4953,3.3729,1.1174,0.3200,"diag_gsic_blocks_vs_emulandice.py @ d4ba1e9; emulandice from FACTS global.shared.<scen>.n200 per-region glac*.nc (base 2005, mm->cm); Ladrillo: driver=diag_gsic_blocks_vs_emulandice.jl; posterior=parameters_subsample_brick_mengel_L24.csv (10000 rows); draws=200 by randperm(MersenneTwister(2026)) applied immediately before the draw selection; climate=shared_vvH (FACTS global.shared.vvH.n200 input, spliced@2014, ref 1995-2014, K rel 1850-1900); run 1850-2300; units cm SLE cumulative melt since 1850 (no re-referencing); nu basis obsfit"
