ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp585,glaciers,2100,fixed,2000,13.154594720956313,13.18392789138217,11.422678800825565,15.051269883513765,3.6285910826881995,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2100,joint,2000,12.912335058614017,13.119593340537406,10.029738879926143,17.13709399577468,7.107355115848538,1.9587093044893713,0.9815836468183732,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2150,fixed,2000,20.555137952615063,20.626158733862795,17.461331171408556,24.064123190515776,6.60279201910722,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2150,joint,2000,20.16848886736283,20.301187607028936,15.609280578203421,25.663181284329433,10.053900706126011,1.522674147092918,0.9811896623538329,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2300,fixed,2000,26.746106883994784,26.85111307277496,22.15503935582237,31.806937623563137,9.651898267740766,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2300,joint,2000,26.14388275116323,26.279107593017464,20.891527598466638,31.859964919814182,10.968437321347544,1.1364020855883867,0.9774836713453825,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2100,fixed,2000,10.05912763536222,10.125900034760882,7.686678229786824,12.621660594241458,4.934982364454634,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2100,joint,2000,9.81575166963495,10.223326438147506,7.110062490901901,14.78180886419572,7.671746373293819,1.554564090958332,0.9758054600210364,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2150,fixed,2000,21.283232665706713,21.43436378730057,14.533448414841208,28.587508220989193,14.054059806147984,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2150,joint,2000,20.29779320227461,21.63843361276081,12.751983695569331,34.602322631639055,21.850338936069726,1.554735018738944,0.9536987882005387,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2300,fixed,2000,45.25177836092978,45.635067878011746,25.746577437538594,66.36434395820217,40.61776652066358,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2300,joint,2000,41.95218155945393,45.99636676379495,22.25842681705116,84.53819133340164,62.27976451635048,1.5333133712476963,0.9270835993414857,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,ais,2100,fixed,2000,38.102037215774246,39.779932010880614,15.344371425109971,69.17474483247574,53.83037340736577,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,ais,2100,joint,2000,36.66310347243951,38.51983086975304,7.401069107852297,74.58427729441709,67.1832081865648,1.248053913320466,0.9622347294664072,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,ais,2150,fixed,2000,94.394460765535,98.11786566573102,59.00600272298805,151.87240409372833,92.86640137074028,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,ais,2150,joint,2000,92.54841610970331,96.73866412729144,50.22416670890581,160.5359920914401,110.3118253825343,1.1878550665719088,0.9804432946503392,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,ais,2300,fixed,2000,281.8923733541551,290.8345248403737,184.8705504266605,427.71437496233256,242.84382453567207,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,ais,2300,joint,2000,277.4035671745437,296.3570014723793,166.96539259017408,480.07060271528894,313.10521012511487,1.2893274544814373,0.9840761701843849,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
