product,zone,window,year0,year1,n_years,amp,dt_eff,dt_mean,dt_last
HadCRUT5,south,full,1901,2024,124,1.971762462383537,0.9449391411070238,0.4140850036476899,1.5378582717332083
HadCRUT5,south,early,1901,1960,60,4.014849131515035,0.2963128173654839,0.13577473541197685,0.2446143426133343
HadCRUT5,south,modern,1961,2024,64,1.7887389836746583,1.0030442856155493,0.6750008801186709,1.5378582717332083
HadCRUT5,all,full,1901,2024,124,2.332072490433994,0.9449391411070238,0.4140850036476899,1.5378582717332083
HadCRUT5,all,early,1901,1960,60,4.0631964782432695,0.2963128173654839,0.13577473541197685,0.2446143426133343
HadCRUT5,all,modern,1961,2024,64,2.176995205112601,1.0030442856155493,0.6750008801186709,1.5378582717332083
HadCRUT5,central,full,1901,2024,124,2.416448663130286,0.9449391411070238,0.4140850036476899,1.5378582717332083
HadCRUT5,central,early,1901,1960,60,4.086347950539291,0.2963128173654839,0.13577473541197685,0.2446143426133343
HadCRUT5,central,modern,1961,2024,64,2.2668559995919373,1.0030442856155493,0.6750008801186709,1.5378582717332083
HadCRUT5,north,full,1901,2024,124,2.5867126542798493,0.9449391411070238,0.4140850036476899,1.5378582717332083
HadCRUT5,north,early,1901,1960,60,3.983022197349297,0.2963128173654839,0.13577473541197685,0.2446143426133343
HadCRUT5,north,modern,1961,2024,64,2.4616286655347164,1.0030442856155493,0.6750008801186709,1.5378582717332083
BerkeleyEarth,south,full,1901,2024,124,1.5101657793813976,0.9497305016081703,0.4067921915853756,1.5405036433114476
BerkeleyEarth,south,early,1901,1960,60,2.632797657911949,0.26961748501758664,0.11861651415980166,0.24698156022484918
BerkeleyEarth,south,modern,1961,2024,64,1.422866465612157,1.0026181852463742,0.6769568891718512,1.5405036433114476
BerkeleyEarth,all,full,1901,2024,124,1.6695779397819928,0.9497305016081703,0.4067921915853756,1.5405036433114476
BerkeleyEarth,all,early,1901,1960,60,2.519883235897457,0.26961748501758664,0.11861651415980166,0.24698156022484918
BerkeleyEarth,all,modern,1961,2024,64,1.6034555801155324,1.0026181852463742,0.6769568891718512,1.5405036433114476
BerkeleyEarth,central,full,1901,2024,124,1.6791020391841882,0.9497305016081703,0.4067921915853756,1.5405036433114476
BerkeleyEarth,central,early,1901,1960,60,2.5223248408646874,0.26961748501758664,0.11861651415980166,0.24698156022484918
BerkeleyEarth,central,modern,1961,2024,64,1.6135304361065717,1.0026181852463742,0.6769568891718512,1.5405036433114476
BerkeleyEarth,north,full,1901,2024,124,1.8404063248499836,0.9497305016081703,0.4067921915853756,1.5405036433114476
BerkeleyEarth,north,early,1901,1960,60,2.3823979607995804,0.26961748501758664,0.11861651415980166,0.24698156022484918
BerkeleyEarth,north,modern,1961,2024,64,1.7982593853305033,1.0026181852463742,0.6769568891718512,1.5405036433114476
GISTEMP,south,full,1901,2024,124,2.2846646737809513,0.9248105564482068,0.3592207387521858,1.5204309325059067
GISTEMP,south,early,1901,1960,60,4.16337051942753,0.1957518693093122,0.06785520977022212,0.20516579846904234
GISTEMP,south,modern,1961,2024,64,2.163909847850855,0.9716711946169149,0.6323759221727767,1.5204309325059067
GISTEMP,all,full,1901,2024,124,3.0394629727279856,0.9248105564482068,0.3592207387521858,1.5204309325059067
GISTEMP,all,early,1901,1960,60,5.3026154137482475,0.1957518693093122,0.06785520977022212,0.20516579846904234
GISTEMP,all,modern,1961,2024,64,2.8939976356705923,0.9716711946169149,0.6323759221727767,1.5204309325059067
GISTEMP,central,full,1901,2024,124,2.981694853057572,0.9248105564482068,0.3592207387521858,1.5204309325059067
GISTEMP,central,early,1901,1960,60,5.205964166974723,0.1957518693093122,0.06785520977022212,0.20516579846904234
GISTEMP,central,modern,1961,2024,64,2.838728749850883,0.9716711946169149,0.6323759221727767,1.5204309325059067
GISTEMP,north,full,1901,2024,124,4.056236259495035,0.9248105564482068,0.3592207387521858,1.5204309325059067
GISTEMP,north,early,1901,1960,60,6.896235280046908,0.1957518693093122,0.06785520977022212,0.20516579846904234
GISTEMP,north,modern,1961,2024,64,3.873693799128997,0.9716711946169149,0.6323759221727767,1.5204309325059067
