,ais,gsic,gis,steric,dang,kind
ais,0.9999999999999999,0.19284616236750676,0.2651990318958125,-0.16545946968935715,0.015149081651351403,levels
gsic,0.19284616236750676,1.0,0.1626690335166339,0.42304993149120335,-0.14276989016026562,levels
gis,0.2651990318958125,0.16266903351663387,1.0,-0.1792157143756032,0.13289636355869502,levels
steric,-0.16545946968935712,0.4230499314912033,-0.1792157143756032,0.9999999999999998,-0.022362655482657517,levels
dang,0.015149081651351403,-0.14276989016026562,0.13289636355869502,-0.022362655482657517,1.0,levels
ais,1.0,-0.11901992637967351,0.06471142299586186,-0.061731575379867086,-0.06115775928052062,innovations
gsic,-0.11901992637967351,1.0,0.18311646609151322,0.09712973301575961,0.09316489823203589,innovations
gis,0.06471142299586186,0.18311646609151322,1.0,0.07457792942911991,0.21809885919305164,innovations
steric,-0.061731575379867086,0.09712973301575961,0.07457792942911991,1.0,0.020526515415483452,innovations
dang,-0.06115775928052061,0.09316489823203589,0.21809885919305164,0.020526515415483452,1.0,innovations
