baseline,block,obs_amp,cmip6_median,cmip6_p05,cmip6_p95,offset,n_models
1850-1900,R19,0.6148560152407081,0.8664158527302106,0.48533550440282275,1.2672836802930514,0.7096546228963857,43
1850-1900,SLOWP,2.4840065397681075,2.856202597967756,1.913156903360861,4.045700377864966,0.8696884953243607,43
1850-1900,FAST,1.4035600996144828,1.4499086200062965,1.1274850869971709,1.6955560466627086,0.9680334886266058,43
1901-1930,R19,0.8168659470901097,0.8682918196794115,0.447514451480931,1.169392292183176,0.940773514820986,43
1901-1930,SLOWP,2.1904825248292057,2.8876552854940076,1.7677906062197204,4.342740285796987,0.758567871945445,43
1901-1930,FAST,1.258106931850894,1.4856332880159104,1.1424037997079417,1.70566969442687,0.8468489108312308,43
1961-1990,R19,0.6520570414914431,0.7604414359899361,0.39813548082328554,1.125968181347863,0.8574717402696512,43
1961-1990,SLOWP,2.332909377918408,2.901846874165777,1.6256081435418976,4.149178033891889,0.8039395182039276,43
1961-1990,FAST,1.373007474084146,1.540099034394189,1.121612259388053,1.8421412243561153,0.8915059638513637,43
1971-2000,R19,0.804973130222748,0.8125130140516076,0.45672108792534644,1.1778137049175188,0.9907202916156852,43
1971-2000,SLOWP,1.9837732609710295,2.800028195711537,1.8173402204666993,4.364577349203894,0.7084833159927939,43
1971-2000,FAST,1.2838144063898698,1.5048272636085733,1.1244065057824317,1.7555637394906562,0.8531307462567397,43
1995-2014,R19,0.6927231458495778,0.8407434716234629,0.3194387718993146,1.1674110621341438,0.8239411535506068,43
1995-2014,SLOWP,2.2239899413846236,2.8668979641457604,1.5795240890444249,4.28417846661075,0.7757478533238619,43
1995-2014,FAST,1.3851197898580416,1.4891063380157372,1.1219439072017288,1.7449102837893649,0.9301684872980531,43
