# geometry joint-prior (standardized, runoff line as T_on=-h0/c): names, mean, sd, lo, hi, then 7x7 correlation C
names,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip0_LOG,ais_runoff_Ton,ais_c
mean,10.803983219053745,780.0119260199738,0.0006282574195086999,1.236704511362016,-0.9185983775741947,-15.635803044193976,97.23491521829128
sd,1.8146745536450215,22.981432678137423,6.241869534698466e-5,0.3409994913939713,0.7434692410998681,5.538678616391889,26.614172731873794
lo,7.050094127655029,740.0018920898438,0.0004504189419094473,0.6000201106071472,-3.6494137408659304,-43.273209157795954,47.5013542175293
hi,13.64998722076416,819.9996337890625,0.0007499916246160865,1.7999885082244873,0.40542950363318675,-5.221713088869225,142.49981689453125
corr,1.0,-0.02785297716087745,0.3051395076053603,0.08113706217449644,0.13469668202930557,-0.08608300236377713,-0.05710244567632249
corr,-0.02785297716087745,1.0000000000000002,0.08817374359387443,0.026831772143646744,-0.05710021538784957,-0.0054642815431093904,-0.0004011229579338179
corr,0.3051395076053603,0.08817374359387443,1.0,-0.1563528226221877,0.2801326584327323,-0.10571276242446853,-0.07267722156291083
corr,0.08113706217449644,0.026831772143646744,-0.1563528226221877,0.9999999999999999,-0.030666987104957202,-0.014531527358269692,0.0021276523464023376
corr,0.13469668202930557,-0.05710021538784957,0.2801326584327323,-0.030666987104957202,1.0,-0.21050318068190677,-0.11387352129043667
corr,-0.08608300236377713,-0.0054642815431093904,-0.10571276242446853,-0.014531527358269692,-0.21050318068190677,0.9999999999999999,0.6399309922051687
corr,-0.05710244567632249,-0.0004011229579338179,-0.07267722156291083,0.0021276523464023376,-0.11387352129043667,0.6399309922051687,0.9999999999999999
