arm,what,median,shift,shift_in_L10_sd,chain_spread,mix_ratio,verdict
L10,"no D2, total IN",0.15026477045760395,0.0,0.0,0.0002489918227916166,0.0,—
L11,both streams,0.1600608739252854,0.00979610346768145,1.31110082377967,0.0004970922766580621,19.70681084313035,REPORTABLE
D2S,steric stream only,0.1613294278413255,0.01106465738372156,1.4808828284120448,0.000960875184397969,11.515186949753582,REPORTABLE
D2G,gsic stream only,0.1526519484072705,0.002387177949666558,0.31949754171566125,0.0017038362652906092,1.401060652538345,NOT RESOLVED at 250k
