year,gis_obs,gis_lo,gis_hi,gis_model,gmst,obs_rate_cm_dec,model_rate_cm_dec
1900,-4.130332357233222,-5.1259090120142154,-3.1363637924194343,-2.600479455996275,0.04278687057272712,NaN,NaN
1901,-4.14182832891291,-5.140909164602106,-3.1563634872436515,-2.5818840433685994,0.04065079748981201,NaN,NaN
1902,-4.110059530084785,-5.110909240896052,-3.1413637161254884,-2.563368708064718,0.03709129019452784,NaN,NaN
1903,-4.069244558160955,-5.065909164602107,-3.091363716125488,-2.5449839472430855,0.024104608813182236,NaN,NaN
1904,-3.986545354669745,-4.865909164602106,-3.1363637924194343,-2.5270620103059147,-0.04058173392154455,NaN,NaN
1905,-3.965610296075995,-4.75590893572027,-3.191363716125488,-2.5113440020856035,-0.0502287387581355,0.4016803995768239,0.15479679339560892
1906,-3.9195184534246272,-4.690909164602107,-3.146363639831543,-2.495944656901162,-0.01661932477455383,0.4263290023803723,0.16330400640056197
1907,-3.8829637354070488,-4.665909164602106,-3.121363639831543,-2.47943416173776,0.0073499159484960086,0.4319528198242195,0.17180108116743753
1908,-3.8119527643377134,-4.590909164602106,-3.0513635635375977,-2.4621086731304263,0.0032795288893885553,0.42735054016113283,0.17128859526096107
1909,-3.7546384638006036,-4.415909164602106,-3.1113637924194344,-2.444926827600614,0.012629578460425776,0.4132923126220702,0.17114069380440355
1910,-3.709659749811346,-4.190909164602107,-3.2263635635375976,-2.4274251666594924,0.023581834986559008,0.4015258026123054,0.17129018170617627
1911,-3.7024556940252134,-4.175909012014215,-3.2263635635375976,-2.4095446308087918,0.02651838104137793,0.37911949157714897,0.1716993893573715
1912,-3.6499250238591983,-4.120909088308161,-3.171363639831543,-2.3915644138719503,0.031440697669898265,0.3619457244873039,0.172732367615005
1913,-3.6160070245916187,-4.075909012014216,-3.1363637924194343,-2.373414122397189,-0.013590963722481485,0.3371035003662115,0.1741041147115041
1914,-3.6001985376531427,-4.05590893572027,-3.1413637161254884,-2.3568244254039814,-0.03193779930124706,0.3197174835205083,0.17566021462300796
1915,-3.567949086969549,-4.015909164602106,-3.121363639831543,-2.340852142281203,-0.015847604629594902,0.2814560699462887,0.177392216364467
1916,-3.5504369562322453,-4.0009090120142154,-3.1063634872436516,-2.324344751624142,0.012168825371994194,0.2549018859863281,0.17932520383773465
1917,-3.4816617792302904,-3.9209090883081608,-3.0413637161254883,-2.3068824280361286,0.03866141057788582,0.24506980895996078,0.18158179226791304
1918,-3.470746785944159,-3.9059089357202694,-3.0413637161254883,-2.2884928100285538,0.054904665147409576,0.23803031921386753,0.18419223755103076
1919,-3.454160482233221,-3.88090893572027,-3.0313634872436515,-2.2695243514105132,0.06824565597143299,0.24615196228027392,0.18709335009457817
1920,-3.4362096613103685,-3.860909240896052,-3.021363639831543,-2.2500745713725965,0.08086644001958665,0.27002418518066396,0.19022489014357546
1921,-3.420304281061346,-3.8459090883081606,-3.0013635635375975,-2.2301642259742525,0.07830664407460948,0.3144984436035152,0.19343049586645122
1922,-3.4399301355535346,-3.850909012014216,-3.0263635635375974,-2.2103526714630237,0.08940295789174955,0.367643432617188,0.1964211632502355
1923,-3.4075719659978687,-3.820909088308161,-3.0013635635375975,-2.1901333219289785,0.08346828759765841,0.4320794677734372,0.1990495551403626
1924,-3.348880941217596,-3.745909088308161,-2.9513635635375977,-2.1701390070629887,0.07533858370796327,0.5133132171630859,0.20113910406262647
1925,-3.3296964471990402,-3.7209090883081606,-2.9313634872436514,-2.1504493205787187,0.08358918557646214,0.6166899108886721,0.20287111820437076
1926,-3.227677327936346,-3.610909240896052,-2.836363792419434,-2.1304587840718656,0.09590406320349164,0.7152418899536137,0.20439415018028484
1927,-3.1523057764226743,-3.5359092408960526,-2.7613637924194343,-2.1100129853822156,0.10618546388403283,0.8039294052124024,0.2057498981520567
1928,-3.0399404352361508,-3.4159091646021063,-2.661363792419434,-2.0891839809459642,0.11862892041130378,0.902412948608398,0.20711798158629358
1929,-2.9371179407293146,-3.3009090120142153,-2.5713636398315427,-2.067885596150599,0.12024737950952173,0.9718404769897457,0.20875738503278307
1930,-2.8757768457586117,-3.2409091646021064,-2.51136360168457,-2.0465297902194766,0.10311121917908084,1.0158521652221677,0.21057440399474125
1931,-2.6913759058172047,-3.0509090120142157,-2.331363677978516,-2.0258305138106567,0.11135885646778992,1.0301412200927738,0.21256025291911862
