family,year,SSP1-2.6,SSP2-4.5,SSP5-8.5
Yelmo,2100,6.711606280197451,11.09721324556963,18.678273871387223
Yelmo,2150,9.294387523370654,22.010317157974814,48.835319657835676
Yelmo,2300,18.726271911847395,58.43420754103358,173.86111435220658
PISM,2100,10.37919726743883,10.850342677990746,18.82678084239242
PISM,2150,16.029889158174175,20.767254510199436,49.61103233538249
PISM,2300,32.42676143110547,54.970483219138856,177.66298482692386
SICOPOLIS,2100,7.823168356625919,10.671016759021438,17.831303886994256
SICOPOLIS,2150,12.237110440629417,20.94009883320446,46.415600389828334
SICOPOLIS,2300,25.342268240749938,55.29807363850872,164.80151324518786
"Ladrillo 1.0 (L10, A+B + amp law)",2100,6.179526232845555,8.165429317476807,13.573988412241311
"Ladrillo 1.0 (L10, A+B + amp law)",2150,7.150996507474817,11.469524093641756,26.09113108335842
"Ladrillo 1.0 (L10, A+B + amp law)",2300,7.788135261393842,14.565897579260572,39.09962014294884
