term,A_chain,Ap_reopt,B_SC,d_B_minus_Ap
flow_ais,114.16139034748676,114.16139034748676,114.33811490887118,0.17672456138441817
flow_gsic,-16.816414527983724,-16.79500793571753,-42.31684203940647,-25.52183410368894
flow_gis,82.33666151237219,82.33666151237219,82.33666151237219,0.0
flow_steric,13.41830058958725,13.41830058958725,13.41830058958725,0.0
flow_dang,-166.09646293011076,-165.9770461953423,-171.48099159263597,-5.503945397293677
smb_anchor,-5.6918722719259005,-5.6918722719259005,-5.691868494474964,3.7774509369370435e-6
inv_A2,1.3787368391969035,1.3787368391969035,1.8321172387578883,0.45338039956098486
lec_A2b,1.7834884688596016,1.7834884688596016,3.781239772589746,1.9977513037301446
prior_gic,-2.499337988153858,-2.499337988153858,1.221268578847145,3.7206065670010027
prior_other,23.92959754066341,23.92959754066341,23.92959754066341,0.0
prior_noise,-9.176304538976357,-9.176288870670533,-9.176680070694498,-0.0003912000239658653
TOTAL,36.72778304101551,36.868622036356,12.190917944476926,-24.677704091879075
