component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.2698412698412698,0.4365079365079365,-0.4587160417256302,true
glaciers,124,0.7016129032258065,1.0,0.061774012989580115,true
gis,126,0.3492063492063492,0.9126984126984127,-0.14140262114484423,true
te,126,0.4126984126984127,1.0,0.26288712424105115,true
total,125,0.728,NaN,-0.2728213317449804,false
