model,pair,component,horizon,penalty_cm,diff_of_medians_cm,se_cm,mean_cm,p05_cm,p95_cm,ref_level_cm,n
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),glaciers,2100,2.1335160761510905,2.1458690724220233,0.01393145425618764,2.188377780953706,1.4630199685314782,3.091479862567938,7.309820492812335,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),glaciers,2150,1.8604305456166905,1.847630803759838,0.012032070071541133,1.900334803344632,1.2804184238220109,2.6706966646857273,8.731260476617948,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),glaciers,2300,1.073673311629947,1.0580286186966834,0.013246090817179515,1.0475960540149913,0.24736252739593853,1.7621090990477282,10.591513357476895,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),gis,2100,1.9347683571966616,1.9479060866254878,0.015499716067942555,2.027162043694961,1.3140513369320246,3.0181101460585,5.975576376125726,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),gis,2150,1.4263840081092036,1.431261387523982,0.012943249137597842,1.502628907806577,0.9261369036990813,2.3572485923470072,6.970982453826565,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),gis,2300,0.5476671451410171,0.3365912792341774,0.024133595879334682,0.3429901634696347,-1.5818810634402933,1.2180959451217084,8.284575257437321,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),ais,2100,1.2642976382528648,1.5122144306815466,0.6046113048485201,13.780407284308861,0.5075542693596236,62.59999926479102,4.381365045894871,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),ais,2150,1.5401274724602665,1.9731895922534441,0.7211073511899665,15.814506816706675,0.598198693975979,72.95889077166551,6.547551762827851,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),ais,2300,1.5770943089564176,2.575235557240296,0.8349096011506678,14.64529952860263,0.3799863221993867,70.83417334259548,12.347034069775667,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),te,2100,3.1676969141168074,3.1469055457197683,0.02545459286803309,3.2245588154302114,1.8453121640488839,4.878780070226983,10.934297867385698,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),te,2150,2.274295585916418,2.24926907941982,0.028469694335398213,2.384002783331197,0.9097738196376528,4.261628383999179,13.054693596224446,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),te,2300,1.399666926601979,0.9344645017211164,0.0555414805072314,1.0732486098462017,-2.870999463620294,3.3068284226281355,17.874792567351577,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),lws,2100,0.0,0.0,0.0,0.0,0.0,0.0,2.596380650083528,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),lws,2150,0.0,0.0,0.0,0.0,0.0,0.0,4.2307986469202445,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),lws,2300,0.0,0.0,0.0,0.0,0.0,0.0,8.483616077316128,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),total,2100,9.070729398990986,11.271919983787768,0.6171160899618111,21.22050592438774,6.035802704821236,70.49990824057691,31.295694313166152,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),total,2150,7.77536511072995,10.965016970640654,0.7309222175844783,21.601473311189082,4.826877138380532,78.84537249042049,39.68170769640263,2000
Ladrillo L24,ssp534over - ssp126 (MAGICC climate),total,2300,5.6492102721414845,9.581656737427721,0.8453442070296002,17.109134355933456,0.2562741255648058,72.430552901294,57.92058942975386,2000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),glaciers,2100,1.986145436719534,1.9807540802217023,0.01354016886117115,2.022123886404165,1.5385907053331531,2.633129665851959,11.350366782133529,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),glaciers,2150,2.0942712757288575,2.2001710462929616,0.017037603827354135,2.116807567258333,1.4676944583867633,2.8610383413943175,15.843191106444063,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),glaciers,2300,1.2657972586778676,1.2036484628576183,0.03378188076191071,1.1915395248876706,-0.5852761454736688,2.365569157240903,24.764468623509295,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),gis,2100,0.6399824992810554,0.6339917501250119,0.02085097961648319,0.7574010480246249,0.15404198263269553,1.6982693483656908,6.359165927255455,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),gis,2150,0.7759072201563022,0.7867721566697341,0.024806906233572366,0.9095798162061175,0.17900649301517024,2.0188031592109907,9.428364270532704,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),gis,2300,0.6607932399303795,0.6917088611413718,0.028972018511295515,0.7505393921617493,-0.22799870543055434,1.9667608991913186,17.532364750157733,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),ais,2100,8.431545060031302,16.873003080370935,0.9338522041545388,19.349920059867458,-0.6648988439311537,66.65011305149368,4.253750024958029,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),ais,2150,9.968024789568119,16.48211329997989,1.1226649058510383,22.12162356032318,-0.8175997557874033,77.81615234740502,6.4667309130288295,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),ais,2300,8.278625939425503,15.186000047798357,1.3822373292390122,19.712538306241157,-1.4994582666712957,84.15468023641138,12.708687634361597,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),te,2100,2.9328881286086723,2.992186423066663,0.040309461223689204,3.035846222174843,1.5175851141340873,4.968139487455327,10.070975757827771,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),te,2150,2.081538314011592,2.13483796092215,0.04108005587504172,2.240317012054561,0.814891492891681,4.207665736683413,12.048800782569284,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),te,2300,1.2680899162752315,0.6039709057683424,0.08044440426173624,0.9732588008240006,-3.0393700559010415,3.2701474249532234,16.626807413912303,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),lws,2100,0.0,0.0,0.0,0.0,0.0,0.0,2.342515618878139,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),lws,2150,0.0,0.0,0.0,0.0,0.0,0.0,4.0429579468315175,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),lws,2300,0.0,0.0,0.0,0.0,0.0,0.0,8.89738572754609,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),total,2100,15.45710018356148,22.714801584697675,0.9482440146296415,25.16529121647109,3.813986684232658,73.03056308580736,34.52824990133073,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),total,2150,15.433953639991635,21.844813581387257,1.1373307802180883,27.388327955842193,3.318399578040696,84.1620921327158,48.06384224602462,1000
BRICK 2.0,ssp534over - ssp126 (MAGICC climate),total,2300,11.715931655410898,19.36316714813931,1.4053319455179292,22.627876024114578,-0.1353053231801375,84.55972950316398,80.96487432670567,1000
