ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvLN,glaciers,2100,fixed,2000,8.152513330286602,8.185402122814558,7.122702749816183,9.349795487396916,2.2270927375807332,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2100,joint,2000,7.41598143112186,7.573782757644117,6.0331687273942105,9.679730217480753,3.646561490086542,1.6373640075930391,0.9096558485309647,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2150,fixed,2000,9.537440617418397,9.579323459418323,8.21329143030168,11.082361128271726,2.869069697970046,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2150,joint,2000,8.202183254351,8.384077219933415,6.612250540399105,10.837106013229558,4.224855472830453,1.4725524011562587,0.8599983563065344,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2300,fixed,2000,9.792458375248962,9.850535364484324,8.283852289512396,11.556552782833025,3.272700493320629,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2300,joint,2000,6.329821394482337,6.307986523516189,3.523102399169085,8.869641618028634,5.346539218859549,1.6336781290470945,0.6463975798438264,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2100,fixed,2000,6.340099791248081,6.328219584238809,5.1309352094889515,7.44996423794098,2.3190290284520287,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2100,joint,2000,5.848981068886223,5.93357447236254,4.607110315248969,7.500215132362683,2.8931048171137146,1.2475500658328913,0.9225376983750632,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2150,fixed,2000,8.016900128963396,8.022059946160592,6.2612785730006095,9.79843017012213,3.53715159712152,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2150,joint,2000,6.783013132278022,6.911100324334822,5.080604011758248,9.05588436571749,3.975280353959243,1.1238648513663552,0.846089264324549,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2300,fixed,2000,7.413199634799793,7.490241559421629,5.0850355150428275,10.177334833742844,5.092299318700016,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
