scenario,cap,dt_bin,median,n_models,monotone_decreasing,bump_above_hold,bump_lo95,bump_hi95,slope_above_hold,slope_lo95,slope_hi95
ssp126,2.75,0.75,1.3483562632487147,9,False,,,,,,
ssp126,2.75,1.25,1.4642674457272973,9,False,,,,,,
ssp126,2.75,1.75,1.5809459471127645,9,False,,,,,,
ssp126,2.75,2.25,1.4913758766460767,9,False,,,,,,
ssp126,2.75,2.75,1.5962593776683076,9,False,,,,,,
ssp126,3.25,0.75,1.3483562632487147,9,False,,,,,,
ssp126,3.25,1.25,1.4642674457272973,9,False,,,,,,
ssp126,3.25,1.75,1.5809459471127645,9,False,,,,,,
ssp126,3.25,2.25,1.4913758766460767,9,False,,,,,,
ssp126,3.25,2.75,1.5962593776683076,9,False,,,,,,
ssp126,3.75,0.75,1.3483562632487147,9,False,,,,,,
ssp126,3.75,1.25,1.4642674457272973,9,False,,,,,,
ssp126,3.75,1.75,1.5809459471127645,9,False,,,,,,
ssp126,3.75,2.25,1.4913758766460767,9,False,,,,,,
ssp126,3.75,2.75,1.5962593776683076,9,False,,,,,,
ssp126,4.25,0.75,1.3483562632487147,9,False,,,,,,
ssp126,4.25,1.25,1.4642674457272973,9,False,,,,,,
ssp126,4.25,1.75,1.5809459471127645,9,False,,,,,,
ssp126,4.25,2.25,1.4913758766460767,9,False,,,,,,
ssp126,4.25,2.75,1.5962593776683076,9,False,,,,,,
ssp126,4.75,0.75,1.3483562632487147,9,False,,,,,,
ssp126,4.75,1.25,1.4642674457272973,9,False,,,,,,
ssp126,4.75,1.75,1.5809459471127645,9,False,,,,,,
ssp126,4.75,2.25,1.4913758766460767,9,False,,,,,,
ssp126,4.75,2.75,1.5962593776683076,9,False,,,,,,
ssp245,2.75,0.75,1.5332815886857554,27,False,,-0.07659244125552575,0.10988429178554399,,,
ssp245,2.75,1.25,1.5885698931884935,27,False,,-0.07659244125552575,0.10988429178554399,,,
ssp245,2.75,1.75,1.473500148296479,27,False,,-0.07659244125552575,0.10988429178554399,,,
ssp245,2.75,2.25,1.3396721298400518,27,False,,-0.07659244125552575,0.10988429178554399,,,
ssp245,2.75,2.75,1.3269547029508084,27,False,,-0.07659244125552575,0.10988429178554399,,,
ssp245,3.25,0.75,1.4784663893065497,18,False,0.02360239898809624,-0.07183140905136365,0.0953860963766715,,,
ssp245,3.25,1.25,1.6007435979540805,18,False,0.02360239898809624,-0.07183140905136365,0.0953860963766715,,,
ssp245,3.25,1.75,1.4623759759536328,18,False,0.02360239898809624,-0.07183140905136365,0.0953860963766715,,,
ssp245,3.25,2.25,1.338519764869742,18,False,0.02360239898809624,-0.07183140905136365,0.0953860963766715,,,
ssp245,3.25,2.75,1.35662158870646,18,False,0.02360239898809624,-0.07183140905136365,0.0953860963766715,,,
ssp245,3.25,3.25,1.3802239876945563,18,False,0.02360239898809624,-0.07183140905136365,0.0953860963766715,,,
ssp245,3.75,0.75,1.2005974362695664,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp245,3.75,1.25,1.3988567096019875,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp245,3.75,1.75,1.4623759759536328,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp245,3.75,2.25,1.4523775707311986,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp245,3.75,2.75,1.4175931630530494,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp245,3.75,3.25,1.4169270186627974,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp245,3.75,3.75,1.4662670470994308,10,False,-0.0006661443902520325,-0.08115488466850773,0.03766180070416958,0.03868927908351532,-0.10797226394744004,0.12344740771555489
ssp585,2.75,0.75,1.489306316299261,40,True,,-0.031107794280650657,0.04799518636231315,,,
ssp585,2.75,1.25,1.4636750738150583,40,True,,-0.031107794280650657,0.04799518636231315,,,
ssp585,2.75,1.75,1.3610774312987293,40,True,,-0.031107794280650657,0.04799518636231315,,,
ssp585,2.75,2.25,1.3402286139863342,40,True,,-0.031107794280650657,0.04799518636231315,,,
ssp585,2.75,2.75,1.302968824148437,40,True,,-0.031107794280650657,0.04799518636231315,,,
ssp585,3.25,0.75,1.539250617408364,39,False,0.001155350058076099,-0.037433969715775284,0.03645310917603206,,,
ssp585,3.25,1.25,1.4258983578805735,39,False,0.001155350058076099,-0.037433969715775284,0.03645310917603206,,,
ssp585,3.25,1.75,1.3601922131729705,39,False,0.001155350058076099,-0.037433969715775284,0.03645310917603206,,,
ssp585,3.25,2.25,1.3456764248537643,39,False,0.001155350058076099,-0.037433969715775284,0.03645310917603206,,,
ssp585,3.25,2.75,1.3097308422611227,39,False,0.001155350058076099,-0.037433969715775284,0.03645310917603206,,,
ssp585,3.25,3.25,1.3108861923191988,39,False,0.001155350058076099,-0.037433969715775284,0.03645310917603206,,,
ssp585,3.75,0.75,1.5778755530139428,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,3.75,1.25,1.5096209795946753,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,3.75,1.75,1.3736444334145865,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,3.75,2.25,1.3514458975177484,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,3.75,2.75,1.3152619637594665,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,3.75,3.25,1.339421933324469,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,3.75,3.75,1.3148207267855359,34,False,0.024159969565002548,-0.03114701598623637,0.03645310917603206,-0.004653533710639577,-0.04931274482402893,0.027206903298156563
ssp585,4.25,0.75,1.5971385752247464,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,1.25,1.541768099549423,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,1.75,1.411607104362468,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,2.25,1.3718079662849303,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,2.75,1.3170574493460303,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,3.25,1.339604958288498,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,3.75,1.319419409468717,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.25,4.25,1.3014764432937875,25,False,0.022547508942467598,-0.052096513964209334,0.04168323406398936,-0.016875877367617788,-0.06002629992313839,0.0508909021903596
ssp585,4.75,0.75,1.5971385752247464,21,False,0.014679386283447782,-0.03130680385648166,0.0433981522527469,-0.016420494380897117,-0.04252975311010691,0.045913913590772924
ssp585,4.75,1.25,1.4258983578805735,21,False,0.014679386283447782,-0.03130680385648166,0.0433981522527469,-0.016420494380897117,-0.04252975311010691,0.045913913590772924
