ssp,horizon,arm,label,tant_target,tant_realised,gmst_pctile,n_draws,med_cm,p05_cm,p95_cm,spread_cm,vs_control_med
ssp585,2100,control,shipped MEAN driver,NaN,6.5675371541300525,NaN,2000,37.07302382802588,16.45111107047176,67.00880260515375,50.557691534681986,1.0
ssp585,2100,tant12,Coulon coldest,12.0,11.997234199359593,98.0,2000,48.58205066159971,26.89731888734063,78.83410826445339,51.93678937711276,1.3104420855164616
ssp585,2100,tant14,Coulon midpoint,14.5,14.058220794982049,99.4,2000,63.31033294368237,36.40273160197623,99.78334494820052,63.380613346224294,1.7077196949826903
ssp585,2100,tant17,Coulon hottest,17.0,16.636847761823386,99.8,2000,64.58579092199679,37.3377616652555,100.30220472140053,62.96444305614503,1.7421236320402933
ssp585,2150,control,shipped MEAN driver,NaN,6.5675371541300525,NaN,2000,94.34845106432459,53.76145648576979,148.5505844726424,94.78912798687261,1.0
ssp585,2150,tant12,Coulon coldest,12.0,11.997234199359593,98.0,2000,116.29029055461437,69.25024890818125,177.0031940516974,107.75294514351614,1.2325617351717872
ssp585,2150,tant14,Coulon midpoint,14.5,14.058220794982049,99.4,2000,142.15655337109243,86.24701555150638,216.31049621892168,130.06348066741532,1.5067184650882437
ssp585,2150,tant17,Coulon hottest,17.0,16.636847761823386,99.8,2000,150.5712925776161,92.02252786891373,230.5611774730974,138.53864960418366,1.595906354360392
ssp585,2300,control,shipped MEAN driver,NaN,6.5675371541300525,NaN,2000,281.1895243759867,168.34130464984796,420.69676856599915,252.3554639161512,1.0
ssp585,2300,tant12,Coulon coldest,12.0,11.997234199359593,98.0,2000,394.8550081495573,244.04620027643801,614.3225202434379,370.2763199669999,1.404230861821101
ssp585,2300,tant14,Coulon midpoint,14.5,14.058220794982049,99.4,2000,491.70132658336416,295.81456551305166,823.4705173744564,527.6559518614048,1.7486473853339428
ssp585,2300,tant17,Coulon hottest,17.0,16.636847761823386,99.8,2000,581.4470710016055,343.16871247608583,1052.1803192982968,709.011606822211,2.067811993679166
