source,module,scenario,component,year,med,p05,p17,p83,p95,band_basis
BRICK 2.0,BRICK2.0,ssp126,ais,2100,5.026188099344413,1.4789976617354592,2.7328173646763183,31.50125253031997,65.41853211191265,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp126,ais,2150,7.720036053472233,2.098857274825266,4.12181229059753,59.31032423195085,117.36878244078972,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp126,ais,2300,15.23517041165079,4.5874666075764425,8.65806441857925,135.4591008025023,263.89771890727803,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp245,ais,2100,24.78404345320415,2.1179948491298917,4.486149537414044,49.86577915893078,70.22858570584235,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp245,ais,2150,67.13114368954669,3.8674788601594505,9.512074796986168,108.21207290349521,139.15857084379766,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp245,ais,2300,187.26547580009407,9.310546821404895,27.425905426894424,289.19869167785544,362.14706553087063,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp585,ais,2100,43.2711255425381,16.240223783269396,26.319839929590078,63.788246977029814,81.29373311382417,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp585,ais,2150,98.06631395378528,49.29214782593245,65.03534200992506,137.64103970680574,175.34787629125296,joint (BRICK 2.0 posterior x FaIR forcing)
BRICK 2.0,BRICK2.0,ssp585,ais,2300,275.4424961905076,136.887262314432,187.16963107468285,406.2352219941312,542.1159046604685,joint (BRICK 2.0 posterior x FaIR forcing)
FACTS,ar5AIS,ssp126,ais,2100,5.861146354675293,-4.84630880355835,-2.1328656578063967,13.04668829345703,15.87110939025879,climate + parameter
FACTS,ar5AIS,ssp126,ais,2150,12.528918075561524,-10.438874092102052,-5.039001438140867,27.58162976074218,33.587734375000004,climate + parameter
FACTS,ar5AIS,ssp245,ais,2100,5.216113281250001,-5.5060888671875,-2.7124913654327374,12.522611061096187,15.434013061523435,climate + parameter
FACTS,ar5AIS,ssp245,ais,2150,10.52034492492676,-12.974727172851562,-6.831678756713868,25.942931518554683,32.14032455444336,climate + parameter
FACTS,ar5AIS,ssp585,ais,2100,4.301856803894044,-7.116488075256348,-3.981447963714597,11.941784378051755,14.811744766235352,climate + parameter
FACTS,ar5AIS,ssp585,ais,2150,6.933173751831055,-18.81601760864258,-11.889587005615232,23.23383053588867,29.65253494262695,climate + parameter
FACTS,bamber19,ssp126,ais,2100,10.336666870117188,-9.025583419799805,-0.5493333301544187,36.30296606445312,95.98616638183591,climate + parameter
FACTS,bamber19,ssp126,ais,2150,20.582786560058594,-14.425200958251953,-1.2877741432189933,67.961567199707,166.39264526367188,climate + parameter
FACTS,bamber19,ssp245,ais,2100,11.429166793823242,-9.411333122253415,0.0412866665124902,45.56756585693359,103.79416259765622,climate + parameter
FACTS,bamber19,ssp245,ais,2150,22.03679580688477,-15.289174423217773,-0.1540358940362872,79.8520414428711,228.00364013671867,climate + parameter
FACTS,bamber19,ssp585,ais,2100,15.659165954589843,-10.302333145141604,-0.5159333143234252,57.23597930908203,115.80066955566396,climate + parameter
FACTS,bamber19,ssp585,ais,2150,28.31355895996094,-12.731359291076656,-0.137232859253878,118.45063110351556,492.9052246093748,climate + parameter
FACTS,deconto21,ssp126,ais,2100,9.03550033569336,6.413999938964844,6.9059997558593755,13.541000366210938,33.949799041748,climate + parameter
FACTS,deconto21,ssp126,ais,2150,27.637001037597656,12.283999633789064,14.757088867187502,51.86775659179688,254.79234374999973,climate + parameter
FACTS,deconto21,ssp245,ais,2100,10.489499664306642,6.691999816894532,7.138999938964844,26.441998291015626,47.14389831542967,climate + parameter
FACTS,deconto21,ssp245,ais,2150,30.378001403808597,14.021800384521486,16.88873052978516,171.1175512695311,319.8080078125,climate + parameter
FACTS,deconto21,ssp585,ais,2100,18.983001708984375,6.98600082397461,8.71713023376465,44.674249420166014,58.919995117187504,climate + parameter
