ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvH,glaciers,2100,fixed,2000,11.290778397376332,11.318074768477484,9.72406474712011,13.011045560774832,3.286980813654722,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2100,joint,2000,11.052697515218732,11.283274492221452,8.721881440968122,14.600599349312164,5.878717908344042,1.788485616929301,0.9789136874555147,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2150,fixed,2000,17.462828595854432,17.488228697214637,14.703759682351093,20.449012228121745,5.7452525457706525,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2150,joint,2000,17.02690261988124,17.296587639304782,13.141900340127538,22.234765060577672,9.092864720450134,1.5826745035157443,0.9750369206465969,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2300,fixed,2000,25.68080898837721,25.730746444309712,21.184889527388655,30.7010121232525,9.516122595863845,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2300,joint,2000,25.022973833156076,25.146788481241543,19.64068091852318,31.121321939176966,11.480641020653785,1.2064410588451027,0.9743841731964573,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2100,fixed,2000,8.39659182649649,8.456793330177941,6.654640325715788,10.361253367155685,3.706613041439897,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2100,joint,2000,8.301105782124626,8.541285137487412,6.222263416451991,11.61651616785953,5.394252751407539,1.4553050699114924,0.988627999747404,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2150,fixed,2000,15.713015559491954,15.898526078987603,11.492199417576849,20.556790892572305,9.064591474995456,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2150,joint,2000,15.296874919911506,16.347072522020767,10.290885756367068,26.149496895971023,15.858611139603955,1.7495119535557342,0.9735161823009165,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2300,fixed,2000,60.229166553035064,60.647139452488645,45.78442633197474,77.32757271218861,31.54314638021387,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2300,joint,2000,53.41924723481388,57.408618757676265,21.53159681584707,109.92262374130398,88.39102692545691,2.8022260639446586,0.886933196855303,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2100,fixed,2000,24.791621906236877,26.405543705300982,4.844469760417801,57.9832555162617,53.1387857558439,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2100,joint,2000,22.577392560977067,25.979221009241815,4.320521315564246,62.87248145468246,58.55196013911821,1.101868612657921,0.9106863861656921,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2150,fixed,2000,73.22139665897282,75.83066843523923,32.254985211521216,129.3363057414991,97.08132052997789,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2150,joint,2000,69.77654216308807,72.67656061626344,11.720194394994612,135.40149867898984,123.68130428399523,1.2739969296750913,0.9529528982910679,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,ais,2300,fixed,2000,238.71194004347944,248.4599034562141,149.2184785535744,376.62646189550145,227.40798334192704,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvH | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
