arm,anchor_ssp,anchor_horizon,lambda_rescale,ssp,horizon,med_cm,spread_cm,vs_n0_med,domain
n0p25,ssp245,2300,2.297257681757089,ssp126,2100,4.403186231159361,2.0304424846299027,0.0,ok
n0p25,ssp245,2300,2.297257681757089,ssp126,2150,6.770474117406273,3.251237015098754,0.0,ok
n0p25,ssp245,2300,2.297257681757089,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p25,ssp245,2300,2.297257681757089,ssp245,2100,5.57827115412663,38.74432421195421,-0.006058240209276811,ok
n0p25,ssp245,2300,2.297257681757089,ssp245,2150,11.68975986919627,115.74824480630559,-0.21560504258395596,ok
n0p25,ssp245,2300,2.297257681757089,ssp245,2300,130.58055312068362,377.0750704169887,-0.7680640634148119,ok
n0p25,ssp245,2300,2.297257681757089,ssp585,2100,49.12313175922878,79.767230195914,12.050107931202895,ok
n0p25,ssp245,2300,2.297257681757089,ssp585,2150,149.4588504261627,169.66706317986498,55.11039936183812,ok
n0p25,ssp245,2300,2.297257681757089,ssp585,2300,500.1870658749012,507.0435744120393,218.99754149891447,ok
n0p25,ssp585,2100,1.6448649644721096,ssp126,2100,4.403186231159361,2.0304424846299027,0.0,ok
n0p25,ssp585,2100,1.6448649644721096,ssp126,2150,6.770474117406273,3.251156930554645,0.0,ok
n0p25,ssp585,2100,1.6448649644721096,ssp126,2300,13.46796868902489,6.556878366354805,0.0,ok
n0p25,ssp585,2100,1.6448649644721096,ssp245,2100,5.564821250104548,28.037612068375452,-0.019508144231358493,ok
n0p25,ssp585,2100,1.6448649644721096,ssp245,2150,11.610002046801755,84.60763620042448,-0.2953628649784701,ok
n0p25,ssp585,2100,1.6448649644721096,ssp245,2300,99.6760345349138,272.9157152048489,-31.672582649184633,ok
n0p25,ssp585,2100,1.6448649644721096,ssp585,2100,37.134662763674115,57.50658787767808,0.06163893564823297,ok
n0p25,ssp585,2100,1.6448649644721096,ssp585,2150,111.91226166581956,122.43236601870169,17.563810601494964,ok
