year,tglac,gsic_k0.0097_nu0.0,gsic_k0.006_nu1.0,gsic_k0.003_nu2.0
1850,-0.16365,0.0,0.0,0.0
1851,0.38811,0.000754157897085727,0.00037008938205337823,0.00014680520562602382
1852,0.12566,0.0019332456024042503,0.0013517485111183703,0.0008085792917015076
1853,0.17363,0.00290378528965337,0.0019980186869646725,0.001159535295046954
1854,0.12345,0.003902051884369976,0.0026909176550103902,0.001553405400867908
1855,0.07648,0.004851770731992107,0.0033188232441197156,0.0018953448253409115
1856,0.03625,0.005755390027514037,0.0038886932859699785,0.002193063151731843
1857,-0.09531,0.006618253739678812,0.004410500943275837,0.002455922325297823
1858,0.09364,0.007365525002047776,0.004800958066868514,0.002627479326151677
1859,0.12528,0.00825829474618144,0.005372282880243539,0.002933441086756776
1860,-0.05749,0.009167185199842606,0.0059708582802952236,0.003264341424702048
1861,-0.02764,0.009920969769670543,0.006380843917265562,0.003454017830670792
1862,-0.35972,0.010691860165938951,0.006814480967309848,0.003661779233866855
1863,-0.02566,0.011171525548031828,0.00698550481151624,0.003715618275274723
1864,-0.03777,0.011931897848662542,0.007415049043245594,0.003922949953443465
1865,-0.06288,0.012675019178874744,0.00782922284077469,0.004120984285579462
1866,-0.10425,0.013390346434615322,0.008216787953642404,0.004302019413301562
1867,-0.17251,0.014064494776988186,0.008564879675871644,0.004457949629746331
1868,0.05365,0.014674714651816178,0.008854418151165699,0.004578225487307474
1869,0.19244,0.015464942396346599,0.009340886514065828,0.00483593688559513
1870,0.1058,0.01635579104343211,0.009965764928936707,0.005211295865090237
1871,-0.08353,0.017170905507159388,0.010492357444259824,0.005505397732885159
1872,0.08634,0.017825582154156788,0.010837851579246141,0.005666185110369113
1873,-0.01677,0.018611140047312524,0.011335588305825628,0.005940737081587352
1874,0.20528,0.01930657588899333,0.011731314193492149,0.006139222640930061
1875,0.05153,0.020169963137997366,0.012341827557475177,0.006514030467049506
1876,-0.11694,0.02090519935855862,0.012790397236815474,0.006755487126453245
1877,0.19599,0.021495869186193502,0.013089052230817038,0.006891697964523411
1878,0.4065,0.022330931622839525,0.01367383364928129,0.007250269794188917
1879,0.11145,0.02331398949171113,0.014489872178284449,0.007837539033208052
1880,0.05351,0.024066035575620454,0.014973596892036955,0.008114419464981567
1881,0.09028,0.02476505609255743,0.015397753580366172,0.008345569603407528
1882,-0.0079,0.025486405624435975,0.015851825308188464,0.008601961107207344
1883,0.15455,0.026122344639412414,0.016213351375694844,0.008789029608822904
1884,-0.12595,0.026880679373106935,0.01672090111340966,0.009093239163075296
1885,-0.14767,0.02740584865373776,0.016981307675149156,0.009213660605160339
1886,-0.11036,0.027907671277133107,0.017224011131467556,0.00932367903612847
1887,-0.28811,0.02843591015114077,0.017492035792530572,0.009450401661536613
1888,-0.04764,0.028806945049220354,0.01764122597083886,0.00950847044932741
1889,0.32826,0.02937830438185834,0.017954215378971346,0.009666780394318864
1890,-0.09538,0.030236081336821628,0.018623672354148225,0.010130749463213387
1891,-0.01724,0.030754201540210253,0.018891840678910893,0.010260802945784946
1892,-0.20533,0.03133146802308446,0.019218546625832878,0.01043210301724872
1893,-0.26949,0.03174620361907586,0.01940674700859606,0.010514060492230337
1894,-0.23816,0.03210142458418206,0.01955530040604499,0.010574513592884369
1895,-0.06009,0.03248042430314574,0.019721179550700515,0.010644609576197022
1896,-0.08393,0.033005933747362284,0.020007155864020243,0.010789953754003828
1897,0.1154,0.0335066795432713,0.020272937095373318,0.010922368981140957
1898,-0.17854,0.0341629466731005,0.020701126663970087,0.011177741807213934
1899,-0.17279,0.03457308781033794,0.020896513623897117,0.011266927472697837
1900,0.07922,0.034984136609385694,0.02109428075858974,0.01135799057905919
1901,-0.00046,0.03559763741625099,0.021482191601233748,0.011583867963715645
1902,-0.06976,0.03614151699756845,0.021800009368501322,0.011757105005992955
1903,-0.05442,0.036623552980487854,0.022062172654114108,0.011891698859709289
1904,-0.1093,0.03711353169512197,0.02233358665579531,0.012033400605117461
1905,0.19038,0.03755335765115215,0.02256360147226883,0.01214786947146776
1906,0.12642,0.03822837264997748,0.02303812690497791,0.012452963988526687
1907,-0.1701,0.03884744202206892,0.023448913138974875,0.012704746663309447
1908,0.02723,0.03921931264062236,0.023631398112274733,0.012791309190537935
1909,-0.14225,0.0397503530382077,0.023952776990990566,0.012973713422684675
1910,-0.15336,0.04013699931643351,0.024149453076706504,0.013070069253450705
1911,0.01411,0.040510529385465684,0.024337763181539,0.013161634523592234
1912,-0.0757,0.04101850509303865,0.024642724805097764,0.013333951383920907
1913,-0.21646,0.0414483332380341,0.024878958769493788,0.013457855691329642
1914,-0.02041,0.0417553818073066,0.025025279911546596,0.01352563669178423
1915,0.39071,0.0422233613106589,0.025298302211203418,0.01367648904235365
1916,-0.04168,0.0430020773829907,0.025944973116859858,0.014162877096422022
1917,-0.52911,0.043440622167067074,0.0261953115748124,0.014299273989196906
1918,-0.30529,0.04344717141480463,0.026214684537017047,0.014307050374373362
1919,-0.06054,0.04365748426074566,0.026308967154271237,0.014348054629881426
1920,0.08998,0.04407420624749841,0.026543317219340543,0.014474261070068377
1921,0.19084,0.04460802075991391,0.026889815690180383,0.014685567779989719
1922,0.15911,0.04521495753397004,0.027320154838939258,0.01496926073423081
1923,0.36409,0.04579161726272329,0.027718023691488514,0.015225957924363577
1924,0.39288,0.04651641036675897,0.028307318011071444,0.01566520216605951
1925,0.15485,0.04725505157008814,0.028919552317526596,0.01613042089328153
1926,0.52092,0.04780863098648205,0.02929839121387819,0.016374973470418077
1927,0.2419,0.04862553819739124,0.030037821679958526,0.016984220013095037
