year,tglac,gsic_k0.0097_nu0.0,gsic_k0.006_nu1.0,gsic_k0.003_nu2.0
1928,0.62598,0.049232291411001564,0.030482463226419926,0.01729003662514094
1929,0.25021,0.050107449371999895,0.031327869543584706,0.01803055698613171
1930,0.41706,0.05070608709612344,0.03176680779082349,0.018334077100447287
1931,0.58108,0.051421491503749917,0.03236262464294789,0.01879448385901423
1932,0.44074,0.052244882226924805,0.03312936104924456,0.01944859898092552
1933,0.11346,0.05296228727893114,0.033733270999101436,0.019921791164731657
1934,0.47443,0.05342831776122444,0.034035228531743705,0.02011174989124926
1935,0.39233,0.05415812908798413,0.03466322010641558,0.02061477866801368
1936,0.44545,0.054822248366709674,0.03520029129549592,0.021023648462710137
1937,0.85636,0.055518006126343174,0.03578421137726311,0.021483367452640716
1938,0.95837,0.056482830187803666,0.03683583822395598,0.02252346955846407
1939,0.66382,0.05750189078653767,0.03800441960386923,0.023733650145690448
1940,1.06334,0.05832226212747818,0.038788345012840224,0.024426669800967037
1941,0.64507,0.05938701249242593,0.04006609918592424,0.025807475596402424
1942,0.77344,0.06017653254167868,0.04080074220460021,0.026443708743025422
1943,0.8876,0.06104309005196319,0.0416725577698828,0.02725273455575455
1944,0.89967,0.061973993983512436,0.04267036064986624,0.02823255347795351
1945,0.56322,0.062903422198481,0.043667535250438275,0.029213849031826646
1946,0.5122,0.06360318397976635,0.044268947602312356,0.029704227984154095
1947,1.02681,0.06426080512842751,0.044812498851232875,0.0301340319247437
1948,0.28816,0.0652460581858769,0.04593706584723778,0.03130678688392041
1949,0.36485,0.06572624681784076,0.04626671911792643,0.03153128157297852
1950,0.38926,0.06625822738147717,0.04665533662620318,0.03180997890810193
1951,0.5237,0.06680275716447208,0.047060728452268476,0.032105657615951404
1952,0.76319,0.06743735616395288,0.047583107208554506,0.03252004561015811
1953,0.86968,0.06822683459444971,0.048346287546302526,0.033213675539934824
1954,0.69984,0.06907679270190582,0.0492202177939068,0.03405200250287719
1955,0.44262,0.06980883862438247,0.049892765982489345,0.03463948128644899
1956,0.33733,0.0703572122569812,0.05031091894326374,0.0349533712916833
1957,0.55316,0.0708241578948352,0.05063899629322483,0.035184214947676616
1958,0.67137,0.07144015850186215,0.05114832395792449,0.03559362550110813
1959,0.54097,0.07213036940017074,0.05176677882902793,0.03612559728182563
1960,0.68188,0.07272527566114007,0.052252157071039966,0.0365128260000882
1961,0.32737,0.07341001982261908,0.052867403737976625,0.03704484375901555
1962,0.63723,0.07384003428760975,0.053165174344147234,0.037253635553333685
1963,0.48543,0.07448408591372646,0.05372506538007617,0.03772594971716953
1964,-0.05955,0.07501740538262752,0.05414040840048658,0.038046878284861835
1965,0.40913,0.07513075001857478,0.054211634905785094,0.03808813184530242
1966,0.17887,0.0756035409953149,0.054559585166976406,0.03834542454478172
1967,0.48231,0.07590064628537192,0.05474515319007052,0.03846524193519858
1968,0.26985,0.07641802967019247,0.0551474175119536,0.038776580315901595
1969,0.61066,0.07677618852108932,0.055385983037292905,0.038939579213167076
1970,0.39254,0.07737379711689923,0.05589469105123454,0.03936402574667866
1971,0.30016,0.07781287610154008,0.056214248677959745,0.039599251190880806
1972,0.02649,0.07818008144154273,0.056464729290493544,0.03977419886802949
1973,0.54561,0.0783326089582317,0.05656038241219999,0.03983268126324148
1974,0.25602,0.0788705635041228,0.056997776775763564,0.040185407025176145
1975,0.24866,0.07919456625545601,0.057213225633298566,0.04033276104555111
1976,0.36807,0.07950989262211997,0.057422449205831304,0.04047553167051493
1977,0.77703,0.07991051501312695,0.05771040561171825,0.04068601818372479
1978,0.47348,0.08058797709174212,0.058352662810288704,0.04127471867022563
1979,0.37648,0.08105366933879288,0.0587119750597742,0.04155360293004804
1980,0.83765,0.08144542687825453,0.05899487751872091,0.04176174656781642
1981,1.25582,0.08214688802259537,0.05968274888736779,0.04241182907741203
1982,0.22282,0.08309219507509814,0.06084872268894743,0.04374896774658699
1983,0.54883,0.08335019434732216,0.061017189199629354,0.043861944992068254
1984,0.60114,0.08384170344774623,0.06141099837684448,0.044177756609103024
1985,0.79043,0.08436430737831901,0.06184461766111186,0.0445358358982048
1986,0.40533,0.08500722190486648,0.06244756351852327,0.04508646178597629
1987,0.60069,0.08538147790327213,0.06271903382112445,0.04528771467255903
1988,0.95469,0.08588883979482106,0.06313842826862216,0.045633996683518245
1989,0.57106,0.08662040001900549,0.06389343018750164,0.04638193613234685
1990,0.83235,0.08709549405341532,0.06427630165120965,0.046692226036295185
1991,0.87158,0.08773877642982789,0.06488974538998032,0.04726263700864352
1992,0.4542,0.08840066567205826,0.06553435404428222,0.047873039226933034
1993,0.90617,0.08877693013611725,0.06581366793684423,0.048085235153707155
1994,0.79921,0.08945042712821262,0.06648109169649306,0.04872730442100098
1995,1.09763,0.09004965879518007,0.06703512306077011,0.04923143572028723
1996,1.03936,0.09082699727336441,0.0678903950731998,0.05012992695694155
1997,0.95708,0.09156210563596423,0.06866879507750942,0.05092233282478413
1998,1.48841,0.09224010457597749,0.06934980786013437,0.051586522318571984
1999,1.0009,0.09321448073107148,0.07064264340097627,0.053179013070996546
2000,1.12904,0.09390321531591535,0.07134165620808791,0.05386519160559783
2001,1.29332,0.09466163521452364,0.07216698216953564,0.05472400480245593
2002,1.38539,0.09550659623612535,0.07316678339848759,0.05584010071904982
2003,1.32546,0.09639408835557196,0.07426035894728017,0.057102814120517376
2004,1.00388,0.09724010450835412,0.07526344514549912,0.05822292132189579
2005,1.6076,0.09789159846781058,0.07590305496440607,0.05883336216884701
2006,1.8045,0.09887302157864826,0.07722757572559784,0.060485141985108855
2007,1.58328,0.09994261867021971,0.07879004164981507,0.06256680984545832
2008,1.29997,0.1008916940867973,0.08002876684012136,0.06405698960822505
2009,1.51047,0.10167993236807946,0.08090953005786213,0.06498338107121998
2010,2.01903,0.1025743522071067,0.08201969438509074,0.06626062075264709
2011,1.71663,0.10370840820353021,0.08377934109146047,0.06871744888455447
2012,1.59394,0.10468818353053015,0.08509308166522332,0.07032054981429188
2013,1.42379,0.105596695971732,0.08622955973723335,0.07162324748635798
2014,1.65993,0.10640707955972138,0.0871489219673675,0.07259112612093468
2015,1.74609,0.10733240562473674,0.08832815168066005,0.07396431775148508
2016,2.45828,0.10829153773376166,0.08959167972312566,0.07547729423382013
2017,1.87275,0.10955738073708822,0.09181495651379235,0.07891231141364863
2018,1.74213,0.11055593871022919,0.09317010386262409,0.08055253020040891
2019,2.10708,0.11148185928488306,0.09433768352091823,0.08187362957421289
2020,1.92623,0.11256895471574452,0.09594669066426448,0.08397435103067093
2021,1.86513,0.11356340382612146,0.09728701390883238,0.08557590417273088
2022,1.92775,0.11451949520841434,0.09852558305661477,0.08700177522535765
2023,2.25287,0.11549573196452217,0.09981669660464655,0.08851483746313311
2024,2.28775,0.11660705508883526,0.10150013178275623,0.09074362943055513
2025,2.2955718700758316,0.11772232341541165,0.10319238156150272,0.09297735943015796
2026,2.342186517942206,0.11883005562603344,0.10485677602025371,0.0951447501740586
