year,ssp,gmst,gsic_med,gsic_lo,gsic_hi
1990,Very Low,0.49837398867748495,-0.9266117115093259,-1.0054281313884483,-0.8641067222958825
1991,Very Low,0.5272213312401928,-0.8613077114573584,-0.9352088950846814,-0.8025020920632436
1992,Very Low,0.43867526698570775,-0.7940622387246397,-0.8625278942062988,-0.7399290132407801
1993,Very Low,0.23587262788188731,-0.7364422946604193,-0.8005404455374879,-0.6852138205047916
1994,Very Low,0.2658458155290926,-0.7010122747043726,-0.7646445698176627,-0.6503273892882886
1995,Very Low,0.38107868579910403,-0.6621100670676574,-0.7250265986106925,-0.6113025975583816
1996,Very Low,0.4773214410238403,-0.6120067653981737,-0.6735087132653604,-0.5618490416055186
1997,Very Low,0.5462330428936236,-0.5528688327682725,-0.6118287340442318,-0.5067038464228522
1998,Very Low,0.5828024585959908,-0.48791282594987384,-0.5423374653009049,-0.4459901316145612
1999,Very Low,0.6191543283418823,-0.4206529932564748,-0.4699420697754923,-0.38211164447413687
2000,Very Low,0.671524918904751,-0.3509101910793358,-0.39374780534129666,-0.3173721917157298
2001,Very Low,0.7206367895172311,-0.27807107262655256,-0.31295533392069186,-0.25097973669848794
2002,Very Low,0.7538199323654989,-0.20227852681704295,-0.22881748833010876,-0.18222097052974384
2003,Very Low,0.7750308336830676,-0.12503326086452798,-0.14252517174956597,-0.11180560687552174
2004,Very Low,0.7822237354285186,-0.04742569613012254,-0.05574763275634782,-0.0413834190923304
2005,Very Low,0.7944488566545763,0.029628524122798927,0.027755808334871818,0.031940318082510216
2006,Very Low,0.7996095490456511,0.10644418710862441,0.09836677009685116,0.11696276703956454
2007,Very Low,0.805680650069951,0.18289164198196373,0.1679547280542877,0.20190457180140675
2008,Very Low,0.8185399554061805,0.25861028556952853,0.23708755581853175,0.28606198395990934
2009,Very Low,0.8420528243817007,0.3341083974138001,0.3059831399959144,0.37058820548846616
2010,Very Low,0.8667551829042239,0.41031773524455584,0.3751962253300877,0.45598459124113827
2011,Very Low,0.8956405657359454,0.4872291236809212,0.4447621343466529,0.5417478067842048
2012,Very Low,0.9232535858248349,0.5650167536772416,0.5153947665267415,0.6292623000254691
2013,Very Low,0.953098937470494,0.6435152756563811,0.5863662532159515,0.7176322107991728
2014,Very Low,0.9927179226768297,0.7225894068839458,0.6574604067491706,0.8068617244024086
2015,Very Low,1.0233661578667204,0.803082136434101,0.729363392502974,0.8990966816928472
2016,Very Low,1.0485397608389049,0.8838459463463705,0.8019969621569341,0.9924384947362349
2017,Very Low,1.0784586721759077,0.9651070900673353,0.8749407912211049,1.0855644868126124
2018,Very Low,1.1084789895067688,1.0471020878755357,0.9482539364522435,1.1789309195069753
2019,Very Low,1.1333093715772433,1.1295885186724253,1.0218969295252152,1.2744835889593145
2020,Very Low,1.1400807488540752,1.2124641677016448,1.0956320217285738,1.3679130389300558
2021,Very Low,1.17102492143317,1.2947771933367087,1.1687152634202616,1.4630178583473676
2022,Very Low,1.2063790218703159,1.3778602775355795,1.242289531618788,1.5576707757226385
2023,Very Low,1.2400244016940882,1.4608724329526783,1.3172551689363239,1.6529145130938712
2024,Very Low,1.2725119151947755,1.5445085277439916,1.3927099734401984,1.7488741718877987
2025,Very Low,1.3040362857388819,1.6284015430098204,1.4685594355288905,1.8465571401445833
