source,module,marker,marker_label,family,component,year,n_draws,med,p05,p17,p83,p95,band_basis
Ladrillo,L21,vvVL,Very Low,SSP1,glaciers,2100,8000,7.386845746533549,5.060752840659829,5.940041002499181,9.341662942813466,11.167426649921834,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,glaciers,2150,8000,8.865831656426229,5.933131165311626,7.012912413032951,11.43941126937486,13.723117632847641,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,glaciers,2300,8000,10.480610098637936,6.813674542905073,8.169697979438817,13.790137003754927,16.5933976227489,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,gis,2100,8000,6.026617958346032,4.410843563132687,4.966661199026168,7.61306031228698,9.071015693210956,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,gis,2150,8000,7.117385840662747,4.743552326810023,5.5334653730469086,9.310423646984853,11.509782600549151,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,gis,2300,8000,7.684478702647786,4.212180045071994,5.419789751894716,10.911369735698646,14.14013671720761,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,ais,2100,8000,4.1185299546909855,3.2507778763437614,3.532476247744562,5.094020215109772,6.550690737385147,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,ais,2150,8000,6.17589625726941,4.81103585915384,5.216357856698608,7.8855814011627,10.552060517785955,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,ais,2300,8000,11.44111414881353,8.184700914307015,9.55860913502185,15.072423541985936,21.130157937427782,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,te,2100,8000,14.453079463876277,9.075397949984621,11.45260252911164,18.083383799555783,21.072858666068203,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,te,2150,8000,17.313629049719573,10.199914604231152,13.167757774567105,22.39545512277256,26.588412673183125,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,te,2300,8000,18.722830393390428,8.561550104400153,12.605056552792261,26.003370705601156,32.14221263514729,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,lws,2100,8000,2.596380650083528,2.596380650083528,2.596380650083528,2.596380650083528,2.596380650083528,"joint (Ladrillo posterior x FaIR forcing, tapped)"
Ladrillo,L21,vvVL,Very Low,SSP1,lws,2150,8000,4.2307986469202445,4.2307986469202445,4.2307986469202445,4.2307986469202445,4.2307986469202445,"joint (Ladrillo posterior x FaIR forcing, tapped)"
