arm,ssp,med_cm,finite_share,crossed_share,spread_126_585,retained
BASE_L10,SSP1-2.6,4.728841702450897,1.0,0.0,31.831222481027933,1.0
BASE_L10,SSP2-4.5,5.904009296100653,1.0,0.278,31.831222481027933,1.0
BASE_L10,SSP5-8.5,36.56006418347883,1.0,0.998,31.831222481027933,1.0
revert_A6_tempmap,SSP1-2.6,4.606725177306714,1.0,0.076,46.86161490191196,1.4721902349129838
revert_A6_tempmap,SSP2-4.5,27.45269054158654,1.0,0.848,46.86161490191196,1.4721902349129838
revert_A6_tempmap,SSP5-8.5,51.46834007921868,1.0,1.0,46.86161490191196,1.4721902349129838
revert_fast_dyn,SSP1-2.6,14.083015445176065,1.0,0.0,30.906159454478498,0.9709385014320203
revert_fast_dyn,SSP2-4.5,15.022046183133314,1.0,0.004,30.906159454478498,0.9709385014320203
revert_fast_dyn,SSP5-8.5,44.989174899654564,1.0,0.998,30.906159454478498,0.9709385014320203
revert_geometry_B,SSP1-2.6,-6.972710196892962,1.0,0.0,35.4414386442602,1.113417452483455
revert_geometry_B,SSP2-4.5,-1.7874989103310437,1.0,0.278,35.4414386442602,1.113417452483455
revert_geometry_B,SSP5-8.5,28.46872844736724,1.0,0.998,35.4414386442602,1.113417452483455
revert_iceflow0,SSP1-2.6,-10.076062399625714,1.0,0.0,33.03354023003382,1.0377716485668276
revert_iceflow0,SSP2-4.5,-6.8184236137756375,1.0,0.278,33.03354023003382,1.0377716485668276
revert_iceflow0,SSP5-8.5,22.95747783040811,1.0,0.998,33.03354023003382,1.0377716485668276
ALL_ais_to_BRICK20,SSP1-2.6,8.890844310433158,1.0,0.0,54.88145056435203,1.7241389518439798
ALL_ais_to_BRICK20,SSP2-4.5,10.238997659126449,1.0,0.0,54.88145056435203,1.7241389518439798
ALL_ais_to_BRICK20,SSP5-8.5,63.77229487478519,1.0,1.0,54.88145056435203,1.7241389518439798
