index,name,comp,mu,sigma,lo,hi,prior_form,note,provenance
19,gic_T_off_R19,glaciers_small_icecaps,0.162195920935,10.0,-3.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
20,gic_log10_kappa_R19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
21,gic_a_SLOWP,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
22,gic_b_SLOWP,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
23,gic_T_off_SLOWP,glaciers_small_icecaps,0.342896725929,10.0,-3.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
24,gic_log10_kappa_SLOWP,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
25,gic_a_FAST,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
26,gic_b_FAST,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
27,gic_T_off_FAST,glaciers_small_icecaps,-1.21396297595,10.0,-3.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
28,gic_log10_kappa_FAST,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
29,gic_amp_R19,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
30,gic_amp_SLOWP,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L24 | ARGS: 100 2026 --tag=L24 --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:10:30.712"
