arm,coef,resid_raw_cm,resid_raw_sigma,delta_p50_cm,delta_p05_cm,delta_p95_cm,resid_eff_cm,resid_eff_sigma,fitted,post_sd,c_map_cond,c_ls_noprior,prior_share_precision_pct,chi2_c0,chi2_fit,chi2_map,chi2_ls,removable_pct,taken_pct,free_prior_move_sigma
L21,__bias_1900__,-0.1155363628593582,-0.18853093609502228,-0.5077918217260868,-0.9388205224433293,-0.020669915545507744,-0.623328184585445,-1.0171399135816417,,,,,,,,,,,,
L21,__bias_1950__,0.11281782558752607,0.2466880419425607,0.0751511534255617,-0.1122722559719955,0.2448927755048407,0.18796897901308776,0.411013943383499,,,,,,,,,,,,
L21,__bias_2000__,0.2319160164014105,2.1111128715480034,0.22806930732326425,0.05880743508608143,0.3835652449661382,0.4599853237246747,4.187209459296447,,,,,,,,,,,,
L21,__bias_2018__,0.6830489199324998,4.446548292320846,-0.29328464847008795,-0.4400064842182078,-0.11892027647131194,0.3897642714624119,2.5373082441154216,,,,,,,,,,,,
L21,__bias_2025__,0.8467629718992087,16.935259437984172,-0.5760976036493685,-0.8739971623299141,-0.2288170015628737,0.2706653682498402,5.413307364996804,,,,,,,,,,,,
L21,d2_steric_1,,,,,,,,0.2601796574937686,0.09423837895897207,0.2535761652095737,0.2611824221935991,2.292277418246343,,,,,,,
L21,d2_steric_2,,,,,,,,0.012537501783134751,0.06878942083952809,0.015162837390697476,0.01257154359810361,1.3304061272441623,,,,,,,
L21,__summary__,0.8467629718992087,16.935259437984172,,,,0.26947763009025305,5.389552601805061,,,,,,63.78143277856971,51.38786952024722,51.3952481855499,51.387690289105095,19.431583690651834,99.99855385778525,-0.23638918960574698
L22,__bias_1900__,-0.15449564620214407,-0.2521042560129056,-0.7122635997595892,-0.9519110925598191,-0.46852324018932767,-0.8667592459617333,-1.4143679787557488,,,,,,,,,,,,
L22,__bias_1950__,0.08455662641649031,0.18489195741296868,0.14227575839217976,0.0415123504264266,0.23818048573394343,0.22683238480867007,0.49599286784870683,,,,,,,,,,,,
L22,__bias_2000__,0.2318555600205392,2.110562541968335,0.23928755554615438,0.16588838657370594,0.3177642609726369,0.4711431155666936,4.288777942324237,,,,,,,,,,,,
L22,__bias_2018__,0.7118853243581689,4.634269055964397,-0.34870361507091924,-0.42155423723542135,-0.276267556413474,0.36318170928724963,2.364259662972564,,,,,,,,,,,,
L22,__bias_2025__,0.889427314263695,17.7885462852739,-0.6634925675278924,-0.8088078064156606,-0.5215172678325857,0.2259347467358026,4.518694934716052,,,,,,,,,,,,
L22,d2_steric_1,,,,,,,,0.3261888577767009,0.04579504561789456,0.32623475248132916,0.3285660354801709,0.44618450514543145,,,,,,,
L22,d2_steric_2,,,,,,,,-0.0200471561534889,0.037260853914312504,-0.01760847700146822,-0.018901548174106893,0.3508695637250871,,,,,,,
L22,__summary__,0.889427314263695,17.7885462852739,,,,0.2268326965481231,4.536653930962462,,,,,,185.11195318677227,95.81774187839235,95.81107335006503,95.80794009188064,48.24324499714323,99.9890242485505,-0.05539354821483688
