zone,window,mean,sd,lo,hi,spread_ratio
south,full,1.9221976385152952,0.31812433437295146,1.5101657793813976,2.2846646737809513,1.5128568697383729
south,early,3.6036724362848376,0.6891845554118375,2.632797657911949,4.16337051942753,1.5813484590872304
south,modern,1.7918384323792236,0.30253763239928405,1.422866465612157,2.163909847850855,1.5208102096354352
all,full,2.347037800981324,0.5593533297551108,1.6695779397819928,3.0394629727279856,1.8204978038490778
all,early,3.9618983759629915,1.1383015337351639,2.519883235897457,5.3026154137482475,2.1043099688941416
all,modern,2.224816140299575,0.5279455973681931,1.6034555801155324,2.8939976356705923,1.804850518816414
central,full,2.359081851790682,0.5333261809756454,1.6791020391841882,2.981694853057572,1.7757675135135111
central,early,3.938212319459567,1.100587156039182,2.5223248408646874,5.205964166974723,2.0639546828512567
central,modern,2.239705061849797,0.5005534317570797,1.6135304361065717,2.838728749850883,1.7593276744755426
north,full,2.827785079541622,0.9205297425879183,1.8404063248499836,4.056236259495035,2.20398952379479
north,early,4.4205518127319285,1.868556654998742,2.3823979607995804,6.896235280046908,2.8946613426970838
north,modern,2.7111939499980724,0.8654744844695427,1.7982593853305033,3.873693799128997,2.154135176898881
