quantity,basin,python,julia,absdiff,tol,window,ssp,tap_onset_K,in_lit_bracket,first_fire_year,cm2100_med,cm2100_q05,cm2100_q95,m2300_med,m2300_q05,m2300_q95,lit_lo,lit_hi,in_band,ratio_med,ratio_q05,ratio_q95,g4_cm_med,tap_V_m,tap_tau,within_inventory,m2300_SSP1-2.6_med,tap2100_SSP1-2.6_m,m2300_SSP2-4.5_med,tap2100_SSP2-4.5_m,m2300_SSP5-8.5_med,tap2100_SSP5-8.5_m,g4_rel_to_base,headroom_bind_frac,bands_ok,ratio_ok,g4_ok,all_pass
g2b_first_fire,,,,,,,SSP5-8.5,7.5,True,2222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP1-2.6,7.81,True,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP2-4.5,7.81,True,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g2b_first_fire,,,,,,,SSP5-8.5,7.81,True,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base,,,,,,,SSP1-2.6,,,,6.434892144501772,5.726121031470923,7.153944093958551,0.09704038030990716,0.07956543136977959,0.11708817120563692,0.058,0.163,True,,,,,,,,,,,,,,,,,,,
base,,,,,,,SSP2-4.5,,,,8.413668912835938,7.382003971112407,9.543276211968088,0.1774288005267135,0.1418183268998498,0.21785586341370317,0.098,0.218,True,,,,,,,,,,,,,,,,,,,
base,,,,,,,SSP5-8.5,,,,13.856862144893313,11.579664316322749,16.41266690146863,0.4801319923046684,0.369209110895898,0.6128312788878878,1.732,3.127,False,,,,,,,,,,,,,,,,,,,
base_ratio,,,,,,,,,,,,,,,,,7.944954128440367,31.90816326530612,,2.712755157518248,2.5604045246373004,2.85450700913214,7.423287698047115,,,,,,,,,,,,,,,
g3_nesting,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tap_cell,high,,,,,,,4.0,False,,,,,,,,,,,5.485366168422644,5.059526484373546,6.076634323128462,11.619116578989097,0.5,50.0,True,0.09704038030990716,0.0,0.1774288005267135,0.0,0.9718740261105254,0.04195828880941982,1.565225147079481,0.0,False,False,False,False
