marker,decline,R,year,shipped_cm,regrow_cm,delta_cm,delta_p05,delta_p95,headroom_cm
vvVL,True,1,2100,6.9918856289379665,6.73859502693146,-0.04506547176919273,-1.6943784373032558,-0.00043667778940843587,0.0
vvVL,True,1,2150,8.577305493498676,8.299944682836752,-0.037112756315900164,-1.6179890296358392,-0.000307402295406512,0.0
vvVL,True,1,2300,10.304330028109948,10.10318899024842,-0.025482191858620773,-1.522612683405374,-0.00017348408885844486,0.0
vvVL,True,3,2100,6.9918856289379665,6.861992911541804,-0.015194054155810655,-0.7387005965087421,-0.00014564266560412902,0.0
vvVL,True,3,2150,8.577305493498676,8.480885650952484,-0.012516647713695761,-0.7128013504827202,-0.00010252108112345245,0.0
vvVL,True,3,2300,10.304330028109948,10.236874221146433,-0.008600197650445729,-0.6481390588341328,-5.785606136017324e-05,0.0
vvVL,True,10,2100,6.9918856289379665,6.946000161817713,-0.004576775329234728,-0.2503450864536264,-4.370156988153804e-05,0.0
vvVL,True,10,2150,8.577305493498676,8.538107911021115,-0.0037707001628701775,-0.23464446965766736,-3.076196542179949e-05,0.0
vvVL,True,10,2300,10.304330028109948,10.282669709711975,-0.0025915026895591,-0.21980965883875409,-1.7359765654667618e-05,0.0
vvVL,True,30,2100,6.9918856289379665,6.978240895105584,-0.0015273749582842555,-0.08570421049483504,-1.4568025627870213e-05,0.0
vvVL,True,30,2150,8.577305493498676,8.572055745422833,-0.0012584091710614587,-0.08039785334713513,-1.0254525970676572e-05,0.0
vvVL,True,30,2300,10.304330028109948,10.292354394598204,-0.0008649339392068356,-0.0775420430117652,-5.786869354729179e-06,0.0
vvVL,True,100,2100,6.9918856289379665,6.987687681918977,-0.00045840022061582886,-0.02595614755481739,-4.370495444039344e-06,0.0
vvVL,True,100,2150,8.577305493498676,8.575694121250326,-0.000377681633351834,-0.024360756533501515,-3.076414232161545e-06,0.0
vvVL,True,100,2300,10.304330028109948,10.294146046365338,-0.00025959596570324095,-0.02380248699676759,-1.7360902950791563e-06,0.0
vvLN,True,1,2100,7.460065566211724,7.180880725458563,-0.04389620861822685,-1.661154794656071,-0.0004175461234498642,0.0
vvLN,True,1,2150,8.852135325147122,8.542165901370389,-0.03656949963154421,-1.5939341682927717,-0.0003030994706202611,0.0
vvLN,True,1,2300,9.156904310458973,8.756757637770882,-0.22902337038772735,-1.828337383291395,-0.04042900627545607,2.2280312429058835
vvLN,True,3,2100,7.460065566211724,7.317396888136902,-0.014799702998965714,-0.724768056752839,-0.00013926036267868395,0.0
vvLN,True,3,2150,8.852135325147122,8.719270371670797,-0.012333279952593479,-0.7022058039314638,-0.00010108595498117287,0.0
vvLN,True,3,2300,9.156904310458973,9.005148408384695,-0.08338166644274736,-0.8017035448304071,-0.013637198044502443,2.2280312429058835
vvLN,True,10,2100,7.460065566211724,7.412014870346155,-0.0044579742737083095,-0.24576766713650294,-4.17863445961509e-05,0.0
vvLN,True,10,2150,8.852135325147122,8.776467723114076,-0.0037154436008295377,-0.23161169561016395,-3.0331338070688277e-05,0.0
vvLN,True,10,2300,9.156904310458973,9.059643890902976,-0.02619892437523852,-0.2809080147796559,-0.004108445054815938,2.2280312429058835
vvLN,True,30,2100,7.460065566211724,7.457169299756845,-0.0014877269655126923,-0.08416156238680869,-1.3929566273329666e-05,0.0
vvLN,True,30,2150,8.852135325147122,8.840666301494691,-0.0012399666483693395,-0.07935866063791934,-1.0110974997434871e-05,0.0
vvLN,True,30,2300,9.156904310458973,9.11648253487725,-0.00884414939336331,-0.10023656239509772,-0.0013711408666989844,2.2280312429058835
vvLN,True,100,2100,7.460065566211724,7.4598519919002175,-0.00044650080674646375,-0.025489413409317586,-4.178952287148271e-06,0.0
vvLN,True,100,2150,8.852135325147122,8.851454678885432,-0.0003721463843833206,-0.024045871518408646,-3.03334804128142e-06,0.0
vvLN,True,100,2300,9.156904310458973,9.154019462762818,-0.0026628430191077967,-0.03085141174802839,-0.0004115168856316135,2.2280312429058835
vvL,False,1,2100,7.436966158261899,7.158846529772681,-0.04396078342269405,-1.663567185454627,-0.00041783001795661157,0.0
vvL,False,1,2150,9.347084932098086,9.020752252350448,-0.035173860965343806,-1.552323757588115,-0.00028353389620514643,0.0
vvL,False,1,2300,10.877054654960263,10.710797418207079,-0.024263710111029013,-1.4508292309721889,-0.00016566345275519418,0.0
vvL,False,3,2100,7.436966158261899,7.295779439884315,-0.014821492323568997,-0.7258070662755962,-0.00013935501070498927,0.0
vvL,False,3,2150,9.347084932098086,9.182063933978878,-0.01186247970570431,-0.6850645090996963,-9.455914142328953e-05,0.0
vvL,False,3,2300,10.877054654960263,10.737480784189415,-0.008188651446414674,-0.6228697400261312,-5.5247717075701695e-05,0.0
vvL,False,10,2100,7.436966158261899,7.388141622322181,-0.004464539589172034,-0.24611478544723359,-4.1814740743362295e-05,0.0
vvL,False,10,2150,9.347084932098086,9.228162075269214,-0.0035736009633566823,-0.2256328026183551,-2.8372772811113882e-05,0.0
vvL,False,10,2300,10.877054654960263,10.866637354923842,-0.00246745757320177,-0.2115321528984701,-1.6577108257642743e-05,0.0
vvL,False,30,2100,7.436966158261899,7.4355340083710475,-0.0014899181449843368,-0.08427283927988523,-1.3939031821941253e-05,0.0
vvL,False,30,2150,9.347084932098086,9.341943540818507,-0.0011926278578835436,-0.07731912166061451,-9.458070233847609e-06,0.0
vvL,False,30,2300,10.877054654960263,10.87605122042469,-0.0008235296894838484,-0.07407325573940131,-5.525968877773141e-06,0.0
vvL,False,100,2100,7.436966158261899,7.436753161290843,-0.00044715844918652436,-0.02552310173314858,-4.1817919731457286e-06,0.0
vvL,False,100,2150,9.347084932098086,9.346928994465058,-0.0003579386498184789,-0.023428921816956813,-2.8374714002410477e-06,0.0
vvL,False,100,2300,10.877054654960263,10.87675769831066,-0.00024716880706066036,-0.022754341675445388,-1.6578186039062408e-06,0.0
vvML,True,1,2100,8.815531017333463,8.513768857785863,-0.040720399346678704,-1.565134607254154,-0.0003663787164999382,0.0
vvML,True,1,2150,11.29945406283915,11.112369315547541,-0.030279476714206055,-1.3644253998822071,-0.00021663382932128898,0.0
