source,module,scenario,component,year,med,p05,p17,p83,p95
BRICK 2.0,BRICK2.0,ssp126,ais,2100,4.213139291240442,1.1100886435038355,2.205713853277222,6.993430544491338,37.37954104513563
BRICK 2.0,BRICK2.0,ssp126,ais,2150,6.3700300381374895,1.53818355210627,3.2436228451394724,10.624594585419027,43.7373548883495
BRICK 2.0,BRICK2.0,ssp126,ais,2300,12.639221286117728,2.9303288636108067,6.450130101486257,20.917043901334637,50.386316852249536
BRICK 2.0,BRICK2.0,ssp245,ais,2100,29.212981462723413,2.9043442909570474,8.0129694140621,50.81068381089786,68.00179076309698
BRICK 2.0,BRICK2.0,ssp245,ais,2150,74.5275224566288,12.446597863728227,44.63378321943899,110.02742591177687,142.61766208825793
BRICK 2.0,BRICK2.0,ssp245,ais,2300,207.88440028299073,101.8088375577541,144.67849565086846,295.1989700343292,365.4337177368388
BRICK 2.0,BRICK2.0,ssp585,ais,2100,48.97931101659971,26.44601948483129,34.180475658637526,69.31201260050084,88.49010560880905
BRICK 2.0,BRICK2.0,ssp585,ais,2150,104.0733277832742,56.13007788710117,73.36794585905287,142.90640312667998,179.57925498186006
BRICK 2.0,BRICK2.0,ssp585,ais,2300,290.16519217040354,147.6931034136179,197.2568444993183,400.80885919769855,499.3588454570667
FACTS,ar5AIS,ssp126,ais,2100,6.307804107666016,-4.382849845886231,-2.028386013031005,13.577141555786136,15.963815689086912
FACTS,ar5AIS,ssp126,ais,2150,13.154358673095704,-9.49761817932129,-4.921828285217284,28.774102783203126,33.674185485839836
FACTS,ar5AIS,ssp245,ais,2100,5.541271972656251,-5.583639545440674,-2.9606990432739253,12.89980142211914,15.41553985595703
FACTS,ar5AIS,ssp245,ais,2150,10.906217956542967,-12.700446815490723,-7.55331105041504,26.899517578125,32.21907257080078
FACTS,ar5AIS,ssp585,ais,2100,3.984292793273926,-7.912425842285156,-4.65413846206665,11.682505752563475,14.233862991333009
FACTS,ar5AIS,ssp585,ais,2150,6.258302879333496,-19.90957878112793,-12.604814712524414,22.81912030029297,28.774236450195307
FACTS,bamber19,ssp126,ais,2100,9.072666549682618,-5.576183395385742,-0.0715103307962416,35.27146798706053,85.48916870117183
FACTS,bamber19,ssp126,ais,2150,19.16692123413086,-12.619941062927245,-1.08775993824005,61.19860046386716,143.64913513183586
FACTS,bamber19,ssp245,ais,2100,13.709166717529296,-9.411333122253415,-0.2005333281755425,49.85356707763672,100.45716491699216
FACTS,bamber19,ssp245,ais,2150,25.19712142944336,-12.661749687194822,2.3493641252517774,84.7721173095703,215.73226562499968
FACTS,bamber19,ssp585,ais,2100,17.99416656494141,-10.33483341217041,-0.19543332493305,60.30016870117186,141.20966308593742
FACTS,bamber19,ssp585,ais,2150,36.463381958007815,-16.634347763061523,-1.1252078590393042,139.66789074707026,554.3472265624997
FACTS,deconto21,ssp126,ais,2100,8.944500350952149,6.451849708557129,6.814640205383301,12.255460556030272,16.314999389648438
FACTS,deconto21,ssp126,ais,2150,26.337498474121094,12.28344966888428,14.677999877929688,45.321997070312506,61.4010009765625
FACTS,deconto21,ssp245,ais,2100,10.380000305175782,6.803199462890626,7.090049301147461,33.13256927490234,50.55860229492179
FACTS,deconto21,ssp245,ais,2150,30.27900085449219,14.356700439453126,17.01300048828125,221.21785253906245,383.8040039062501
FACTS,deconto21,ssp585,ais,2100,28.605999755859376,7.211899948120117,9.580700096130371,50.078449401855465,63.69199829101563
FACTS,deconto21,ssp585,ais,2150,198.75849609375,17.594000244140627,89.08699951171876,356.27131054687476,425.9649438476562
FACTS,emuAIS,ssp126,ais,2100,9.451589584350586,-1.969220743179321,2.9757373580932622,14.35746189880371,19.136685638427732
FACTS,emuAIS,ssp245,ais,2100,9.068058395385744,-1.9027478599548335,2.6231082859039323,14.098964096069334,18.981904830932617
FACTS,emuAIS,ssp585,ais,2100,9.235869979858398,-2.246506977081299,2.877528007507325,14.158105453491212,18.26432807922363
FACTS,larmip,ssp126,ais,2100,11.89890022277832,2.657296361923218,4.535318008422852,24.730479736328128,41.92311462402341
FACTS,larmip,ssp126,ais,2150,22.690328979492183,6.647452754974366,10.19671827697754,44.902688476562496,79.19475585937498
FACTS,larmip,ssp245,ais,2100,12.73363037109375,2.5953579998016365,4.416555896759034,26.742700958251945,47.536203155517555
FACTS,larmip,ssp245,ais,2150,27.68946075439453,7.643099632263185,11.611618133544924,54.940114013671874,95.74354217529296
FACTS,larmip,ssp585,ais,2100,14.42544631958008,1.9284207248687744,4.592133903503418,32.72116540527344,59.64871673583975
