label,arm,variant,nblocks,blocks,sigma,rho,delta,logJ,ll_flow,ll_blk,flow_win,flow_win_deficit,rate_modern_mm_yr,kappa_ratio_maxmin,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,ds126,ds245,ds585,spread,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,g_inv,g_s1900,g_lad,g_spread,npass,feasible,kappa_POLAR,nu_POLAR,rate00_23_POLAR,glambie_POLAR,S2020_POLAR_mm,kappa_SUBPOLAR,nu_SUBPOLAR,rate00_23_SUBPOLAR,glambie_SUBPOLAR,S2020_SUBPOLAR_mm,kappa_FAST,nu_FAST,rate00_23_FAST,glambie_FAST,S2020_FAST_mm,kappa_FASTX,nu_FASTX,rate00_23_FASTX,glambie_FASTX,S2020_FASTX_mm
3BLOCK/ANCH/sx2,ANCH,sx2,3,POLAR+SUBPOLAR+FAST,0.09691,0.99000,0.00000,-43.88608,-49.13871,0.00000,32.22707,20.59395,0.94060,3.85889,15.91793,0.81311,59.07872,47.35727,57.00679,68.15573,81.31331,9.21432,11.42531,15.89227,6.67795,-43.37326,-37.63034,-8.33655,8.99008,21.52283,True,True,True,True,4,False,0.00083,1.44054,0.10482,0.13335,2.69154,0.00206,1.33001,0.14163,0.10533,3.21891,0.00321,1.59756,0.51958,0.41684,53.16827,,,,,
3BLOCK/MID/sx2,MID,sx2,3,POLAR+SUBPOLAR+FAST,0.09461,0.99000,0.00000,-42.60066,-48.43150,4.63132,32.65090,20.17012,0.94226,3.29816,17.65830,0.76579,62.16330,46.85114,56.59344,67.84957,81.13364,9.23803,11.54872,16.27573,7.03771,-43.16353,-37.45245,-8.22538,9.15201,21.78905,True,True,True,True,4,False,0.00112,1.44054,0.13875,0.13335,3.58115,0.00151,1.33001,0.10585,0.10533,2.39387,0.00370,1.59756,0.53281,0.41684,56.18828,,,,,
3BLOCK/FREE/sx2,FREE,sx2,3,POLAR+SUBPOLAR+FAST,0.06975,0.99000,0.00000,-34.51795,-40.48174,7.42042,37.68593,15.13509,0.72694,4.97283,30.77466,0.37410,83.62915,43.04008,53.48095,65.54421,79.78082,6.60348,7.09954,7.77418,1.17070,-41.32372,-36.10162,-6.73295,10.88263,25.20515,True,False,True,False,2,False,0.00263,0.00000,0.16671,0.13335,7.30463,0.00249,0.00000,0.10790,0.10533,3.48779,0.01240,0.00000,0.38942,0.41684,72.83673,,,,,
3BLOCK/ANCH/t5d,ANCH,t5d,3,POLAR+SUBPOLAR+FAST,0.03969,0.99000,0.67477,4.65578,1.64768,0.00000,40.24227,11.98494,0.94060,3.85889,15.91793,0.81311,59.07872,47.35727,57.00679,68.15573,81.31331,9.21432,11.42531,15.89227,6.67795,-17.69273,-17.96889,-6.96991,10.78260,28.25487,True,True,True,True,4,False,0.00083,1.44054,0.10482,0.13335,2.69154,0.00206,1.33001,0.14163,0.10533,3.21891,0.00321,1.59756,0.51958,0.41684,53.16827,,,,,
3BLOCK/MID/t5d,MID,t5d,3,POLAR+SUBPOLAR+FAST,0.03957,0.99000,0.69913,6.46824,1.76875,6.37178,40.48622,11.74099,0.90340,2.32410,13.68287,0.87552,54.80482,48.04282,57.56669,68.57043,81.55666,9.27023,11.57308,16.34312,7.07289,-17.73310,-18.02749,-7.08943,10.72044,28.58267,True,True,True,True,4,False,0.00113,1.44054,0.14004,0.13335,3.61509,0.00149,1.33001,0.10451,0.10533,2.36303,0.00264,1.59756,0.49745,0.41684,48.82670,,,,,
3BLOCK/FREE/t5d,FREE,t5d,3,POLAR+SUBPOLAR+FAST,0.02460,0.99000,0.52408,12.04858,7.89603,6.63750,44.68204,7.54517,0.74373,4.50894,28.67150,0.40719,81.91776,43.36385,53.74538,65.74006,79.89575,6.84812,7.34727,8.03022,1.18210,-16.82929,-16.55483,-5.44978,12.59998,31.34439,True,True,True,False,3,False,0.00301,0.00000,0.18846,0.13335,8.27016,0.00249,0.00000,0.10795,0.10533,3.48935,0.01125,0.00000,0.38268,0.41684,70.15824,,,,,
REASSIGN/ANCH/sx2,ANCH,sx2,2,POLAR+FASTX,0.50000,0.99000,0.00000,-102.39421,-104.75867,0.00000,-15.00590,67.82693,1.14542,3.41295,0.33068,1.36634,28.02661,51.50182,60.00367,70.77143,83.97727,11.45948,14.13250,19.25552,7.79604,-35.11571,-38.80931,-20.97999,-8.81802,-8.13148,False,False,False,True,1,False,0.00083,1.44054,0.10482,0.13335,2.69154,,,,,,,,,,,0.00284,1.50879,0.78174,0.52217,25.33507
REASSIGN/MID/sx2,MID,sx2,2,POLAR+FASTX,0.14022,0.99000,0.00000,-58.12723,-61.96094,4.39035,24.57930,28.24172,0.89035,1.58037,0.21513,1.41800,20.85884,52.46176,60.79533,71.34995,84.29441,10.31415,12.97948,18.41856,8.10441,-46.51475,-40.67558,-10.83641,6.11974,16.66267,False,False,False,True,1,False,0.00114,1.44054,0.14114,0.13335,3.64397,,,,,,,,,,,0.00181,1.50879,0.54307,0.52217,17.21487
REASSIGN/FREE/sx2,FREE,sx2,2,POLAR+FASTX,0.08534,0.99000,0.00000,-44.96090,-46.42971,2.90336,35.10110,17.71992,0.82293,2.27642,3.66300,0.99740,48.03712,48.60449,57.61425,69.02528,83.02005,7.80429,8.22791,8.75243,0.94814,-43.78013,-36.34583,-7.39993,10.15589,23.26467,True,False,True,False,2,False,0.00245,0.00000,0.15638,0.13335,6.84693,,,,,,,,,,,0.00559,0.00000,0.60027,0.52217,41.19018
REASSIGN/ANCH/t5d,ANCH,t5d,2,POLAR+FASTX,0.06113,0.99000,0.88460,-8.35530,-6.65744,0.00000,34.91354,17.31367,1.14542,3.41295,0.33068,1.36634,28.02661,51.50182,60.00367,70.77143,83.97727,11.45948,14.13250,19.25552,7.79604,-19.14907,-19.64333,-9.10525,9.11232,24.33830,False,False,False,True,1,False,0.00083,1.44054,0.10482,0.13335,2.69154,,,,,,,,,,,0.00284,1.50879,0.78174,0.52217,25.33507
