year,ssp,component,gmst,med,p05,p17,p83,p95,n_finite
1990,SSP1-2.6,glaciers,0.6172413401272017,-0.6680370346308426,-0.8849462350757852,-0.7936484318826971,-0.5578888364909351,-0.49364227276883577,1740
1991,SSP1-2.6,glaciers,0.6480920599899472,-0.6381437479339507,-0.8417303742005329,-0.7559537862157026,-0.5334304408716334,-0.472645056327194,1740
1992,SSP1-2.6,glaciers,0.6054709248449786,-0.6031595697947756,-0.7937380772871431,-0.7136351910960386,-0.5053071134953141,-0.4471756751689202,1740
1993,SSP1-2.6,glaciers,0.49579326119498635,-0.5865044845733844,-0.767882490450762,-0.6932401080012661,-0.4916886459520866,-0.4346475990919045,1740
1994,SSP1-2.6,glaciers,0.5159107825733913,-0.5497159968628715,-0.71974921102745,-0.6491089337745974,-0.45982374440252194,-0.40732392469456113,1740
1995,SSP1-2.6,glaciers,0.5766612473873399,-0.5169147477177032,-0.6772136607982864,-0.6093114797047267,-0.43279903919284635,-0.3830251255972684,1740
1996,SSP1-2.6,glaciers,0.6411345082576302,-0.4724645003376926,-0.6189194097679931,-0.557438078534704,-0.39541668856751544,-0.35044017126847,1740
1997,SSP1-2.6,glaciers,0.6860734222790282,-0.436042044751738,-0.5674417821679628,-0.5126200648987577,-0.3642055384287978,-0.3230979178664872,1740
1998,SSP1-2.6,glaciers,0.7181171626962323,-0.3911984644013009,-0.5090085873165069,-0.4599926203919996,-0.3268868158409769,-0.2900614844436169,1740
1999,SSP1-2.6,glaciers,0.7443055351790053,-0.3164928367921145,-0.4120295827310929,-0.37151513527832136,-0.2653819833825694,-0.23525695462556617,1740
2000,SSP1-2.6,glaciers,0.78080095281422,-0.2761721212753314,-0.3599131934316374,-0.3240063643158277,-0.2315481322982994,-0.2057880787336926,1740
2001,SSP1-2.6,glaciers,0.8277653991917374,-0.22895446994331659,-0.29975750154294734,-0.26985970019639843,-0.1923450966122934,-0.17130333954149202,1740
2002,SSP1-2.6,glaciers,0.8625038868905944,-0.1718915825232481,-0.22382580172052546,-0.20138635642539887,-0.14446243170793482,-0.12875713614373965,1740
2003,SSP1-2.6,glaciers,0.8825685123647669,-0.11089364465381157,-0.14332589326692405,-0.1298290251370685,-0.092988031754981,-0.08310258311508717,1740
2004,SSP1-2.6,glaciers,0.8931410769792334,-0.04979550603090033,-0.06502665711893259,-0.05849995433290191,-0.041614253791957476,-0.036838656901007696,1740
2005,SSP1-2.6,glaciers,0.8998718941653809,0.0002849979804084857,-0.011066650669589872,-0.005774270818263937,0.005639065596646979,0.01024152312868724,1740
