ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvVL,ais,2100,fixed,2000,4.552778986093027,5.421107399883352,3.4469173107006803,5.778001901373159,2.3310845906724786,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2100,joint,2000,3.7718010381058926,5.084438288354164,2.814694547862732,5.870224816566071,3.055530268703339,1.3107762287690599,0.8284612650047984,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2150,fixed,2000,6.916181800102064,7.906724480293015,5.230681306921504,8.78512234968419,3.5544410427626865,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2150,joint,2000,5.34316210203098,7.149862210698655,3.8701383137857843,8.870078773767998,4.999940459982215,1.4066741858506155,0.7725595214909083,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2300,fixed,2000,12.618492261511458,13.546419203105296,9.794049551763047,15.62558676863885,5.8315372168758035,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2300,joint,2000,8.378815218549867,10.572126530179764,5.60907486012594,14.834702826844117,9.225627966718177,1.5820233368347991,0.6640108061171995,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2100,fixed,2000,14.375767759408955,14.364614684764339,12.772290929220562,15.992001957843408,3.2197110286228465,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2100,joint,2000,9.035374147786728,9.438319586237219,5.141515686672026,15.167452031004427,10.0259363443324,3.1139242792918447,0.6285141982676414,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2150,fixed,2000,17.305424219715185,17.291998245443107,15.375172755077227,19.251032893312004,3.8758601382347777,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2150,joint,2000,10.257028037617314,10.956183032335124,5.6211449646772635,18.778008772801982,13.156863808124719,3.394566196631874,0.5927059578193989,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
