ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp585,glaciers,2100,fixed,2000,13.173985499017315,13.198165937239207,10.425758570690274,15.99213028745621,5.566371716765936,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2100,joint,2000,12.813924771263974,13.12666563277727,9.41968222790955,17.77471566632777,8.355033438418218,1.5009837401359347,0.972668807948802,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2150,fixed,2000,20.827746501689614,20.872981482468944,16.75262257605907,25.001802072496012,8.249179496436941,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2150,joint,2000,20.298191395187626,20.520533102594214,15.148494157692094,26.526178559724297,11.377684402032203,1.3792504341730658,0.974574536594296,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2300,fixed,2000,27.15472515820906,27.263054466266652,21.871025017312245,32.67703096150272,10.806005944190478,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,glaciers,2300,joint,2000,26.529090139752952,26.66058874705052,20.56696070844645,32.60573311941893,12.038772410972477,1.1140816017637636,0.9769603627062683,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2100,fixed,2000,12.561557362697041,12.595801389977428,10.60887926560587,14.652822898030054,4.043943632424185,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2100,joint,2000,12.095307116074785,12.799310523071796,8.787261169215956,18.886245545273038,10.098984376057082,2.497310866324598,0.9628827673862448,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2150,fixed,2000,27.21974062874981,27.357574651600395,22.509184427401983,32.590817628797105,10.081633201395121,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2150,joint,2000,25.720489999192964,28.045797676330867,16.243596933891876,47.04478493392215,30.801188000030276,3.055178400635319,0.9449204659954283,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp585,gis,2300,fixed,2000,89.26684572138545,90.0608449046847,78.62912842390024,103.851710785164,25.22258236126376,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp585 | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
