year,component,med_diff_cm,p05_diff_cm,p95_diff_cm
2025,glaciers,0.0,0.0,0.0
2026,glaciers,0.0,0.0,0.0
2027,glaciers,0.0,0.0,0.0
2028,glaciers,0.0,0.0,0.0
2029,glaciers,0.0,0.0,0.0
2030,glaciers,0.0,0.0,0.0
2031,glaciers,0.0,0.0,0.0
2032,glaciers,0.00025791182147338887,0.00013542762570470935,0.00039710728409922955
2033,glaciers,0.0006227893742711821,0.0003835124031589032,0.0009446473716673508
2034,glaciers,0.00103031793509345,0.000673378849383699,0.0015366239456157782
2035,glaciers,0.0014587639406169473,0.0009727591978396788,0.0021664246159240454
2036,glaciers,0.0018876714631987923,0.0012681291930938697,0.002820778917632572
2037,glaciers,0.0023178467594107133,0.0015567451217260331,0.003482153027021706
2038,glaciers,0.0027426468890734412,0.0018351467466805715,0.0041593317238914455
2039,glaciers,0.003180312225397053,0.0021137717019271474,0.004818965658837681
2040,glaciers,0.003610925767957962,0.0023900659744904742,0.005449887687796195
2041,glaciers,0.004037348553851849,0.0026605570750104055,0.006121713475983092
2042,glaciers,0.004459345124104175,0.002911233476592345,0.006757257813286311
2043,glaciers,0.0048754755229323266,0.00316887795107581,0.007384761566892095
2044,glaciers,0.005276226028934072,0.0034124976636713544,0.008031115333210615
2045,glaciers,0.005662705706566129,0.0036526812750286904,0.008628376586831266
2046,glaciers,0.006052012512058447,0.0038916729560723342,0.009213699922931173
2047,glaciers,0.006418546378994083,0.004125620436588395,0.009786888163253682
2048,glaciers,0.006777042609944051,0.004335616307537649,0.010341487675759618
2049,glaciers,0.0071233760685118774,0.004574644285218233,0.010890178325957308
2050,glaciers,0.0074601975630042006,0.004805044475666653,0.011429777422271225
2051,glaciers,0.007804487520667092,0.00501421343547892,0.011962850996441343
2052,glaciers,0.00812922747350342,0.005215049436643415,0.012491217958764355
2053,glaciers,0.008453415632641015,0.005414822959238875,0.0130021923932504
2054,glaciers,0.008747080441063204,0.005604668374987742,0.013504242024246958
2055,glaciers,0.009040934767854836,0.005808466576332183,0.01397253482297529
2056,glaciers,0.009313522555208564,0.005979788496301808,0.01440555680848927
2057,glaciers,0.009560972249175848,0.006160091976836046,0.014864027625616316
2058,glaciers,0.009819459649779816,0.006340324677152865,0.015289937301643252
2059,glaciers,0.010082626567315955,0.006500239059992285,0.015651450089583997
2060,glaciers,0.01033235248585651,0.006648749013997523,0.016044701443630682
2061,glaciers,0.010587136339678338,0.0068254765069300834,0.01648246772559956
2062,glaciers,0.010825036901589424,0.006983960626711916,0.016875357117381196
2063,glaciers,0.011057371769306101,0.007135264195229762,0.01724212728118548
2064,glaciers,0.01127219837809701,0.007282735719007683,0.017572067264495936
2065,glaciers,0.01148730616167537,0.007432642779396393,0.01790292106346358
2066,glaciers,0.011704602907316897,0.007566977727822,0.018224128131979978
2067,glaciers,0.011930056990891558,0.007703427694950094,0.01853422960522444
2068,glaciers,0.01212548516982448,0.00783754369872378,0.01885880976541179
2069,glaciers,0.012316087240118456,0.007956768410079373,0.019184053191287465
2070,glaciers,0.012504305151516348,0.008074885780557484,0.019445569122348603
2071,glaciers,0.012680027867411958,0.008187323750833109,0.0197612509074923
2072,glaciers,0.012850639689326648,0.008298913317107014,0.019996676137026267
2073,glaciers,0.013034633021649533,0.008411104617384346,0.02029183349169443
2074,glaciers,0.013209036925870166,0.008524146923131993,0.02057182214271522
2075,glaciers,0.01337975147643089,0.008643716010134117,0.020820590636190416
2076,glaciers,0.013568160923040473,0.008757842971094387,0.021066728594245184
2077,glaciers,0.013738470693761329,0.008865466600606364,0.02134728491486939
2078,glaciers,0.013880439162168301,0.008973695740067546,0.021579708872857227
2079,glaciers,0.014024848642842258,0.009082687189141138,0.021837304780989886
2080,glaciers,0.014166916942222052,0.009178014138262913,0.02204604779551769
2081,glaciers,0.014311509145048085,0.009276378048458956,0.02222471278710589
2082,glaciers,0.014451231962739897,0.009372043217048633,0.02242753341831367
2083,glaciers,0.014589578209506016,0.009471621869477342,0.022624622398623014
2084,glaciers,0.014744045637274716,0.009553243997513672,0.02288384372875125
2085,glaciers,0.014887588343025726,0.00965370491086004,0.02303541526918433
2086,glaciers,0.015011690887618556,0.00974606161967726,0.023249131572077086
2087,glaciers,0.015139162115710647,0.009832280756714074,0.023402540211922764
2088,glaciers,0.015262079332325484,0.009912536898643687,0.023543578272245205
2089,glaciers,0.015387939586973154,0.00998873894552723,0.023688497704422495
2090,glaciers,0.015509650519149432,0.010057424584797126,0.02385066726499634
2091,glaciers,0.01561798718936025,0.010124611485752234,0.024039614822952603
2092,glaciers,0.01573044254932654,0.010190563424926767,0.024222993461998053
2093,glaciers,0.015844661740620047,0.010255817997291583,0.02439345595424971
2094,glaciers,0.015955828615799028,0.010333800549156091,0.02451250386399177
2095,glaciers,0.016062090746157054,0.010415725946161114,0.024680501770977244
2096,glaciers,0.01617141871380756,0.01050932496594248,0.024850764049282235
2097,glaciers,0.016279998996389544,0.010580666009768614,0.02501714367351715
2098,glaciers,0.016367721057592988,0.010646258623870787,0.02516219386192766
2099,glaciers,0.016467578193759103,0.01071455521063438,0.02532025019796418
2100,glaciers,0.016552608831892357,0.01078337736753312,0.025489491193404042
2101,glaciers,0.016653707969219056,0.010848211380064664,0.0256451117285164
2102,glaciers,0.016749368204709292,0.010912072815438378,0.025770098509110627
2103,glaciers,0.016846817262053726,0.010975207014200983,0.02593864376365271
2104,glaciers,0.016935644248978754,0.011037659291171665,0.02607798011514628
2105,glaciers,0.017021598672306126,0.011099264161397926,0.02620080186348099
2106,glaciers,0.01710991607138279,0.011153744495881135,0.02634800177254757
2107,glaciers,0.017191362068056826,0.011202296114738086,0.026507490793000965
2108,glaciers,0.017282130204660184,0.011261727384755282,0.026649310018468417
2109,glaciers,0.017367666146321348,0.011325509077172047,0.026752684555173545
2110,glaciers,0.017452060086497134,0.011384007521746663,0.026878177711886407
2111,glaciers,0.017534127939155653,0.01142948798097274,0.026991869638134065
2112,glaciers,0.01761587712979562,0.0114741284045623,0.027159042071352953
2113,glaciers,0.017702120782581154,0.011524658711020486,0.027325647768838033
2114,glaciers,0.017781751882210983,0.011575785653673787,0.027489639264273523
2115,glaciers,0.01785594045089045,0.011630092133522308,0.02765113298642596
2116,glaciers,0.01792553824948495,0.011691158820318303,0.027807641197876175
2117,glaciers,0.018000193050967894,0.011746634461740556,0.027911667760225176
2118,glaciers,0.018088000840069007,0.01179310276970642,0.02802256591316956
2119,glaciers,0.01816216494311451,0.011835613552702373,0.028096642485270707
2120,glaciers,0.018237244018857623,0.011872870651418488,0.028169478887325104
2121,glaciers,0.018313922664005666,0.011925483142145143,0.028241047065419963
2122,glaciers,0.018380061463417086,0.011971199553813382,0.02832562383652419
2123,glaciers,0.01844480933848569,0.012018588254608263,0.028422371529411627
2124,glaciers,0.018521948918030162,0.012060984104125172,0.0285448728849528
2125,glaciers,0.01858865274705046,0.012109620753647299,0.028609483652415155
2126,glaciers,0.018658886628689864,0.012157274486080106,0.028695398084009578
2127,glaciers,0.018724649115563707,0.012204527565704913,0.028802429714212607
2128,glaciers,0.01879293665345383,0.012251523830515598,0.02886925113387431
2129,glaciers,0.018864881711369463,0.012302234372079734,0.028912088471090416
2130,glaciers,0.01891879850174405,0.012351818439567185,0.02894989486985313
2131,glaciers,0.01899083914396016,0.012391316332493841,0.029022327121195877
2132,glaciers,0.019050150792201848,0.012437403774008171,0.029126897701804034
2133,glaciers,0.019102354411209888,0.012476242398088465,0.029189782787060636
2134,glaciers,0.019171876887000394,0.012508625575805699,0.029263942509859395
2135,glaciers,0.01924410054620651,0.01255401657437547,0.029335072971588435
2136,glaciers,0.01930949967720963,0.012589872681309355,0.029488026555797384
2137,glaciers,0.019366883322811113,0.012624051139054515,0.029630272028416196
2138,glaciers,0.019420374112741,0.0126579433270952,0.02970536632258067
2139,glaciers,0.01948203789713787,0.012691547306270312,0.029779527190380857
2140,glaciers,0.01953677020188138,0.012724688503820136,0.02985260171342467
2141,glaciers,0.01959307527015408,0.012757383798894219,0.029937956188814493
2142,glaciers,0.019655233174138864,0.01278960553786801,0.03005651887067735
2143,glaciers,0.019712937931195995,0.012821352064026304,0.030110221081367603
2144,glaciers,0.01976698315912273,0.012852759527856516,0.030156750397459575
2145,glaciers,0.019815103206465068,0.012884365545007449,0.030203846735589047
2146,glaciers,0.01987022539937744,0.012919360461496953,0.030256016292768438
2147,glaciers,0.01992424475972232,0.012961209773259342,0.030333576593004438
2148,glaciers,0.019972726304295918,0.012979940053376816,0.030386798145882472
2149,glaciers,0.020017206912150698,0.013008258293918828,0.030451371699689207
2150,glaciers,0.02005541266081945,0.013042524404052801,0.030537283136682622
2151,glaciers,0.02010473989471162,0.013086174992567923,0.03066540117923546
2152,glaciers,0.020158654907307394,0.01311951422366988,0.030755063925686252
2153,glaciers,0.02020851249365485,0.01315688437885063,0.03086092198019674
2154,glaciers,0.020263253623365785,0.013185918814156228,0.030906377338166986
2155,glaciers,0.020312738034268918,0.013207499427789138,0.030950130189664186
2156,glaciers,0.020356170018472675,0.013228741643473185,0.030992200731414593
2157,glaciers,0.020392290210816455,0.013249685311911018,0.031033890876605234
2158,glaciers,0.02044588185970575,0.013270371626216004,0.03110735834346449
2159,glaciers,0.02049530487956286,0.013290876427428343,0.031204926748227453
2160,glaciers,0.020526787868719865,0.013311148160647601,0.031306636374846694
2161,glaciers,0.0205634968571049,0.013334794839854336,0.031393935343768574
2162,glaciers,0.020613725376953163,0.013362352493378981,0.03144319119251673
2163,glaciers,0.020658550522063557,0.013389388187526928,0.031492034804754175
2164,glaciers,0.02069729306620438,0.013416197741996339,0.03154045986396454
2165,glaciers,0.020739484762611227,0.01344299594562992,0.0315885145750455
2166,glaciers,0.020782103262018126,0.013482489417501497,0.031636198045938535
2167,glaciers,0.02083181390833566,0.013522168439840509,0.031683545728207994
2168,glaciers,0.020884911795408634,0.013540126184330337,0.03172980256154094
2169,glaciers,0.020918585907519827,0.013554601953442358,0.03178278616178822
2170,glaciers,0.020951699092680798,0.013569978074360377,0.03184241465948005
2171,glaciers,0.020983828846938835,0.013594882948972131,0.031905045032086486
2172,glaciers,0.021031636902852924,0.013619543825411463,0.0319739267307896
2173,glaciers,0.021063479083634817,0.013644463004643103,0.03202473972653603
