marker,marker_label,component,year,width_ladrillo_cm,width_brick20_cm,width_ratio
vvVL,Very Low,total,2100,67.54783871452683,70.39784955978392,0.9595156547667443
vvVL,Very Low,total,2150,111.02301207242795,114.86102371215819,0.9665856047970781
vvVL,Very Low,total,2300,162.7099657240976,182.0199438095092,0.8939128444868645
vvLN,Low-to-Neg,total,2100,64.55370478359049,72.23833608627316,0.893621147454102
vvLN,Low-to-Neg,total,2150,91.15273086019052,105.4901287078856,0.86408777746971
vvLN,Low-to-Neg,total,2300,89.87774973901512,106.8660894393921,0.8410315209483572
vvL,Low,total,2100,63.68674403807229,72.60357131958006,0.8771847290781544
vvL,Low,total,2150,114.29132136362416,123.631827545166,0.9244490163495358
vvL,Low,total,2300,161.23265961486874,195.7972606658935,0.8234673920693637
vvML,Medium-to-Low,total,2100,75.50235056851557,81.73063907623288,0.9237949369035524
vvML,Medium-to-Low,total,2150,141.48273490975888,148.61042060852049,0.9520377799243444
vvML,Medium-to-Low,total,2300,176.1167462672655,188.58995780944818,0.9338606801387291
vvM,Medium,total,2100,77.0837773031839,81.25500450134277,0.9486649810216927
vvM,Medium,total,2150,154.15971016118104,154.7753917694091,0.9960220962700237
vvM,Medium,total,2300,404.68382867973946,326.76007690429685,1.2384739057282854
vvHL,High-to-Low,total,2100,86.68980030061925,89.03446388244629,0.9736656629401089
vvHL,High-to-Low,total,2150,158.87280515771064,163.34688205718993,0.9726099644931524
vvHL,High-to-Low,total,2300,264.3906699672712,267.9824897766113,0.9865968115590902
vvH,High,total,2100,81.87436240894043,83.09434661865234,0.9853180840892724
vvH,High,total,2150,152.52927323686353,138.47748489379876,1.101473451470045
vvH,High,total,2300,382.12318696558714,379.58855133056625,1.0066773237131001
vvVL,Very Low,gis,2100,4.715452425897254,4.906519913673398,0.9610584505641809
vvVL,Very Low,gis,2150,6.761324228593744,7.693544554710387,0.87883084064992
vvVL,Very Low,gis,2300,9.676102930567303,13.576691198348994,0.7126996400819645
vvLN,Low-to-Neg,gis,2100,4.102071371837251,5.039867091178895,0.8139245138065179
vvLN,Low-to-Neg,gis,2150,5.876073161381778,7.601222038269034,0.7730432201293636
vvLN,Low-to-Neg,gis,2300,5.662251256402015,9.389273214340209,0.6030553299646318
vvL,Low,gis,2100,4.246190310547363,5.1021565675735445,0.8322344197615917
