T_south_K,frac_tau_ordered,median_tau_fast_yr,median_tau_slow_yr
0.0,0.6095,155.32943040161717,239.09970966719413
1.0,0.6529,97.6128644726262,141.3580597800845
1.963,0.6754,71.8137323280833,105.42000665898104
3.0,0.688,56.363918638991755,84.09370602254978
5.0,0.689,39.646259889729755,61.22249338194706
8.0,0.681,27.48284075384036,43.8468462415856
12.0,0.6734,19.52043553881552,31.706738329272067
15.0,0.6683,16.02399754354815,26.197609160227085
