name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.5770309979565847,1.036119018783646,1.6878958405176818,1.0694447024146563,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.15302459446417893,0.4195131974038192,0.6724950931202697,0.41584239254448757,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.00390553937122498,0.00831223524381795,0.013119459964553298,0.008353902823672796,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
antarctic_temp_threshold,4,antarctic_icesheet,-15.61148,0.43431145,-16.94382,-13.888588,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,-16.321656073938264,-15.614907612533377,-14.901363001630106,-15.61226094816257,Fast-dynamics temperature threshold,°C (DAIS scale)
anto_alpha,5,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.11166877466019584,0.30801819264740526,0.6430769144828739,0.3323099251945275,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,6,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.15143760254878325,0.7839782394247652,1.5798709412833516,0.8142894428217965,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,7,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.020447758331699643,0.04781703029790785,0.09094851109154287,0.05040714201494734,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,8,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.07076347766131424,0.1140167763811791,0.1950677114045202,0.1214723228037642,Committed loss at zero regional anomaly,m SLE
gis_f,9,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.3309075461248075,0.5849321575891965,0.750547949615106,0.5682176681593022,Surface-mass-balance share of the committed loss,–
gis_alpha_f,10,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.000547584832188755,0.0018697840358180501,0.004755966876359899,0.002148370668774528,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,11,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L26 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L26) | posterior parameters_subsample_brick_mengel_L26.csv n=10000 | quantiles 5/50/95 over all draws | commit a2532f3 | 2026-09-20 08:13,0.0016388791650202151,0.0045518793897648,0.010298760966891994,0.005068154869229583,"Fast (SMB) channel rate, constant part",yr⁻¹
