ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvVL,gis,2300,joint,2000,7.477353579333877,7.702313695926687,4.794019773197557,11.52769659330992,6.733676820112362,1.1477931443958425,0.7285130025279033,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2100,fixed,2000,4.557376413873307,5.425582811089071,3.4510059473884724,5.78299895644656,2.331993009058088,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2100,joint,2000,4.210034730391689,6.438847465512972,2.984957083533929,14.647767493428866,11.662810409894936,5.001220142853535,0.9237847278920696,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2150,fixed,2000,6.92123197772074,7.912168693376225,5.235631194184822,8.789323999465042,3.55369280528022,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2150,joint,2000,5.972568715471921,9.195929454476941,4.170489808196453,16.716919297641336,12.546429489444883,3.5305329348678907,0.8629343352018051,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2300,fixed,2000,12.626406249178364,13.554601296116795,9.801211178343518,15.63369068319436,5.832479504850841,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,ais,2300,joint,2000,9.615510473650737,13.503736982419195,6.302854436650955,22.347512651383045,16.044658214732088,2.750915489953772,0.7615397670478443,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2100,fixed,2000,14.375767759408955,14.364614684764339,12.772290929220562,15.992001957843408,3.2197110286228465,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2100,joint,2000,9.035374147786726,9.438319586237219,5.141515686672023,15.16745203100443,10.025936344332408,3.1139242792918465,0.6285141982676413,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2150,fixed,2000,17.305424219715185,17.291998245443107,15.375172755077227,19.251032893312004,3.8758601382347777,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2150,joint,2000,10.25702803761731,10.956183032335122,5.6211449646772635,18.77800877280198,13.156863808124715,3.394566196631873,0.5927059578193987,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2300,fixed,2000,18.956263966792548,18.941557230391208,16.84187741253061,21.08747272102611,4.245595308495499,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,te,2300,joint,2000,10.610010392909029,11.953942289402427,5.536731198080375,22.755851668851534,17.21912047077116,4.055761140567365,0.5597099940945943,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2100,fixed,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2100,joint,2000,2.8138468232151475,2.813846823215153,2.8138468232151475,2.8138468232151475,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2150,fixed,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2150,joint,2000,4.3138468232151554,4.313846823215159,4.3138468232151554,4.3138468232151554,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2300,fixed,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,lws,2300,joint,2000,8.813846823215119,8.813846823215131,8.813846823215119,8.813846823215119,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2100,fixed,2000,35.540721193513974,36.377825869922304,33.05581825253753,38.45539427206045,5.399576019522925,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2100,joint,2000,28.205128984004276,30.96312991756158,22.018588558705332,44.79655200907191,22.777963450366578,4.218472592664619,0.7936003557843274,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2150,fixed,2000,45.82529918678854,46.76226826461862,42.436642453779534,49.87971730885091,7.443074855071373,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2150,joint,2000,34.8898791928697,39.08835029830734,26.776851555040164,57.28256086793057,30.505709312890406,4.098535874875046,0.7613671882567539,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2300,fixed,2000,61.90847696763456,62.81077708862809,56.955928525030814,68.0070537802811,11.051125255250284,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,total,2300,joint,2000,45.16968334038269,50.83956369894478,34.31950491379555,76.76529268755283,42.44578777375728,3.8408566361684926,0.7296203291190182,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvVL | forcing raw | climate magicc | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
