ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp126,te,2100,fixed,2000,16.3727053850046,16.302031994424155,14.791766706421322,17.611534108835755,2.819767402414433,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,te,2100,joint,2000,10.934297867385698,11.282456936917603,6.245479406192387,17.556027067694426,11.310547661502039,4.011163350500951,0.667836964647283,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,te,2150,fixed,2000,20.475086155997708,20.38670468653107,18.498024033998707,22.024318506822198,3.5262944728234906,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,te,2150,joint,2000,13.054693596224446,13.822797698374936,7.260975227436345,22.920003673915325,15.659028446478981,4.440646851010391,0.6375891899434265,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,te,2300,fixed,2000,26.767802492602826,26.652258279471578,24.183119429778507,28.79316860173996,4.610049171961453,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,te,2300,joint,2000,17.874792567351577,19.693247506089634,9.811934615755257,35.334370194292745,25.52243557853749,5.536261030308788,0.6677721330427181,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,lws,2100,fixed,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,lws,2100,joint,2000,2.4600000000000044,2.460000000000003,2.4600000000000044,2.4600000000000044,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,lws,2150,fixed,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,lws,2150,joint,2000,3.960000000000013,3.9600000000000226,3.960000000000013,3.960000000000013,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,lws,2300,fixed,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,lws,2300,joint,2000,8.459999999999987,8.460000000000004,8.459999999999987,8.459999999999987,0.0,NaN,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,total,2100,fixed,2000,38.676966651521326,41.04501752413548,35.86434318169899,56.000389388218025,20.136046206519033,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,total,2100,joint,2000,31.157484652512938,34.73233488401101,23.961862222871716,64.80951857943045,40.84765635655873,2.0285837615596214,0.8055824266996229,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,total,2150,fixed,2000,50.60717111988012,54.397697294974485,46.81115444149546,68.96892489358792,22.157770452092464,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,total,2150,joint,2000,39.40827796070386,45.482444410414985,29.59840160771101,83.53216958503458,53.93376797732357,2.4340791910420005,0.7787093625002688,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,total,2300,fixed,2000,74.28106561916329,81.3386985191466,68.63046007499453,91.89945170324245,23.268991628247917,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,total,2300,joint,2000,57.8950162752345,70.1484306357795,42.663874762639786,124.39231415552646,81.72843939288668,3.512332665660965,0.7794047620703295,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp ssp126 | forcing spliced | climate magicc | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
