tag,draw,shift,ll_ais,ll_smb,ll
L14,1,-0.35,83.23794435956864,-6.423723916799119,76.81422044276952
L14,1,-0.34,83.19025286256996,-6.416920964476891,76.77333189809308
L14,1,-0.33,87.58096119477807,-6.410146871346837,81.17081432343123
L14,1,-0.32,87.53896511005546,-6.403401676346585,81.13556343370887
L14,1,-0.31,91.95526265156869,-6.396685418454721,85.55857723311397
L14,1,-0.3,91.92377270922394,-6.38999813669076,85.53377457253318
L14,1,-0.29,96.22515223590776,-6.383339870115356,89.8418123657924
L14,1,-0.28,96.2070487312389,-6.37671065783011,89.8303380734088
L14,1,-0.27,100.42239225245672,-6.370110538977757,94.05228171347896
L14,1,-0.26,100.42105996264624,-6.363539552742148,94.05752040990409
L14,1,-0.25,104.55447640423853,-6.35699773834839,98.19747866589015
L14,1,-0.24,104.57318854851701,-6.350485135062741,98.22270341345427
L14,1,-0.23,111.50330748523561,-6.370018243873685,105.13328924136192
L14,1,-0.22,114.09522543875669,-6.390046405117616,107.70517903363907
L14,1,-0.21,115.64285721683441,-6.410615658851478,109.23224155798293
L14,1,-0.2,116.29423464666579,-6.431713135134036,109.86252151153175
L14,1,-0.19,116.43921173516131,-6.453278549850907,109.9859331853104
L14,1,-0.18,116.96382836211728,-6.447236071165909,110.51659229095138
L14,1,-0.17,116.64861433442609,-6.469199078307062,110.17941525611903
L14,1,-0.16,117.19673890319422,-6.463276639959435,110.73346226323478
L14,1,-0.15,117.68298317601486,-6.457379062675402,111.22560411333946
L14,1,-0.14,118.10749611380473,-6.451506332853938,111.65598978095079
L14,1,-0.13,117.58767413674303,-6.473751273781357,111.11392286296167
L14,1,-0.12,118.04605217098127,-6.467993187066671,111.5780589839146
L14,1,-0.11,118.44480909597661,-6.462259379972416,111.9825497160042
L14,1,-0.1,118.78410008546666,-6.456549832893713,112.32755025257295
L14,1,-0.09,119.06408032393595,-6.450864526046359,112.6132157978896
L14,1,-0.08,118.64391147756837,-6.473175323384618,112.17073615418374
L14,1,-0.07,118.96970854263056,-6.467595910431568,112.50211263219899
L14,1,-0.06,119.23829877822061,-6.462040198755952,112.77625857946465
L14,1,-0.05,119.44984305740226,-6.45650816366078,112.99333489374148
L14,1,-0.04,119.60450218608239,-6.450999780265301,113.15350240581708
L14,1,-0.03,119.40085861606565,-6.473511344477619,112.92734727158803
L14,1,-0.02,119.61443768034832,-6.46810266908752,113.1463350112608
L14,1,-0.01,119.7732583721061,-6.462717135331143,113.31054123677495
L14,1,0.0,119.87748695900413,-6.457354714257441,113.4201322447467
L14,1,0.01,119.7873752856048,-6.480150239141655,113.30722504646315
L14,1,0.02,119.9622359770644,-6.474884163949326,113.48735181311507
L14,1,0.03,120.0846736950453,-6.469640722934875,113.61503297211043
L14,1,0.04,120.15486023325951,-6.46441988373544,113.69044034952407
L14,1,0.05,120.17296718245277,-6.459221613807927,113.71374556864484
L14,1,0.06,120.23529168474325,-6.482194600744483,113.75309708399877
L14,1,0.07,120.33553665940445,-6.477087552856075,113.85844910654838
L14,1,0.08,120.38588337933186,-6.4720026260571615,113.9138807532747
L14,1,0.09,120.38650874953987,-6.466939785054646,113.91956896448522
L14,1,0.1,120.33758940339592,-6.461898994381856,113.87569040901407
L14,1,0.11,120.2393016885951,-6.4568802183991725,113.78242147019593
L14,1,0.12,120.0918216571872,-6.451883421294242,113.63993823589296
L14,1,0.13,119.8953250501761,-6.446908567082567,113.44841648309352
L14,1,0.14,120.5182540598217,-6.498284369620169,114.01996969020153
L14,1,0.15,120.6177238775519,-6.493434539436121,114.12428933811577
L14,1,0.16,120.67211604309793,-6.488605957396045,114.18351008570188
L14,1,0.17,120.68161882159582,-6.483798584358469,114.19782023723735
L14,1,0.18,120.64642011440681,-6.479012381027719,114.1674077333791
L14,1,0.19,120.56670744566503,-6.474247307954615,114.09246013771042
L14,1,0.2,120.40782100644094,-6.49792492874594,113.909896077695
L14,1,0.21,120.4311939051496,-6.493241348128541,113.93795255702106
L14,1,0.22,120.41222793355408,-6.488578539341232,113.92364939421284
L14,1,0.23,119.69818400842455,-6.512688735962801,113.18549527246175
L14,1,0.24,119.7828495054836,-6.5081079601574086,113.2747415453262
L14,1,0.25,119.82729171663283,-6.503547627220334,113.3237440894125
L14,1,0.26,119.8317076603332,-6.499007695607803,113.33269996472539
L14,1,0.27,119.79629388238224,-6.494488123648166,113.30180575873408
L14,1,0.28,118.84430272184952,-6.51875506599246,112.32554765585705
L14,1,0.29,118.9038687314293,-6.514314401457403,112.3895543299719
L14,1,0.3,117.3098134565202,-6.53902606050139,110.77078739601882
L14,1,0.31,117.46113914012572,-6.534665749033621,110.9264733910921
L14,1,0.32,117.57618802014629,-6.530325269260963,111.04586275088533
L14,1,0.33,117.6551616051993,-6.526004578865214,111.12915702633408
L14,1,0.34,117.69826082402892,-6.521703635429301,111.17655718859962
L14,1,0.35,117.70568601307474,-6.517422396438452,111.18826361663629
L14,2,-0.35,94.1551881923032,-5.761995554173648,88.39319263812955
L14,2,-0.34,94.32071953052748,-5.759781092452247,88.56093843807524
L14,2,-0.33,94.46127823434668,-5.757600654625439,88.70367757972124
L14,2,-0.32,94.528692450455,-5.755454284279115,88.77323816617589
L14,2,-0.31,96.20621485004622,-5.753342025044067,90.45287282500216
L14,2,-0.3,97.75924410898963,-5.751263920596061,92.00798018839357
L14,2,-0.29,97.83900881144979,-5.749220014655846,92.08978879679394
L14,2,-0.28,99.46316241495792,-5.747210350989187,93.71595206396873
L14,2,-0.27,99.48825692925303,-5.745234973407027,93.743021955846
L14,2,-0.26,101.10578008790817,-5.743293925765354,95.36248616214282
L14,2,-0.25,102.75355985489634,-5.741387251965393,97.01217260293095
L14,2,-0.24,102.75023558801554,-5.739514995953565,97.01072059206197
L14,2,-0.23,104.5687470610731,-5.737677201721574,98.83106985935152
L14,2,-0.22,104.52148665253051,-5.735873913306401,98.7856127392241
L14,2,-0.21,104.40523704451115,-5.734105174790441,98.67113186972071
L14,2,-0.2,106.33714987202576,-5.732371030301446,100.60477884172431
L14,2,-0.19,106.18142074409243,-5.730671524012616,100.45074922007981
L14,2,-0.18,108.1564512151444,-5.7290067001426594,102.42744451500174
L14,2,-0.17,107.96477344633568,-5.727376602955809,102.23739684337987
L14,2,-0.16,107.70611950055508,-5.725781276761873,101.9803382237932
L14,2,-0.15,109.67483977688231,-5.724220765916287,103.95061901096602
L14,2,-0.14,109.38392289680417,-5.722695114820152,103.66122778198401
L14,2,-0.13,111.35050176589624,-5.721204367920285,105.62929739797596
L14,2,-0.12,111.03041128361477,-5.719748569709255,105.31066271390551
L14,2,-0.11,113.0193270478764,-5.718327764725446,107.30099928315096
L14,2,-0.1,112.67330198564386,-5.716941997553072,106.95635998809078
L14,2,-0.09,114.46260847695348,-5.715591312822248,108.74701716413122
L14,2,-0.08,116.2044826672823,-5.718538485815035,110.48594418146727
L14,2,-0.07,117.60417982932533,-5.721675431451139,111.88250439787419
L14,2,-0.06,119.17711033473695,-5.730103003383134,113.44700733135382
L14,2,-0.05,119.02677356503608,-5.728549342010121,113.29822422302595
L14,2,-0.04,119.48801248869667,-5.732279472596274,113.7557330161004
L14,2,-0.03,119.3239082999507,-5.730709409060542,113.59319889089016
L14,2,-0.02,119.66809958116609,-5.7345592197009845,113.9335403614651
L14,2,-0.01,119.49539803986002,-5.732972821843937,113.76242521801609
L14,2,0.0,119.26563689626298,-5.731415521138329,113.53422137512464
L14,2,0.01,118.97884487218975,-5.729887325209186,113.24895754698056
L14,2,0.02,119.31327169743196,-5.733715113538207,113.57955658389375
L14,2,0.03,119.02402169225793,-5.732169190754258,113.29185250150367
L14,2,0.04,118.6788230980302,-5.730651521700177,112.94817157633001
L14,2,0.05,118.27771003858605,-5.729162109177025,112.54854792940903
L14,2,0.06,117.82071690873106,-5.727700955903751,112.0930159528273
L14,2,0.07,117.30787837122168,-5.7262680645170265,111.58161030670465
L14,2,0.08,116.7392293593523,-5.724863437571196,111.01436592178109
L14,2,0.09,117.34157660345876,-5.728479086445841,111.61309751701292
L14,2,0.1,116.77887712584888,-5.727053371417191,111.0518237544317
L14,2,0.11,116.16144728482354,-5.7256551182424404,110.4357921665811
L14,2,0.12,115.489327084596,-5.724284325292311,109.76504275930368
L14,2,0.13,114.76255680428076,-5.722940990846388,109.03961581343438
L14,2,0.14,113.98117699110341,-5.721625113092986,108.25955187801043
L14,2,0.15,114.872079862227,-5.725099281410868,109.14698058081613
L14,2,0.16,114.10443363195085,-5.723760000378641,108.38067363157221
L14,2,0.17,113.28326340705496,-5.72244741318486,107.5608159938701
L14,2,0.18,112.40861460673078,-5.721161514310937,106.68745309241984
