name,value_cell,value_component,unit_cell,unit_component
c1,3.2780200000000002,0.032780200000000002,cm or cm/K,m or m/K
c0,61.987200000000001,0.61987199999999998,cm or cm/K,m or m/K
f,0.78267299999999995,0.78267299999999995,-,-
alpha_f,0.0028432000000000002,0.0028432000000000002,-,-
beta_f,0.0073712600000000001,0.0073712600000000001,-,-
alpha_s,0.0070792099999999998,0.0070792099999999998,-,-
beta_s,9.9999999999999995e-07,9.9999999999999995e-07,-,-
g,0.91749000000000003,0.91749000000000003,-,-
v0,742,7.4199999999999999,cm,m
_forcing_tag,,,ssp245,last_obs_year=2024
