component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.6340783032503996,-0.4810374076061693,0.1530408956442303,true,true
glaciers,1900,-5.805739149542874,-5.553371920358083,0.2523672291847907,true,true
gis,1900,-4.130332357233222,-4.085603927402303,0.044728429830918515,true,true
te,1900,-3.6098928928375242,-4.083253846222624,-0.4733609533851002,false,true
total,1900,-13.937918849348069,-12.823121273903368,1.114797575444701,true,false
ais,1950,-0.36264223185452554,-0.424987379982133,-0.06234514812760744,false,true
glaciers,1950,-2.3961450147488126,-2.5415832754159267,-0.14543826066711407,true,true
gis,1950,-1.3604312723333192,-1.320242485132191,0.04018878720112817,true,true
te,1950,-2.815257120132446,-2.560108187432137,0.25514893270030914,false,true
total,1950,-5.985805844939225,-5.400720460636871,0.5850853843023547,true,false
ais,2000,0.0017998782071199648,-0.00660877333999596,-0.008408651547115925,false,true
glaciers,2000,-0.00850888165561,-0.0006774055480138763,0.007831476107596123,false,true
gis,2000,-0.04322274381464186,-0.04879983930551912,-0.00557709549087726,false,true
te,2000,-0.23769707679748553,-0.015208531050661556,0.22248854574682397,false,true
total,2000,-0.2893630562230687,-0.2989644220743022,-0.009601365851233501,false,false
ais,2018,0.696409138766202,0.506274447922486,-0.19013469084371604,false,true
glaciers,2018,1.20556921092,1.1433823935570033,-0.062186817362996694,true,true
gis,2018,1.2730523759668522,1.270339109320429,-0.002713266646423129,true,true
te,2018,2.074393606185913,2.6087856447265714,0.5343920385406582,false,true
total,2018,5.965000044906917,6.119224841759672,0.1542247968527546,true,false
ais,2025,0.7663673305319003,0.7927407281325269,0.026373397600626625,true,true
glaciers,2023,1.63055217082,1.4848418211110643,-0.1457103497089356,true,true
gis,2025,1.6502983936827973,1.6619614708703092,0.011663077187511917,true,true
te,2025,3.2329575871586798,3.82937701685703,0.5964194296983503,false,true
total,2024,8.225314682835013,8.283105380760063,0.05779069792504998,true,false
ais,2019,0.6917651205871491,0.5438590290726565,-0.14790609151449263,false,true
ais,2020,0.7446601482114583,0.5825403962089879,-0.16211975200247042,false,true
ais,2022,0.7131118056700219,0.6623683699784793,-0.050743435691542604,true,true
ais,2024,0.7646276896479223,0.7478632660550619,-0.016764423592860345,true,true
ais,2025,0.7663673305319003,0.7927407281325269,0.026373397600626625,true,true
