rho,shape,amp_cm,q,dloglik,provenance
0.966,constant_offset,0.1,2.534298707185765,-1.2671493535928826,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.966,linear_1900,0.1,1.7459822672504093,-0.8729911336252046,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.966,onset1979_ramp,0.1,1.3613602755869463,-0.6806801377934731,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.966,onset2000_ramp,0.1,1.319946756476239,-0.6599733782381195,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.966,kink2018_flatten,0.1,2.3634256387524455,-1.1817128193762227,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.966,divergence_2018_on,0.1,2.5308331804332242,-1.2654165902166121,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.966,step2018,0.1,29.60754039977391,-14.803770199886955,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,constant_offset,0.1,4.790189841588751,-2.3950949207943757,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,linear_1900,0.1,3.2931011570456246,-1.6465505785228123,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,onset1979_ramp,0.1,2.1692752478082102,-1.0846376239041051,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,onset2000_ramp,0.1,1.701966281670056,-0.850983140835028,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,kink2018_flatten,0.1,3.0951371705823845,-1.5475685852911922,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,divergence_2018_on,0.1,2.759430633237751,-1.3797153166188756,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.9,step2018,0.1,29.00692935322467,-14.503464676612335,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,constant_offset,0.1,6.175875005299179,-3.0879375026495897,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,linear_1900,0.1,4.264413780856911,-2.1322068904284555,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,onset1979_ramp,0.1,2.801303388550998,-1.400651694275499,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,onset2000_ramp,0.1,2.077904890782814,-1.038952445391407,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,kink2018_flatten,0.1,3.9315577832939423,-1.9657788916469712,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,divergence_2018_on,0.1,3.082543854195085,-1.5412719270975426,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.8,step2018,0.1,28.3191975881082,-14.1595987940541,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.6,constant_offset,0.1,7.178301597907441,-3.5891507989537206,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.6,linear_1900,0.1,4.972455165604699,-2.4862275828023495,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.6,onset1979_ramp,0.1,3.310870198601903,-1.6554350993009515,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.6,onset2000_ramp,0.1,2.4872764166950025,-1.2436382083475013,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.6,kink2018_flatten,0.1,4.984174504208625,-2.4920872521043127,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
0.6,divergence_2018_on,0.1,3.5295302567912263,-1.7647651283956132,"diag_ais_objective_shape_sensitivity.jl | tag L30 | q = d'*Sigma^-1*d for unit shapes d, Sigma = ais_cov(sd_ais median 0.0142, rho, eps, L=100.0) on 1900-2025 of recalib_targets_ext.csv | every shape = 0.1 cm at the final year | no model runs, no RNG | 2026-09-22T14:05:18.426"
