post_idx,ais_1850,ais_1900,ais_2018,ais_2024,gis_1850,gis_1900,gis_2018,gis_2024,gsic_1850,gsic_1900,gsic_2018,gsic_2024,te_1850,te_1900,te_2018,te_2024,lws_1850,lws_1900,lws_2018,lws_2024,total_1850,total_1900,total_2018,total_2024
1,-2.489881648742904,-3.493247058055682,0.5279649036290524,0.6838198974562393,-0.5781407155605045,-0.5213700708461388,0.7250240685936937,1.1807176116455764,-3.341747810148173,-2.9686265565735845,1.294940452853808,1.8558428984983506,-1.452359177303524,-1.602895145722378,1.0332436961870868,1.1879077826366562,0.0,0.0,0.0,0.08491570176669638,-7.862129351755105,-8.586138831197783,3.58117312126364,4.993203892003519
2,0.5583079168785338,-2.893878397783578,0.661354541179282,0.9096052786786046,1.6261969107624452,0.5779250284024151,0.7926604580559271,1.2904280201784246,-3.466379051216953,-3.0839270056135377,1.368991802958215,1.966647212222092,-1.5126968133779597,-1.6694867337258632,1.0761693602314948,1.2372588994945384,0.0,0.0,0.0,0.08491570176669638,-2.7945710369539336,-7.069367108720565,3.8991761624249186,5.488855112340357
3,-1.3444703755018703,-3.457230465788219,0.5561484717721887,0.8739672947582822,-0.31512821903127985,-0.027964490391951813,0.9407734508370069,1.6577747790781139,-3.7969251791357364,-3.375557904304343,1.4859262316576687,2.1322362246645685,-1.5562685213889291,-1.7175746174622277,1.1071673346568163,1.2728968958372173,0.0,0.0,0.0,0.08491570176669638,-7.012792295057816,-8.578327477946743,4.09001548892368,6.021790896104879
4,-7.317861988286609,-3.091791618099704,0.4676792029545407,0.6076471457773791,0.0028080684198350525,0.11710306659926673,0.9463738907026453,1.6643063674447234,-3.7527402994517387,-3.338060669624742,1.4777911389250258,2.1220044396501234,-1.3739054933515154,-1.516309794704603,0.9774298344007988,1.1237392606900847,0.0,0.0,0.0,0.08491570176669638,-12.44169971267003,-7.829059015829783,3.8692740669830106,5.602612915329008
5,-2.4311393751460817,-4.052098964260386,0.5918170979602344,0.7616728115972915,-0.4941349984934895,-0.37689212632798785,0.9086127097956087,1.527395474355675,-3.6405590244601176,-3.2375124404141276,1.4295519668133263,2.0520647870218776,-1.7495852199360846,-1.9309284506810995,1.2446975429296736,1.4310137131551968,0.0,0.0,0.0,0.08491570176669638,-8.315418618035775,-9.597431981683604,4.174679317498842,5.857062487896739
6,-4.7315638321304405,-4.795037704082161,0.7495994763670577,0.9785043569604079,0.5850427899006583,-0.09129410983854669,0.8995912502520298,1.433537047481348,-3.4283305083476447,-3.044264457708238,1.3206355486049002,1.8910870622302602,-1.444950761329289,-1.5947188528409972,1.0279731686042877,1.1818483208104555,0.0,0.0,0.0,0.08491570176669638,-9.019802311906716,-9.525315124469943,3.9977994438282733,5.569892489249168
7,-2.305227371303962,-3.0876993617140136,0.5741162662523558,0.7771200436256676,-0.20518731926966183,0.03573412591659775,0.9758540174439112,1.7221151013475655,-3.591007699145902,-3.186678914881083,1.372713856636494,1.9639189009783093,-1.7468197666704648,-1.9278763602034454,1.2427301321139117,1.428751804731934,0.0,0.0,0.0,0.08491570176669638,-7.8482421563899925,-8.166520510881947,4.165414272446672,5.9768215524501676
8,-4.529240822553278,-3.8306068467989896,0.4698485538736419,0.5844374199757696,0.3199609578389051,0.07612595157713287,0.9568961348195515,1.6213964800011027,-3.1832562233394173,-2.8260400745918632,1.2232238322483158,1.7511376358545327,-1.545002987123438,-1.7051414187946319,1.099152759167569,1.2636826353163537,0.0,0.0,0.0,0.08491570176669638,-8.937539075177229,-8.285662388608353,3.7491212801090774,5.3055698729144565
9,-1.476525801595667,-3.6280127814335317,0.6595180590866834,0.9984897054004405,0.21049878547847456,-0.03636463356917474,0.8280271602006728,1.382409888125924,-3.704862873707045,-3.293917386893376,1.450145668620527,2.0807272781733137,-1.4775303386534007,-1.6306752795697224,1.0511510735059364,1.208495677788761,0.0,0.0,0.0,0.08491570176669638,-6.4484202284776355,-8.588970081465803,3.988841961413821,5.755038251255138
10,-6.230354077784275,-4.682901731876865,0.4605980860384773,0.542993030264971,1.6312404420411042,0.7709149003890303,0.9055919633347287,1.5408524165476223,-3.230650199649501,-2.873802816479628,1.2735926677705012,1.8291823851606368,-1.4361509650059145,-1.5850069640530797,1.0217127791490168,1.1746508267597333,0.0,0.0,0.0,0.08491570176669638,-9.265914800398587,-8.370796612020543,3.661495496292724,5.1725943604996605
