ssp,horizon,arm,component,spread_cm,share_of_width,var_share,forcing_added_cm,pct_of_forcing_added,pct_forcing,addressable_cm
ssp126,2100,fixed,glaciers,3.7194,0.7589,0.3923,,,,
ssp126,2100,fixed,gis,1.4297,0.2917,0.0567,,,,
ssp126,2100,fixed,ais,2.0304,0.4143,0.4285,,,,
ssp126,2100,fixed,te,2.101,0.4287,0.1224,,,,
ssp126,2100,fixed,lws,0.0,0.0,0.0,,,,
ssp126,2100,fixed,cov_residual,,,-0.0211,,,,
ssp126,2100,joint,glaciers,6.0021,0.2467,0.0351,2.2827,12.27,38.03,3.7194
ssp126,2100,joint,gis,4.686,0.1926,0.0229,3.2563,17.51,69.49,1.4297
ssp126,2100,joint,ais,6.907,0.2839,0.8523,4.8765,26.22,70.6,2.0304
ssp126,2100,joint,te,10.2857,0.4228,0.0898,8.1847,44.0,79.57,2.101
ssp126,2100,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp126,2100,joint,cov_residual,,,0.3402,,,,
ssp126,2150,fixed,glaciers,4.5152,0.713,0.3429,,,,
ssp126,2150,fixed,gis,2.2051,0.3482,0.0807,,,,
ssp126,2150,fixed,ais,3.2512,0.5134,0.4603,,,,
ssp126,2150,fixed,te,2.6294,0.4152,0.1161,,,,
ssp126,2150,fixed,lws,0.0,0.0,0.0,,,,
ssp126,2150,fixed,cov_residual,,,-0.0422,,,,
ssp126,2150,joint,glaciers,7.9515,0.2178,0.017,3.4363,10.79,43.22,4.5152
ssp126,2150,joint,gis,6.9029,0.1891,0.0143,4.6978,14.75,68.06,2.2051
ssp126,2150,joint,ais,14.7762,0.4047,0.913,11.5249,36.18,78.0,3.2512
ssp126,2150,joint,te,14.8263,0.4061,0.0557,12.197,38.29,82.27,2.6294
ssp126,2150,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp126,2150,joint,cov_residual,,,0.2852,,,,
ssp126,2300,fixed,glaciers,5.6274,0.5715,0.2676,,,,
ssp126,2300,fixed,gis,4.1339,0.4199,0.1429,,,,
ssp126,2300,fixed,ais,6.5709,0.6674,0.4891,,,,
ssp126,2300,fixed,te,3.4805,0.3535,0.1003,,,,
ssp126,2300,fixed,lws,0.0,0.0,0.0,,,,
ssp126,2300,fixed,cov_residual,,,-0.0929,,,,
ssp126,2300,joint,glaciers,11.0092,0.092,0.0051,5.3818,5.02,48.88,5.6274
ssp126,2300,joint,gis,11.7418,0.0982,0.0066,7.6079,7.1,64.79,4.1339
ssp126,2300,joint,ais,77.0882,0.6445,0.959,70.5173,65.79,91.48,6.5709
ssp126,2300,joint,te,27.1617,0.2271,0.0293,23.6812,22.09,87.19,3.4805
ssp126,2300,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp126,2300,joint,cov_residual,,,0.2174,,,,
ssp245,2100,fixed,glaciers,4.4882,0.12,0.0126,,,,
ssp245,2100,fixed,gis,2.1385,0.0572,0.003,,,,
ssp245,2100,fixed,ais,35.4383,0.9471,0.9797,,,,
ssp245,2100,fixed,te,2.7527,0.0736,0.0048,,,,
ssp245,2100,fixed,lws,0.0,0.0,0.0,,,,
ssp245,2100,fixed,cov_residual,,,-0.0006,,,,
ssp245,2100,joint,glaciers,6.6956,0.1124,0.0172,2.2073,9.73,32.97,4.4882
ssp245,2100,joint,gis,5.7344,0.0963,0.0137,3.5959,15.86,62.71,2.1385
ssp245,2100,joint,ais,43.2596,0.7264,0.9207,7.8212,34.49,18.08,35.4383
ssp245,2100,joint,te,11.8048,0.1982,0.0484,9.0521,39.92,76.68,2.7527
ssp245,2100,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp245,2100,joint,cov_residual,,,0.2994,,,,
ssp245,2150,fixed,glaciers,5.8453,0.0602,0.0028,,,,
ssp245,2150,fixed,gis,3.9253,0.0404,0.0012,,,,
ssp245,2150,fixed,ais,95.4168,0.9827,0.9946,,,,
ssp245,2150,fixed,te,4.0731,0.0419,0.0014,,,,
ssp245,2150,fixed,lws,0.0,0.0,0.0,,,,
ssp245,2150,fixed,cov_residual,,,0.0029,,,,
ssp245,2150,joint,glaciers,9.6484,0.0748,0.006,3.8031,10.69,39.42,5.8453
ssp245,2150,joint,gis,11.0838,0.0859,0.0086,7.1586,20.11,64.59,3.9253
ssp245,2150,joint,ais,103.7991,0.8047,0.9615,8.3823,23.55,8.08,95.4168
ssp245,2150,joint,te,20.3178,0.1575,0.024,16.2447,45.65,79.95,4.0731
ssp245,2150,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp245,2150,joint,cov_residual,,,0.2516,,,,
ssp245,2300,fixed,glaciers,7.774,0.0274,0.0005,,,,
ssp245,2300,fixed,gis,8.1784,0.0288,0.0006,,,,
ssp245,2300,fixed,ais,280.768,0.9891,0.9985,,,,
ssp245,2300,fixed,te,6.4197,0.0226,0.0004,,,,
ssp245,2300,fixed,lws,0.0,0.0,0.0,,,,
ssp245,2300,fixed,cov_residual,,,0.0026,,,,
ssp245,2300,joint,glaciers,12.8644,0.0371,0.0012,5.0904,6.75,39.57,7.774
ssp245,2300,joint,gis,20.9534,0.0604,0.0038,12.775,16.94,60.97,8.1784
ssp245,2300,joint,ais,301.742,0.8691,0.9821,20.974,27.81,6.95,280.768
ssp245,2300,joint,te,43.0091,0.1239,0.0129,36.5894,48.51,85.07,6.4197
ssp245,2300,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp245,2300,joint,cov_residual,,,0.1758,,,,
ssp585,2100,fixed,glaciers,5.9272,0.1182,0.0131,,,,
ssp585,2100,fixed,gis,4.7844,0.0954,0.0091,,,,
ssp585,2100,fixed,ais,50.5577,1.0085,0.9713,,,,
ssp585,2100,fixed,te,4.1293,0.0824,0.0064,,,,
ssp585,2100,fixed,lws,0.0,0.0,0.0,,,,
ssp585,2100,fixed,cov_residual,,,-0.0055,,,,
ssp585,2100,joint,glaciers,8.8676,0.1082,0.0178,2.9404,8.23,33.16,5.9272
ssp585,2100,joint,gis,11.2066,0.1368,0.0326,6.4222,17.97,57.31,4.7844
ssp585,2100,joint,ais,63.8046,0.7786,0.8852,13.247,37.06,20.76,50.5577
ssp585,2100,joint,te,17.2663,0.2107,0.0644,13.1369,36.75,76.08,4.1293
ssp585,2100,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp585,2100,joint,cov_residual,,,0.3367,,,,
ssp585,2150,fixed,glaciers,8.3909,0.0884,0.0075,,,,
ssp585,2150,fixed,gis,11.5406,0.1216,0.0147,,,,
ssp585,2150,fixed,ais,94.7891,0.9986,0.9715,,,,
ssp585,2150,fixed,te,7.6256,0.0803,0.0062,,,,
ssp585,2150,fixed,lws,0.0,0.0,0.0,,,,
ssp585,2150,fixed,cov_residual,,,-0.0087,,,,
ssp585,2150,joint,glaciers,11.4876,0.0779,0.0089,3.0968,5.16,26.96,8.3909
ssp585,2150,joint,gis,26.8842,0.1824,0.0548,15.3436,25.57,57.07,11.5406
ssp585,2150,joint,ais,107.8058,0.7315,0.851,13.0166,21.7,12.07,94.7891
ssp585,2150,joint,te,36.1649,0.2454,0.0853,28.5393,47.57,78.91,7.6256
ssp585,2150,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp585,2150,joint,cov_residual,,,0.3346,,,,
ssp585,2300,fixed,glaciers,10.5997,0.0418,0.0017,,,,
ssp585,2300,fixed,gis,26.8505,0.1059,0.0116,,,,
ssp585,2300,fixed,ais,252.3555,0.9957,0.983,,,,
ssp585,2300,fixed,te,15.2999,0.0604,0.0037,,,,
ssp585,2300,fixed,lws,0.0,0.0,0.0,,,,
ssp585,2300,fixed,cov_residual,,,-0.0024,,,,
ssp585,2300,joint,glaciers,11.9517,0.031,0.0012,1.352,0.82,11.31,10.5997
ssp585,2300,joint,gis,60.733,0.1577,0.032,33.8825,20.48,55.79,26.8505
ssp585,2300,joint,ais,303.0692,0.787,0.8925,50.7138,30.65,16.73,252.3555
ssp585,2300,joint,te,94.7982,0.2462,0.0743,79.4984,48.05,83.86,15.2999
ssp585,2300,joint,lws,0.0,0.0,0.0,0.0,0.0,,0.0
ssp585,2300,joint,cov_residual,,,0.2794,,,,
