tag,band,n_draws,ton_med,amp_med,window,bias_sigma,rmse_cm,band_cm,cov90
L14,MID,2000,-17.84345320793425,0.9446776391974685,full,-0.015481908547275556,0.028524165099117153,0.10478446023668125,0.8571428571428571
L14,MID,2000,-17.84345320793425,0.9446776391974685,1950-1992,0.02329075573521087,0.006651151612525655,0.08050295879065543,0.9767441860465116
L14,POOLED,2000,-17.84345320793425,0.9446776391974685,full,-0.015481908547275556,0.028524165099117153,0.10478446023668125,0.8571428571428571
L14,POOLED,2000,-17.84345320793425,0.9446776391974685,1950-1992,0.02329075573521087,0.006651151612525655,0.08050295879065543,0.9767441860465116
L16,LOW,154,-18.939471640756565,1.0655412207500692,full,-0.1328507361558958,0.069820550469759,0.1253426126573533,0.5079365079365079
L16,LOW,154,-18.939471640756565,1.0655412207500692,1950-1992,-0.32756593623860236,0.05909500987100169,0.07762301472477628,0.11627906976744186
L16,MID,1729,-17.75996607861699,1.053505388698881,full,-0.01660303281828532,0.029198510288825606,0.0957216296221783,0.8492063492063492
L16,MID,1729,-17.75996607861699,1.053505388698881,1950-1992,-0.003472224468188654,0.007951863726210675,0.07003616101468724,0.9767441860465116
L16,HIGH,117,-16.408154774205617,1.1066458907799868,full,-0.17675951808740906,0.06476542232414785,0.17418299654636915,0.8492063492063492
L16,HIGH,117,-16.408154774205617,1.1066458907799868,1950-1992,-0.33897584215390597,0.061044906887252136,0.12671560446136015,0.9767441860465116
L16,POOLED,2000,-17.763033531981783,1.0573691048032132,full,-0.021303475766600678,0.030121039028943173,0.1202965822728055,0.8650793650793651
L16,POOLED,2000,-17.763033531981783,1.0573691048032132,1950-1992,-0.02209899438324374,0.009050038153355602,0.09865286515730184,0.9767441860465116
L17,LOW,483,-22.370650378043095,1.1046721862043618,full,-0.1330455714536549,0.06901989530995739,0.12228912313410566,0.47619047619047616
L17,LOW,483,-22.370650378043095,1.1046721862043618,1950-1992,-0.3343048032764507,0.06004932652014026,0.0792910850655361,0.06976744186046512
L17,MID,1261,-17.751106443226323,1.053704716921253,full,-0.01868839778489679,0.029573111305052194,0.09835218176925384,0.8492063492063492
L17,MID,1261,-17.751106443226323,1.053704716921253,1950-1992,-0.003623545686522866,0.008469045127375834,0.0726275839515195,0.9767441860465116
L17,HIGH,256,-10.79360820112459,1.0816531508806162,full,-0.14051517543723283,0.07324006263460243,0.14748914681208755,0.5396825396825397
L17,HIGH,256,-10.79360820112459,1.0816531508806162,1950-1992,-0.3608851947868521,0.06464069907649404,0.09705950312767125,0.20930232558139536
L17,POOLED,2000,-17.77722695585091,1.0733803145338556,full,-0.04588550827335614,0.03589934087074884,0.1379850928758593,0.873015873015873
L17,POOLED,2000,-17.77722695585091,1.0733803145338556,1950-1992,-0.09407598545793021,0.018947684014448078,0.1151261730790001,0.9767441860465116
