product,amp,offset,best_tau,joint_best,joint_inf
three-product mean (SHIPPED),1.9221976385152952,1.2863968095265985,25.0,0.17412822081280946,0.2653501364996714
HadCRUT5,1.971762,1.319566882781602,25.0,0.17515944057956,0.2926431316219033
BerkeleyEarth,1.510166,1.0106519149383957,inf,0.1690535886633737,0.1690535886633737
GISTEMP,2.284665,1.5289716873792216,0.0,0.17568208461380516,0.4593339004485832
