draw,ais2100,ais2300,gis2300,tot2300,ais_ocean_temperature₀,antarctic_alpha,antarctic_nu,antarctic_temp_threshold,anto_alpha,anto_beta,gis_c1,gis_c0,gis_f,gis_alpha_f,gis_beta_f,gis_slow_ell,gis_slow_w,gis_amp,gis_s_high,thermal_alpha,gic_a_R19,gic_b_R19,gic_T_off_R19,gic_log10_kappa_R19,gic_a_SLOWP,gic_b_SLOWP,gic_T_off_SLOWP,gic_log10_kappa_SLOWP,gic_a_FAST,gic_b_FAST,gic_T_off_FAST,gic_log10_kappa_FAST,gic_amp_R19,gic_amp_SLOWP,gic_amp_FAST,gic_u_unch,gic_u_pre,gic_s_r5,d2_steric_1,d2_steric_2,antarctic_lambda,antarctic_gamma,antarctic_kappa,ais_gmst_amp,ais_mu,ais_bedheight0,ais_slope,ais_iceflow0,ais_precip_u,ais_runoff_Ton,ais_c,sd_ais,rho_ais,sd_gsic,rho_gsic,sd_gis,rho_gis,sd_steric,rho_steric,gis_alpha_s,gis_beta_s
1,6.3767500252492075,210.6651974542997,26.27487605409775,310.2306092258818,1.1437773672208156,0.3704215507062446,0.008505757971994694,-15.456371717612098,0.24505157748313985,1.3863483982073213,0.06724542523254468,0.052080991687225214,0.5988343120335236,0.0016367574025058001,0.005344125346779577,-5.387266139914724,0.36756859193792046,2.064834298881347,-0.5567679865648626,0.16118666912056945,0.08907593505893587,1.372814283748052,-0.6114997009248008,-2.7768815556425572,0.11761216245564562,0.13418249665831988,-2.413309306709787,-3.4336266738741554,0.1538645354313955,0.2820118358705739,-1.7819664973468525,-2.626421843309364,0.7156008128122404,2.715577290924639,1.4610405194693659,27.787162542661697,0.6947629081179503,0.8838974152506089,0.26296932332091133,0.0282745414917301,0.011988693350569558,2.989033020338466,0.058384428623261736,1.0061240172726928,8.508665501032887,779.4587889440235,0.0006096921176531903,1.1411323009490146,-1.664838382732268,-17.743182259739136,113.32855397551712,0.02105047329473085,0.8612199461273999,0.01376583129563791,0.4884626524926228,0.03534719666990143,0.8831560357815288,0.09559021886747367,0.8608135529634516,0.0008565243509812714,0.002893033567849161
2,5.288347444669494,25.574444226000583,22.2077265898423,122.13420804079739,0.8409532073515994,0.28661210357823197,0.012130396340203546,-14.504421591751942,0.36553637779412596,0.7386150916280113,0.05592433639882281,0.06628396949933167,0.6696000278342279,0.00020545064231180835,0.0077240731302518776,-5.186467162191714,0.055004682394779764,2.257881920740624,-0.4482277352773033,0.16631481908563042,0.09356204594458031,2.8913909802011557,0.2280212766817089,-2.993142145545838,0.11722059948242333,0.173159810483455,-2.9953753624465054,-3.3908156805865772,0.12922539932726917,0.4252814567458614,-1.0057014202340657,-2.5740579250715685,0.7994664951136071,2.6534500555711005,1.4169445735370039,33.24134658881556,9.982439733279397,0.34262381760682037,0.09397136946380574,0.22160475925014567,0.013626474500657751,2.310693307045526,0.06981571954401014,1.1569717576152274,12.22170668798405,783.7188112543114,0.0006096056405259132,1.2181048030947939,-1.7161716304126136,-17.630304668772602,100.9215374056121,0.019541600239665995,0.8418365515751566,0.018642586122578565,0.5144935965936209,0.02536087362800207,0.9878024839692445,0.10349064155200005,0.9015285829667152,0.00015667758513796792,0.005284155477195102
3,6.168790652149239,270.0745431977047,20.05316407598427,361.71162071543154,0.6382613857920088,0.29461900303164423,0.005309810518292686,-15.369340438658766,0.4585907669033934,0.3587408563985814,0.043747296991502656,0.08085541162280013,0.6046545937145161,0.001674514892693463,0.005903618170687071,-5.20154247868788,0.22385832613099432,2.0631032139410204,-0.39598896073189405,0.15620366980829234,0.09747824088791443,2.2983442414591164,0.679796816006868,-2.9462203843189596,0.1352364908011491,0.1164691478707744,-3.319393453254481,-3.386596541723703,0.15518309021867052,0.35731978856021795,-1.1436057190052968,-2.6979460347909305,0.8617964125620048,2.396417584345268,1.4074604989574413,30.30453641832703,12.294905979624797,1.4780209532517719,0.158419327062727,0.08978274405743056,0.01494664405409852,1.7108670239202668,0.059752320127905746,1.0922999808437646,10.636461056787667,786.4942764958347,0.0006144768406432313,1.1991068385459567,-1.7237564170531088,-17.715740270372898,78.17239032737056,0.02539258405831925,0.7352839192064851,0.018026899533174115,0.5218630844538841,0.02454688466330124,0.9721759510225214,0.08556748291746362,0.9676498044805936,0.0006281065656215152,0.004275036302862772
4,28.477158426650856,244.73209445947418,14.560073966286456,326.265747845279,1.184669926425325,0.3736390796448205,0.011861534543878567,-15.720635824515568,0.38643131980614437,1.1231918119090365,0.02896235091909498,0.10030102949473992,0.6440272249996515,0.003147674827969377,0.009374744236446709,-5.218776139581465,0.18593642236150754,2.1236679732208956,-0.548708790686472,0.15542046956086608,0.07964844653478732,1.9522734000391575,0.6988717490740046,-2.7411290909561186,0.09067194948482009,0.19796662873365273,-3.4236886153907524,-3.258445709712603,0.14527563962515258,0.30386600526623836,-1.9493915570414626,-2.455884814152039,0.7809566176072602,2.152238630252378,1.4129793113731195,26.217278958032924,6.713825992510408,3.1074847782824975,0.2792728660633384,-0.04063542501335385,0.011822009010989433,2.8846328924049893,0.06583202130772009,1.1118480496773697,11.152452806255608,775.1174074737157,0.0006047817608518764,1.1321410731078592,-1.7868666612991473,-17.488039940178126,71.4212063129541,0.022015192712325268,0.893634541981917,0.01483688417026355,0.36549331250041267,0.0268155947614847,0.986988554234636,0.10639958468065384,0.9397136699546333,0.0005127906142779811,0.004407300315190988
5,6.55519367325213,192.30497530508072,21.422934376343495,295.4681464719442,0.8533060218867152,0.4026087348686852,0.012829253889461148,-15.54944010634625,0.3376412732487105,0.7328853914220608,0.04230946388290967,0.12202603117270147,0.47591528015976325,0.002994400819241819,0.003700642051525553,-5.58973235229289,0.4611057098961172,2.263033174334821,-0.634391030314604,0.17992739829579807,0.10773682625826868,1.0890639713034396,0.05679094300710809,-2.903233850057978,0.14403814764392173,0.23040650106569374,-2.2139305292186187,-3.5397600324113867,0.16022434082464107,0.3118163729766447,-1.6327057482210534,-2.6189163691512896,0.7873174431178138,2.6330005505845286,1.5367929112034138,26.5808807380445,3.7496464137808374,4.561722979604469,0.14212974240672943,0.06536083176146197,0.01232645464157725,3.9705739304352883,0.06470024073986164,0.9808582123973932,10.810979527493787,780.0891090100572,0.0006101627111510463,1.1486985251129183,-1.7438237435597281,-17.601045304688096,60.22292944529659,0.020727685442351804,0.9635606968507707,0.01612631322309523,0.6951720812481752,0.024289338831126904,0.9373963428391774,0.12098299527379297,0.9292930336578811,0.0008775499810318165,0.0020133239790998776
6,49.591273503727294,207.0056187730039,19.176075321555487,296.67832049431564,0.8835127532810833,0.31547814828067244,0.00953480728518097,-16.29059335838436,0.44052650743795796,0.7154457927244976,0.05106962346901242,0.11574885332838185,0.5517850532880373,0.0016780430120918236,0.006186933739082237,-6.0389848086331535,0.27873545647889447,1.811295710220694,-0.47817236317265693,0.16429433445577976,0.09360503405155349,0.2037592828338209,-1.8483292388925212,-3.003476762180004,0.10613113788942485,0.19612799758294586,-2.744619251165399,-3.4578183991020124,0.160241038390075,0.2695374466645954,-2.018622655628883,-2.4937610282173037,0.8394571398522602,2.389688719641747,1.3678197889964052,36.66873563221782,3.177275212607304,5.226189618415075,-0.071440134578905,0.24831122452486504,0.008219041260351317,0.7403790528240819,0.06973439017387748,1.352755081789663,11.627289528455846,771.9707694437795,0.0006188343593204058,1.0570340700200058,-1.7084801052067788,-17.564879927366523,78.1427611334251,0.02311017576593293,0.828186664511047,0.011758401179777405,0.04454677974148605,0.023770896800100506,0.919355279072468,0.10534528455660225,0.9821260721263056,0.0003384976943052931,0.0017194787168881183
7,24.50901798368564,230.13134417019145,18.622705017965615,320.84762163397346,0.7060138833656819,0.3208898573285115,0.007505581466300397,-15.777425752766685,0.30540193577597,0.7783964917538565,0.054372627788808615,0.07218635684480737,0.6975014394368827,0.0010324742630031573,0.007292387139408287,-5.475900414381242,0.2051584942648414,1.6488328408469128,-0.5512197127449578,0.1581961076084333,0.06531067464541254,1.2420591950422155,0.5793875976864189,-2.9343749492965436,0.08094510492971321,0.35408228265708047,-1.6448689905348677,-3.403251077772306,0.1942057486010702,0.2921333802567098,-1.36438553190318,-2.755921211837192,0.830153554737435,2.2719838518612647,1.6201333705832321,40.88555450376577,6.722178725898872,4.634196218446665,0.1847492085051981,0.016207694022352562,0.009683308703240731,1.5043138126971505,0.06319500368161994,1.0803584578395247,8.780870896434404,756.1656296083438,0.0006008601974296105,1.0368415264752022,-1.7691605845342666,-17.54736400076174,72.80571242728213,0.0207459759763651,0.8975276313645117,0.011437142643614527,0.5960467870540911,0.027144664611379182,0.9329646107174552,0.09305444644652192,0.8621142924595676,0.00043751953266899624,0.003327570028823557
8,27.034329791058973,172.53304463495996,19.16823363919284,262.5564428474154,0.882169574478129,0.3424239959716785,0.005713161553803714,-16.185208980523445,0.4446951744310567,0.8848157065359329,0.051071647310359854,0.12524955069036983,0.45884573335205014,0.002693617443281751,0.004173408115125735,-5.6352771219570625,0.1759804012698376,1.8178361819859992,-0.6982082034212534,0.1638429475192063,0.09908705846387876,0.31340207343476023,-0.006052038952826799,-3.018211481772306,0.1238676358661637,0.1333104572189867,-2.588203092650477,-3.3094617248621243,0.14588277747079229,0.36226565148151624,-1.6527373590759096,-2.6800900837709136,0.8153598549809009,2.5763110082256593,1.372013559708496,27.597544176098957,13.00645758752506,1.0641881862726226,0.30980240412016014,0.005607116557114291,0.006137021626477486,1.1592763516799816,0.08055157716615485,1.0104756519309641,8.462386957153829,773.1925589092543,0.0006098597320102179,1.084896246238863,-1.7106851638783012,-17.744658224943795,85.23111629022343,0.021547661468404894,0.8938793969059934,0.019646244086201553,0.804633705842273,0.026031035227037237,0.9846895039470933,0.10518354516685095,0.8452205679178155,0.00032000430619709804,0.0029414927557235545
9,48.372422827754384,208.75676622719155,25.503692740266015,309.8362033998753,1.4561124707906004,0.4689943795974421,0.004437845011165872,-16.313366925856347,0.3324504515689879,1.5969855220779412,0.07748549660084662,0.09424605515972644,0.7243551466727199,0.0007381028805714554,0.004510953457975401,-5.854445218326146,0.3598338306757681,1.872520265621086,-0.6248130201814781,0.17060561369263239,0.06680738835759005,1.3102186237253608,-0.13984292051234953,-2.8220620314104994,0.13800549672105827,0.10682356327447703,-3.989002302512676,-3.6069859247020974,0.15877784412504245,0.3319076992530402,-1.2748600363280551,-2.5072928811553035,0.7244891591136756,3.1046033330633187,1.468345508132399,30.54311042553783,0.8602514006811027,1.8277920837592843,0.2950722882549075,-0.0023529146621563413,0.007649110466050333,2.4647060792156807,0.04983660188852161,1.2686471343183576,9.259729989540578,763.8599755545213,0.00060281547069149,1.1135684318142653,-1.6954541514163046,-17.36233770840801,88.67604328732867,0.02132012187321932,0.8509084480539673,0.017784761238811023,0.6011390363559905,0.020278477773611185,0.9013798535851173,0.10200147862137958,0.8502057732213695,0.0005255451302483915,0.0018354369331959586
10,72.31799984284264,300.8470299629789,24.300842831049188,394.0492021888556,1.0521502910279628,0.45022046431610363,0.01359450196522059,-16.2406717866712,0.2829642655772803,1.6074461025593023,0.08460764911792185,0.10805361785044287,0.6901801206686649,0.000788034265294424,0.003701049739428377,-5.819693428652496,0.004751654536899106,1.7550675758665297,-0.7076512564531067,0.14986198091578742,0.06402442896478577,0.7127897972262808,-0.17089030918087972,-2.914672997344326,0.12596279969032512,0.16962105484620746,-3.674588976635495,-3.729391815780445,0.15420173276010946,0.32675109981126715,-1.45512979710083,-2.656672923688937,0.71305626979398,3.0740970035083555,1.4760700551407422,31.234308758851657,10.378442521383446,6.132286667784617,0.17495317183662462,0.0378727887105311,0.012373614688644478,2.068699636697242,0.0723646310506147,1.3522477744842556,10.519188244876576,767.2979643857194,0.0006009420347451291,1.004425380144453,-1.714161186230325,-17.372914371185953,67.56725862849243,0.021325531258741183,0.9814867233769677,0.01561326983633105,0.6872911479762978,0.02352240493814287,0.9635398127802627,0.10075136379812624,0.8392016667530513,7.185308062618558e-6,0.002954409708874175
