param,scenario,horizon,contrast_frac_spread,rank
antarctic_temp_threshold,ssp245,2100,-0.681643,1
antarctic_temp_threshold,ssp245,2150,-0.691991,1
antarctic_temp_threshold,ssp245,2300,-0.678818,1
antarctic_temp_threshold,ssp585,2100,-0.479066,2
antarctic_temp_threshold,ssp585,2150,-0.237224,3
antarctic_temp_threshold,ssp585,2300,-0.069938,10
antarctic_lambda,ssp245,2100,0.015364,10
antarctic_lambda,ssp245,2150,0.046611,7
antarctic_lambda,ssp245,2300,0.562888,3
antarctic_lambda,ssp585,2100,0.713393,1
antarctic_lambda,ssp585,2150,0.898286,1
antarctic_lambda,ssp585,2300,0.915893,1
ais_gmst_amp,ssp245,2100,0.441153,2
ais_gmst_amp,ssp245,2150,0.606925,2
ais_gmst_amp,ssp245,2300,0.672249,2
ais_gmst_amp,ssp585,2100,0.475696,3
ais_gmst_amp,ssp585,2150,0.369265,2
ais_gmst_amp,ssp585,2300,0.295969,2
ais_runoff_Ton,ssp245,2100,0.060306,3
ais_runoff_Ton,ssp245,2150,0.291285,3
ais_runoff_Ton,ssp245,2300,0.547770,4
ais_runoff_Ton,ssp585,2100,0.324666,4
ais_runoff_Ton,ssp585,2150,0.208657,5
ais_runoff_Ton,ssp585,2300,0.166911,6
antarctic_alpha,ssp245,2100,0.058980,4
antarctic_alpha,ssp245,2150,0.185573,4
antarctic_alpha,ssp245,2300,0.208781,5
antarctic_alpha,ssp585,2100,0.192898,5
antarctic_alpha,ssp585,2150,0.181524,6
antarctic_alpha,ssp585,2300,0.156029,7
