component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.7681519642532018,-0.9220235777030048,-0.15387161344980305,true,true
glaciers,1900,-7.27700420293,-6.379721021081902,0.8972831818480973,true,true
gis,1900,-4.130332357233222,-4.081468421598752,0.048863935634470224,true,true
te,1900,-3.6098928928375242,-3.62408355385438,-0.014190661016855621,true,true
total,1900,-13.937918849348069,-13.699137621945873,0.2387812274021961,true,false
ais,1950,-0.4967158928573277,-0.6409516816937209,-0.14423578883639315,true,true
glaciers,1950,-2.64135585698,-2.9254718019285657,-0.2841159449485655,true,true
gis,1950,-1.3604312723333192,-1.6601338225301618,-0.29970255019684267,false,true
te,1950,-2.815257120132446,-2.6289227711607768,0.18633434897166934,true,true
total,1950,-5.985805844939225,-6.429659465474051,-0.443853620534826,true,false
ais,2000,0.003957722236363703,-0.00668121130668764,-0.010638933543051343,false,true
glaciers,2000,-0.00850888165561,9.93253593049026e-5,0.008608207014914902,false,true
gis,2000,-0.04322274381464186,-0.030112079407127457,0.013110664407514405,false,true
te,2000,-0.23769707679748553,-0.0056237937878476085,0.23207328300963792,false,true
total,2000,-0.2893630562230687,-0.27011512821570366,0.019247928007365023,false,false
ais,2018,0.8568468333363638,0.5570183564532185,-0.2998284768831453,false,true
glaciers,2018,1.20556921092,1.2088387120962776,0.003269501176277556,true,true
gis,2018,1.2730523759668522,1.1073183148515588,-0.16573406111529332,false,true
te,2018,2.074393606185913,2.682429707750572,0.6080361015646587,false,true
total,2018,5.965000044906917,6.148799308528525,0.1837992636216077,true,false
ais,2025,0.9122723537916689,0.8533572114066861,-0.058915142384982855,true,true
glaciers,2023,1.63055217082,1.5641107863458332,-0.0664413844741667,true,true
gis,2025,1.6502983936827973,1.4921438331220513,-0.15815456056074595,false,true
te,2025,3.2329575871586798,3.968736799871818,0.7357792127131382,false,true
total,2024,8.225314682835013,8.373951684152317,0.1486370013173044,true,false
ais,2019,0.9058193053363638,0.5966195608326179,-0.3091997445037459,false,true
ais,2020,0.9409419163363638,0.6368879683576194,-0.3040539479787444,false,true
ais,2022,0.9587775273363638,0.7203166996493381,-0.2384608276870257,false,true
ais,2024,0.910532712907691,0.807783904620595,-0.10274880828709598,true,true
ais,2025,0.9122723537916689,0.8533572114066861,-0.058915142384982855,true,true
