year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1900,-0.7532761659431518,-0.6326889321653397,-0.5088235466377962,-1.3091393275277543,0.005878526174005209,-0.6340783032503996,-6.193984434264127,-5.540746809031444,-4.8459544013309594,-7.200454343734496,-3.731660843611452,-7.27700420293,-4.262408362688465,-4.080896565226178,-3.906302991182845,-5.139175207750039,-3.003822484925602,-4.130332357233222,-3.890358274298168,-3.7643885390396683,-3.624172473660639,-4.770008187576054,-2.745316122377552,-3.6098928928375242,-13.828028275583481,-12.662341627705635,-11.810828035636332,NaN,NaN,-13.937918849348069,-5.791280944697327
1901,-0.7456730942041454,-0.6272215383066997,-0.506299661527547,-1.2742432811681854,0.038149726393896764,-0.6286254796114836,-6.16024066700342,-5.51207335011606,-4.817311161471164,-7.2623088085110785,-3.788678977781454,-7.19201579961,-4.200822231898774,-4.02779930989832,-3.8594247141530884,-5.0666108839615545,-2.970372795240497,-4.14182832891291,-3.863060266549854,-3.7379744403214965,-3.598742248141098,-4.73467119751553,-2.772484307281669,-3.6964476108551025,-13.419703531148523,-12.258289721019533,-11.405943359390763,NaN,NaN,-13.717743189686836,-5.731054595681205
1902,-0.737594445176341,-0.6222403727838388,-0.5032282772496706,-1.2589395625739845,0.06640175610411309,-0.6231535824862393,-6.091013970109405,-5.4552180463645055,-4.767697965495724,-7.1603597423842995,-3.7526285552474574,-7.10599819097,-4.13761174430451,-3.9717057532497364,-3.80976301027268,-5.069025851446747,-2.9770239710060347,-4.110059530084785,-3.839757574355042,-3.715426288906638,-3.5770339709953736,-4.696742624773877,-2.7921152912888756,-3.7697138309478753,-13.125594741448598,-11.984012857207318,-11.140613913543076,NaN,NaN,-13.307361420412224,-5.669799041345083
1903,-0.7301006766392131,-0.6169976806709256,-0.5004338704675066,-1.233086859962089,0.01895351229050184,-0.6177760037508879,-6.017298542134439,-5.394829673769043,-4.713047492577105,-7.1002212783188146,-3.6990857391479945,-7.04884410771,-4.09831038910112,-3.938694467414334,-3.7840831870299567,-4.971928203305992,-2.81809327958774,-4.069244558160955,-3.8208371470989784,-3.6971185047657786,-3.55940811578704,-4.713088128358169,-2.758638702903518,-3.89201683998108,-12.985186991051437,-11.860553289386292,-11.027281331951347,NaN,NaN,-13.366047505500095,-5.637407012388961
1904,-0.7228806572852257,-0.6124529758998489,-0.4975514581907816,-1.2228333850582296,0.007789971075545829,-0.612356558713046,-5.958447782766222,-5.3482839780188165,-4.675208636745284,-7.047107650234449,-3.690834332697807,-6.9647086707,-4.071635244719638,-3.916626311231054,-3.7684468989074063,-4.889732456914892,-2.9832878439243355,-3.986545354669745,-3.8463598118232785,-3.721814746037089,-3.5831844706691527,-4.723185589836814,-2.7258644739722206,-4.005975580215455,-12.960692309471517,-11.849070282808224,-11.020325806611273,NaN,NaN,-13.401862591297018,-5.578033629682839
1905,-0.7150046767396652,-0.6079857611514632,-0.4959816939536143,-1.236963940126629,0.012454607422499521,-0.6069045933810149,-5.897445810996271,-5.3004665016154995,-4.636517836572327,-7.002361873683832,-3.6321224915931154,-6.86514507207,-4.057520921166151,-3.9041304687288174,-3.7606398147033824,-4.745383215422813,-3.0514297516557494,-3.965610296075995,-3.8314266437936153,-3.707365113736178,-3.56927305873694,-4.625012868160306,-2.7988586111661538,-4.084479761123657,-12.807694278951692,-11.710249082730716,-10.89482855857574,NaN,NaN,-13.311246733632538,-5.503232085356716
1906,-0.7069764427011448,-0.6032570019932463,-0.49411012302620194,-1.1882656374962792,0.018029910259095696,-0.6014521512118254,-5.828958066735328,-5.2424658592198785,-4.585505847440791,-6.8350736902267855,-3.584250577276011,-6.78516536626,-4.0143028487132995,-3.868638784388847,-3.7313431631334923,-4.733817067766575,-3.008296895075115,-3.9195184534246272,-3.8018359456655753,-3.678732561914078,-3.5417070131260404,-4.753380738358293,-2.67356437623249,-4.1820330142974855,-12.861942760563004,-11.782855583327528,-10.98329025090423,NaN,NaN,-13.567440039263273,-5.448014433850595
1907,-0.6992530500969254,-0.5979276582151658,-0.4917393490219839,-1.1778621181248845,-0.007304386060443143,-0.5960208806124601,-5.763741484462751,-5.188574024072002,-4.5366342311118375,-6.834476529251701,-3.591785336217463,-6.7199607459,-4.0028218863488,-3.860770635181714,-3.724819090978961,-4.757593591423755,-3.0262232340933877,-3.8829637354070488,-3.7699401158430685,-3.6478695185228713,-3.511993557367741,-4.546724096405524,-2.7372498956671745,-4.245766305923461,-12.778447275045872,-11.717619260317381,-10.928848942524132,NaN,NaN,-13.430518857797505,-5.407571867794472
1908,-0.692952889988292,-0.592964140625762,-0.48922317991007314,-1.2326664992504626,0.0006056163276605496,-0.5906124981966887,-5.709505729371605,-5.145283945552765,-4.49998315414884,-6.758733384949763,-3.4716008981600877,-6.64097972783,-3.9916862230929206,-3.8539410580593767,-3.7199463144539564,-4.676291994423059,-3.03405114007879,-3.8119527643377134,-3.8026087004631064,-3.679480294924308,-3.5424268945530546,-4.6652441020909965,-2.616623116397807,-4.304152536392211,-12.665677525420831,-11.620126274145864,-10.84697887722017,NaN,NaN,-13.478100215899776,-5.35335290402835
1909,-0.6858573167096023,-0.5882422969920011,-0.4871301251928759,-1.1631946844212453,0.007522866390402379,-0.5851665410128508,-5.646782599130905,-5.092893106019543,-4.456632407996256,-6.697375402913932,-3.397302019394862,-6.56629558477,-3.938177593237697,-3.8067688813534604,-3.6775325205623335,-4.529415093008304,-3.0913733183335492,-3.7546384638006036,-3.815679362086464,-3.6921277287449135,-3.5546032363519218,-4.6799112770175935,-2.7144854322827934,-4.4123697757720945,-12.472213066786233,-11.440877583829492,-10.680697557451298,NaN,NaN,-13.127202387002756,-5.303430815272228
