name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_bedheight0,39,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,747.9070014607295,779.2226949697831,810.9284621166505,779.4447849902858,Bed height at the continent centre b₀,m
ais_slope,40,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.000577592060350695,0.0006249571956632,0.0006776998159975099,0.000625982620383885,Bed slope,–
ais_iceflow0,41,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.7165253132905536,1.083552273919621,1.5567818949393093,1.1012501115282889,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,42,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-1.784802139375668,-1.6680244332731125,-1.4976989054988428,-1.6600977518919449,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
ais_runoff_Ton,43,antarctic_icesheet,-15.635803044193976,5.538678616391889,-43.273209157795954,-5.221713088869225,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,-22.991310501244378,-17.78527891275951,-9.646068582955953,-17.086862615346273,Runoff onset temperature T_on = −h₀/c (sampled in place of h₀),°C (DAIS scale)
ais_c,44,antarctic_icesheet,97.23491521829128,26.614172731873794,47.5013542175293,142.49981689453125,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,53.671696502375575,84.06115712511419,125.26139331646313,85.90345862070313,Runoff-line slope c,m °C⁻¹
sd_ais,45,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the ais residual,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.01150866266629739,0.01423608898290345,0.017347063908833005,0.014313600443776596,"AR(1) innovation sd, Antarctica",cm
rho_ais,46,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the ais residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.910580356857545,0.966904841395908,0.9877078758732721,0.9605565039488485,"AR(1) autocorrelation, Antarctica",–
sd_gsic,47,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gsic residual,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.012125699181600764,0.0167268178154954,0.022064406039018568,0.016868254936492622,"AR(1) innovation sd, glaciers",cm
rho_gsic,48,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gsic residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.15623798340594855,0.5984808284380223,0.9415602685388901,0.5841797146020254,"AR(1) autocorrelation, glaciers",–
sd_gis,49,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the gis residual,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.021995861429813152,0.025484705305793,0.0297183368310367,0.025614032535853943,"AR(1) innovation sd, Greenland",cm
rho_gis,50,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the gis residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.8394897562071526,0.9589520468908176,0.9877928007596231,0.9412767899854021,"AR(1) autocorrelation, Greenland",–
sd_steric,51,noise,0.0,5.0,0.0,inf,"half-normal N+(0, 5) cm",AR(1) innovation sd of the steric residual,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.08946041129765447,0.1009575446030879,0.11445509089553496,0.10134754988850232,"AR(1) innovation sd, thermal expansion",cm
rho_steric,52,noise,,,0.0,0.99,"flat on [0, 0.99)",AR(1) lag-1 autocorrelation of the steric residual; 0.99 is a hard bound,ladrillo_prior_posterior_table.py | tag L30 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L30) | posterior parameters_subsample_brick_mengel_L30.csv n=10000 | quantiles 5/50/95 over all draws | commit d9b24a4 | 2026-09-22 11:39,0.8566796172705604,0.9400528320558076,0.983343991307847,0.9328701795544617,"AR(1) autocorrelation, thermal expansion",–
