model,climate,horizon,diff_of_medians_cm,paired_median_cm,ref_total_cm,n,pct_of_ref_2300
Ladrillo L24,FaIR,2150,4.326376920172471,3.317854032723993,49.36275551891805,2000,6.082201730022231
Ladrillo L24,FaIR,2300,3.4284729220103003,2.2129576630862076,71.13175642986538,2000,4.819890712793958
Ladrillo L24,MAGICC,2150,10.965016970640654,7.77536511072995,39.68170769640263,2000,18.93112117572463
Ladrillo L24,MAGICC,2300,9.581656737427721,5.6492102721414845,57.92058942975386,2000,16.542747288593052
BRICK 2.0,FaIR,2150,6.330121460180081,3.3449732823626164,56.96575291459821,1000,6.814946041168902
BRICK 2.0,FaIR,2300,5.657924336330765,2.5748978725835627,92.88586324733886,1000,6.091265278188458
BRICK 2.0,MAGICC,2150,21.844813581387257,15.433953639991635,48.06384224602462,1000,26.980605803499536
BRICK 2.0,MAGICC,2300,19.36316714813931,11.715931655410898,80.96487432670567,1000,23.91551559754909
FACTS wf1f IPCC-AR5,FaIR,2150,3.1055755615234375,3.213926315307617,64.08872985839844,200,2.2890073841342335
FACTS wf1f IPCC-AR5,FaIR,2300,3.108001708984375,3.386667251586914,135.6734619140625,200,2.2907956096476902
FACTS wf2f LARMIP-2,FaIR,2150,5.4812469482421875,5.476715087890625,76.33207702636719,200,4.227094525166592
FACTS wf2f LARMIP-2,FaIR,2300,6.18927001953125,5.388954162597656,129.66937255859375,200,4.773116347682258
FACTS wf3f DeConto/Kopp,FaIR,2150,5.765922546386719,4.064891815185547,81.72362518310547,200,2.8104603503790613
FACTS wf3f DeConto/Kopp,FaIR,2300,10.50830078125,4.9704742431640625,205.15936279296875,200,5.122018628930028
FACTS wf4 Bamber-SEJ,FaIR,2150,4.991119384765625,2.400136947631836,90.26252746582031,200,2.7176995774537067
FACTS wf4 Bamber-SEJ,FaIR,2300,8.297531127929688,1.6544561386108398,183.65235900878906,200,4.5180640056644155
MAGICC-SLR,MAGICC,2150,15.47664770384445,15.433122638221825,45.9368640506098,600,23.27518673608866
MAGICC-SLR,MAGICC,2300,14.281136372857516,12.75035135573869,66.49419349167921,600,21.477268349219987
