label,arm,variant,profile,nres,hind,sigma,rho,delta,u_mm,delta_sigmas,logJ,ll_flow,flow_win,flow_win_deficit,rate_modern_hind,S1900_mm,inv_z,S2020_all_mm,com1p2,com1p5,com2p0,com3p0,ds126,ds245,ds585,spread,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,g_inv,g_s1900,g_lad,g_spread,npass,feasible,kappa_SLOW,nu_SLOW,kappa_FAST,nu_FAST,kappa_R19,nu_R19,kappa_SLOWP,nu_SLOWP
A_4rung/ANCH/unc_t5d,ANCH,unc_t5d,taper,2,SLOW+FAST,0.02500,0.96338,0.28228,31.88855,0.94092,12.43645,7.73901,43.76098,7.33071,0.78661,9.52407,0.55418,44.40139,45.21384,53.23886,64.08755,78.81758,7.76124,9.80750,14.21559,6.45435,-16.44730,-15.84150,-4.24112,12.82547,30.83146,True,False,True,True,3,False,0.00073,1.57125,0.00339,1.56676,,,,
A_4rung/MID/unc_t5d,MID,unc_t5d,taper,2,SLOW+FAST,0.01884,0.93889,0.26253,31.99589,0.87510,14.34889,9.10547,45.10293,5.98876,0.87990,9.76885,0.53801,46.67308,44.81000,52.89417,63.82283,78.66144,8.75142,11.07957,16.00129,7.24988,-16.48118,-15.86924,-3.96161,12.87591,32.33728,True,False,True,True,3,False,0.00103,1.57125,0.00350,1.56676,,,,
A_4rung/FREE/unc_t5d,FREE,unc_t5d,taper,2,SLOW+FAST,0.00500,0.06889,0.21203,24.69350,0.70676,20.41336,14.85165,50.20150,0.89019,0.79729,27.28251,0.07033,74.64866,39.29988,48.19117,60.21094,76.53102,7.03486,8.02970,9.60669,2.57183,-16.45934,-15.70334,-3.18718,14.73082,35.47068,True,True,True,False,3,False,0.00242,0.34587,0.01596,0.34587,,,,
B_seam/ANCH/unc_t5d,ANCH,unc_t5d,taper,3,SLOWP+FAST,0.02568,0.95662,0.29726,29.28684,0.99087,11.62401,7.07733,42.98096,8.04866,0.96010,8.72177,0.54467,47.57060,46.42008,55.43521,67.18738,82.14798,8.94967,11.13120,15.68516,6.73549,-16.49072,-15.87183,-3.97364,13.32520,29.27841,True,False,True,True,3,False,,,0.00321,1.59756,0.00135,1.24621,0.00068,1.66109
B_seam/MID/unc_t5d,MID,unc_t5d,taper,3,SLOWP+FAST,0.02175,0.94872,0.27310,32.39384,0.91034,11.99544,8.58253,44.66848,6.36115,0.83928,7.96259,0.58605,43.27156,47.15934,56.05008,67.64010,82.39429,8.02108,10.00077,14.22966,6.20859,-16.49261,-15.89379,-4.12861,12.79911,31.90653,True,False,True,True,3,False,,,0.00288,1.59756,0.00121,1.24621,0.00047,1.66109
B_seam/FREE/unc_t5d,FREE,unc_t5d,taper,3,SLOWP+FAST,0.00500,0.06619,0.19073,24.19111,0.63576,18.87174,14.91550,50.29101,0.73862,0.77140,27.74720,0.03578,76.52207,40.84684,50.79970,63.77430,80.29107,6.52184,7.45243,8.90608,2.38423,-16.48337,-15.70023,-3.19190,14.77135,35.51965,True,True,True,False,3,False,,,0.01599,0.35862,0.00121,0.35862,0.00182,0.35862
C_both/ANCH/unc_t5d,ANCH,unc_t5d,taper,3,SLOWP+FAST,0.02617,0.95747,0.30149,29.60935,1.00497,11.33152,6.89517,42.81903,8.21059,0.96568,8.12281,0.56386,46.50624,46.80532,55.17682,66.25404,80.76428,9.05715,11.23014,15.78114,6.72400,-16.49267,-15.87995,-3.99300,13.29764,29.12246,True,False,True,True,3,False,,,0.00339,1.56676,0.00093,1.54476,0.00073,1.62212
C_both/MID/unc_t5d,MID,unc_t5d,taper,3,SLOWP+FAST,0.02265,0.95035,0.27743,33.05693,0.92476,11.74987,8.32970,44.44751,6.58211,0.83903,7.17219,0.61376,41.58780,47.64049,55.88057,66.78387,81.06629,8.19447,10.23790,14.66448,6.47001,-16.49095,-15.90071,-4.19207,12.73162,31.73347,True,False,True,True,3,False,,,0.00293,1.56676,0.00121,1.54476,0.00051,1.62212
C_both/FREE/unc_t5d,FREE,unc_t5d,taper,3,SLOWP+FAST,0.00500,0.05744,0.19645,23.64036,0.65482,18.97878,15.21805,50.55554,0.47409,0.76675,27.09019,0.04139,76.31008,41.11358,50.38083,62.64329,78.70610,6.55591,7.39735,8.66655,2.11064,-16.49130,-15.70142,-3.14477,14.94857,35.60697,True,True,True,False,3,False,,,0.01639,0.26423,0.00121,0.26423,0.00201,0.26423
C_both/ANCH/unc_sx2,ANCH,unc_sx2,taper,3,SLOWP+FAST,0.02697,0.95827,0.00000,39.49751,0.00000,-19.00573,-23.66204,43.76955,7.34054,0.96568,8.12281,0.56386,46.50624,46.80532,55.17682,66.25404,80.76428,9.05715,11.23014,15.78114,6.72400,-31.87191,-29.80420,-5.55460,14.21625,29.07361,True,False,True,True,3,False,,,0.00339,1.56676,0.00093,1.54476,0.00073,1.62212
C_both/MID/unc_sx2,MID,unc_sx2,taper,3,SLOWP+FAST,0.01863,0.92833,0.00000,41.01122,0.00000,-18.13335,-21.45167,46.04309,5.06701,0.84724,7.39364,0.60413,42.31812,47.51814,55.77747,66.70625,81.02205,8.21900,10.26696,14.69448,6.47549,-32.03053,-29.73226,-5.68609,13.73327,32.40230,True,False,True,True,3,False,,,0.00303,1.56676,0.00121,1.54476,0.00052,1.62212
C_both/FREE/unc_sx2,FREE,unc_sx2,taper,3,SLOWP+FAST,0.00500,0.04272,0.00000,28.80431,0.00000,-10.00977,-13.58297,51.49483,-0.38473,0.76130,28.00832,0.02149,77.46471,40.86847,50.17429,62.48779,78.61746,6.47910,7.29213,8.49476,2.01566,-31.38762,-29.34634,-4.34384,15.80931,35.68552,True,True,True,False,3,False,,,0.01714,0.22395,0.00121,0.22395,0.00207,0.22395
