year,arm,med_cm,p05_cm,p95_cm
1990,control,-0.32097222355480826,-0.3958341726408673,-0.25134501945792886
1991,control,-0.30612646470072624,-0.3643116561770572,-0.24162647287537464
1992,control,-0.2801385378140989,-0.33313376871664396,-0.2314824025086022
1993,control,-0.26745727748316717,-0.30281444360633286,-0.22233626618712884
1994,control,-0.2636155510065542,-0.30293965630604525,-0.21629051440266964
1995,control,-0.25852722877607875,-0.3020621345168813,-0.2080272972946376
1996,control,-0.249592552922839,-0.279408986998405,-0.19822215554489608
1997,control,-0.22795472844418985,-0.24982266086478594,-0.18636989733636283
1998,control,-0.2015213604488506,-0.21899151209879864,-0.17380871621203203
1999,control,-0.17407414140208355,-0.18851498815252002,-0.15863549882841105
2000,control,-0.14557503383025883,-0.15967842667520252,-0.13551224365197653
2001,control,-0.11615106839876349,-0.13312922520810017,-0.10784051841746359
2002,control,-0.0852035956614205,-0.10333568993255884,-0.07847627140489497
2003,control,-0.053893033491708986,-0.07153879422445414,-0.0480566068745107
2004,control,-0.022467184040578514,-0.03903701612648448,-0.016955308047207407
2005,control,0.009329647465675162,-0.006151057773746665,0.015182889437157777
2006,control,0.04083525471326943,0.02589614610113552,0.04791261285078737
2007,control,0.07258476548757531,0.05816819996681402,0.0812077023180848
2008,control,0.10439201762903105,0.0905173517823301,0.11463363141057221
2009,control,0.13621797235710642,0.12223489335038537,0.14809133510709743
2010,control,0.16824962851009106,0.15422667701289242,0.18153379887967933
2011,control,0.20086293842193748,0.1861866145864061,0.21517977093199953
2012,control,0.23495463327489763,0.2191104550361439,0.2503434111936537
2013,control,0.26832548058354055,0.2511951401757085,0.2846418387379495
2014,control,0.30228054116463077,0.2834262027891468,0.3200325669276058
2015,control,0.336818818624821,0.3161347532950714,0.3558326056032941
2016,control,0.37184772527114607,0.34950727230703144,0.39251197576513197
2017,control,0.40705522513229986,0.3823673809366255,0.43008638903231283
2018,control,0.4436929521983327,0.41596781732509924,0.4690373689898729
2019,control,0.4800727774060003,0.448259754004331,0.5077411631462725
2020,control,0.5173385758446227,0.4819474220666907,0.5483582993502829
2021,control,0.55532405710557,0.5157014644965061,0.5900904780846051
2022,control,0.5934256212281507,0.5500494784404972,0.6320823512073726
2023,control,0.632600911665251,0.5839411400068543,0.6759100308603516
2024,control,0.6717214604694539,0.6178076600510226,0.7197042667404153
2025,control,0.7118055681197414,0.6526960516328951,0.7656189719639629
2026,control,0.7526001392619147,0.6862796335408596,0.8124916493381165
2027,control,0.7945272947891764,0.7203026576553192,0.8601697382263751
2028,control,0.837157184974186,0.7543024530747642,0.908816374907076
2029,control,0.8797715844466815,0.7884395302061754,0.958850318168621
2030,control,0.9226879712021602,0.8228977684192167,1.0099515477554284
2031,control,0.9675674822885346,0.8577886647899049,1.0620942814419
2032,control,1.0119058141217077,0.8935292084203738,1.115164215415945
2033,control,1.0565410532069408,0.928428178866247,1.1685045540303125
2034,control,1.1019296309916682,0.9636682656458483,1.2244562112946231
2035,control,1.1491817732151932,1.0000675210429057,1.2807283774000133
2036,control,1.1968442002952115,1.0367816217490826,1.3386444905173613
2037,control,1.2449769949741485,1.0734261063060786,1.3969638548141199
2038,control,1.2946405567456565,1.1106073780636037,1.4574494516249392
2039,control,1.3443333002580926,1.146823454859169,1.521444880116898
2040,control,1.3956521600257945,1.1841311141669109,1.5868785980078675
2041,control,1.4476470862544542,1.2212990020571204,1.6523916720961505
2042,control,1.5011960532723885,1.2582979839989032,1.7211174918551881
2043,control,1.55610653758407,1.2975616890448696,1.7881803965804752
2044,control,1.6115739660177288,1.336004103619406,1.8621563508425312
2045,control,1.668452433503895,1.3746839975042542,1.9385491102769123
2046,control,1.725414117233065,1.4133985868766896,2.016385986772434
2047,control,1.784060179586271,1.4544934329890546,2.105306453029981
2048,control,1.847602457511465,1.4938127531971401,2.1961938504312113
2049,control,1.9118833405571367,1.5329493913679735,2.331837003126722
2050,control,1.976414829613382,1.5750899358607966,2.524444916426819
2051,control,2.044043461609881,1.6148981687429298,3.312861816323211
2052,control,2.116794838158846,1.6597011122029512,4.196556347589602
2053,control,2.187423367629215,1.7031018927523127,5.106748806438205
2054,control,2.261327163818569,1.7484408281048898,6.332259786590162
2055,control,2.342276505938039,1.790069284368706,7.485288339570927
2056,control,2.4269606005881688,1.8378560141354416,8.464498997025265
2057,control,2.5221883376556455,1.8906970940230121,9.607240249237371
2058,control,2.6132392489171514,1.9409414540117442,10.481448548488286
2059,control,2.7042666936229196,1.9982783733532719,11.780059437622004
2060,control,2.8151507522221078,2.060860205281476,13.113635062909971
2061,control,2.9276421911157007,2.1307027187340903,14.080966150782755
2062,control,3.0519165992261557,2.184148201485571,15.055719353602592
2063,control,3.178583494752212,2.241066690779999,16.278426565691156
2064,control,3.331902457525646,2.302197993823043,17.57691096336732
2065,control,3.4858616125616813,2.363515368481869,18.663116611446465
2066,control,3.6806295587881745,2.4282949461261367,19.95931896133165
2067,control,3.917006033852875,2.490845777519529,21.044351474009282
2068,control,4.191721154142948,2.581918760616931,22.307771049217017
2069,control,5.056138059854479,2.656410196682848,23.70148579173003
2070,control,5.999359523484415,2.7300030357929543,25.07539784379071
2071,control,7.028532265987205,2.82403881448204,26.24991454388062
2072,control,8.02868958910535,2.929496597761301,27.429482937361236
2073,control,9.045873863762559,3.0344987503547154,28.665135902100133
2074,control,10.019676494245793,3.1481756327785284,30.03757313316869
2075,control,10.945839542241888,3.2672635464346693,31.51596257876113
2076,control,11.910540830881178,3.3889436482758946,32.82383756070148
2077,control,12.856351491016511,3.4876672338671804,34.10796273852382
2078,control,13.821304444029256,3.6182470998503016,35.36125604182873
2079,control,14.849348527647965,3.8212085132712708,36.61280604073943
2080,control,15.857056984914944,3.960041242352794,38.05678599699914
2081,control,16.86810030956386,4.136454247107835,39.338304245401076
2082,control,17.877893761604504,4.369216808540073,40.6434922226445
2083,control,18.88463078975279,4.658127679606129,42.027191869201054
2084,control,19.9602624551433,4.893268100432466,43.32932760698024
2085,control,21.04317633660662,5.300928721641576,44.70121269012265
2086,control,22.151491933442145,5.618682806331359,46.266458207991434
2087,control,23.201838538584667,6.178882423178847,47.72349650962426
2088,control,24.22755993897846,6.69869078818013,49.121076265410984
2089,control,25.231783015153027,7.399970323305883,50.40977976323614
2090,control,26.21553974637871,8.104823731407816,51.853302630025055
2091,control,27.31199894546465,9.076728510274716,53.225299044085475
2092,control,28.303900847737616,9.943916557433234,54.706677812738654
2093,control,29.383154533004344,10.66559961208792,56.11221063210583
2094,control,30.434499739808032,11.540881602265014,57.73897409134442
2095,control,31.56759533978912,12.358977888154499,59.485781987890526
2096,control,32.61050695081202,13.15529677763256,60.77230521863618
2097,control,33.6854832094358,13.972167106175727,62.24187090351563
2098,control,34.73291907643768,14.748118620529707,63.699450602817805
2099,control,35.910803324801805,15.732781710327183,65.3159791088159
2100,control,37.07302382802588,16.45111107047176,67.00880260515375
2101,control,38.102866897891204,17.22840651046729,68.6711301134241
2102,control,39.13088213768169,18.05557577165913,70.18619631987119
2103,control,40.24802137188518,18.97841422893914,71.71350981062997
2104,control,41.170873816727564,19.866010187760075,73.01878847261766
2105,control,42.251843848167056,20.723261705724525,74.31966450624466
2106,control,43.345282617162525,21.366186809366145,75.92807245857348
2107,control,44.40396386944958,22.048108527002277,77.54801344893498
2108,control,45.51951167718643,22.784346023963348,79.20772717004301
2109,control,46.53935632719903,23.686487918647376,80.74122056400341
2110,control,47.68136187939379,24.310963450926373,82.25616784674708
2111,control,48.79647810053934,24.9692654950629,83.6077991537177
2112,control,49.964634853316596,25.66532453439968,85.1315684305155
2113,control,51.0655313320717,26.398229362943002,86.7899114603553
2114,control,52.17412656283021,27.222213483902294,88.38217592637942
2115,control,53.29993940784891,27.99640658169944,89.90701617447985
2116,control,54.43172754770521,28.68270718016153,91.33044570373748
2117,control,55.57347833111575,29.38291475488143,92.81882790584005
2118,control,56.714111932730404,30.038419798821284,94.28001265133777
2119,control,57.827693454378526,30.718442364150043,95.73165773393464
2120,control,58.931288840160605,31.45325648301469,97.31758640444404
2121,control,60.05365085355551,32.21535393836595,99.08978893923731
2122,control,61.18256553208599,32.98098910369318,100.72005755389935
2123,control,62.27428165487856,33.67537400611522,102.55096619516812
2124,control,63.390242940323745,34.38211067845964,104.39899827158419
2125,control,64.55874390691224,35.15142435607119,105.94574185750527
2126,control,65.71759977653718,35.800465574631,107.47916790384846
2127,control,66.85560136343801,36.51799579820674,109.01352391275168
2128,control,67.94937168847596,37.2544279736678,110.49239849637502
2129,control,69.12821417206885,38.058332020160634,111.94818450519624
2130,control,70.27517879955755,38.72800761565193,113.40494144267092
2131,control,71.5868990037176,39.53605487802907,115.05175917657017
2132,control,72.72345175459954,40.3128026055335,116.71627147294679
2133,control,74.02382991778944,41.00610540843,118.35936112359224
2134,control,75.25753552478575,41.67274444544692,120.15159381996499
2135,control,76.34763102674664,42.41610337461063,121.92352365415456
2136,control,77.39297818324815,43.12449222305238,123.69511864376088
2137,control,78.57537631138396,43.83775460806174,125.46561292673154
2138,control,79.62056179870791,44.63646655654223,127.24740893013883
2139,control,80.86563904258315,45.38191266134722,129.04903364572692
2140,control,82.08610123850704,46.22703396290004,130.8150107770646
2141,control,83.32135420848941,46.9354408163726,132.58727434088132
2142,control,84.58975502034723,47.64954530636388,134.35873668501952
2143,control,85.81813857979208,48.51866039943451,136.09786896394255
2144,control,87.06910397574362,49.43258466800329,137.86074896540086
2145,control,88.26589787425509,50.348346868373035,139.61824301134817
2146,control,89.45384514033577,51.136090227876615,141.4007904931662
2147,control,90.78195640184114,51.789108746574186,143.2327101283903
2148,control,92.0022969322942,52.44303140273863,145.03859413163391
2149,control,93.1563496732474,53.09857928364802,146.74135427318458
2150,control,94.34845106432459,53.76145648576979,148.5505844726424
2151,control,95.5093073786528,54.604912504652006,150.39043951426316
2152,control,96.66650706577408,55.335279554522025,152.17857950155616
2153,control,97.92676214547654,56.0628729054738,154.03880920492725
2154,control,99.13599022217491,56.70385561409267,155.81973350632512
2155,control,100.35498396153865,57.449610118659415,157.6769118395563
2156,control,101.5266237787713,58.30373755766285,159.47912619582354
2157,control,102.72197080376087,59.156717020602635,161.25386219101247
2158,control,103.95402630589177,59.878009951764085,162.98068861572733
2159,control,105.196676767626,60.56813857312086,164.92185839113864
2160,control,106.4957511187352,61.260806781274525,166.72987709223506
2161,control,107.74651252284087,61.95707843743295,168.53838911559356
2162,control,108.95276951086248,62.68828106229031,170.5268182515754
2163,control,110.20943370875915,63.39867145423456,172.3021129104339
2164,control,111.35117438460321,64.16785479656694,174.01519285301913
2165,control,112.52560856611203,64.91296703203427,175.895189273746
2166,control,113.73681830672155,65.58912788936777,177.62624996608312
2167,control,114.90246522416675,66.26618931123033,179.43381420161174
2168,control,116.09803834342317,66.94375030167465,181.2223873460009
2169,control,117.34584814579668,67.62148323823119,182.96086546814178
2170,control,118.566181592824,68.3012365452696,184.58166830206653
2171,control,119.75953245655401,69.0461411961276,186.2742724290984
2172,control,120.9435297312721,69.89574891909537,187.96732640431918
2173,control,122.19234773733774,70.7752656599775,189.66022021728085
2174,control,123.44037061193114,71.65759045238129,191.3536569226521
2175,control,124.68310994706644,72.41068955866513,193.07403620055314
2176,control,125.95791724692504,73.13658782406974,194.86615959768284
2177,control,127.20940705987574,73.86405387756872,196.65966281327638
2178,control,128.49922901329393,74.5921058353295,198.45329179338367
2179,control,129.64874042542723,75.3316340713361,200.2432069296143
2180,control,130.95579280120805,76.11816580487674,202.029225058702
2181,control,132.19442310755267,76.90485065027201,203.81496302764666
2182,control,133.4464338647333,77.6921480969574,205.60101009020553
2183,control,134.67451631740374,78.45223208095366,207.38684497318854
2184,control,135.89193755328023,79.15126423608264,209.17254478836392
2185,control,137.13738108511274,79.8675568020385,211.0080835007074
2186,control,138.388525630693,80.6556635234551,212.87620374075328
2187,control,139.71573503231502,81.44663756700082,214.7715166508762
2188,control,140.9987137924782,82.21477650084418,216.6672649406479
2189,control,142.25149136094538,82.94255139396563,218.56392233340543
2190,control,143.4665214578938,83.6706453689796,220.46091812015922
2191,control,144.65289181600204,84.41067903365587,222.35855179976957
2192,control,145.91068226983893,85.22735513207044,224.2562367146411
2193,control,147.2215826810849,85.97123104913145,226.15375227113125
2194,control,148.512067108305,86.79363543400468,228.0513512835647
2195,control,149.76066441135387,87.59995817129355,229.94362652283456
2196,control,151.00801104312046,88.33127098414421,231.83262183302026
2197,control,152.2250338226106,89.1209094209325,233.57918143379658
2198,control,153.4723677162003,89.9528435980759,235.32134390983066
2199,control,154.68772432938925,90.72270432952706,237.0633290059382
2200,control,155.97312384970712,91.48792371748692,238.79959605104162
2201,control,157.17170135658088,92.2777840735501,240.53477368463393
2202,control,158.3960331181088,93.06960210288047,242.26970307176694
2203,control,159.54827874268454,93.86364274755881,244.00415244275862
2204,control,160.80682667552264,94.6582978883983,245.7381810507472
2205,control,162.08544564792234,95.45339739638848,247.47158385644906
2206,control,163.43040045622405,96.2489319653341,249.2730180174479
2207,control,164.74206342508376,97.03893122164828,251.11135163377992
2208,control,166.00479628679503,97.80827004506799,252.94491905768183
2209,control,167.2441663368938,98.57799849207244,254.77717603813727
2210,control,168.44720106913223,99.34851819281938,256.6100513454863
2211,control,169.68968205881464,100.12049551709919,258.2826468908518
2212,control,170.93319317684262,100.89446142442013,259.9366902927891
2213,control,172.11057596267776,101.64227490986455,261.5907640802838
2214,control,173.30212683540816,102.43971950066691,263.4301791082031
2215,control,174.53690668402504,103.21342594040881,265.3527023406852
2216,control,175.82867486518847,103.98747664983699,267.2747012352821
2217,control,177.04628117093938,104.76162261290224,269.1973605936499
2218,control,178.33496463859166,105.55796210496932,271.0737293317019
2219,control,179.66696677581191,106.32948224046396,272.84453896778194
2220,control,180.91390751129816,107.0784509975447,274.61524685734173
2221,control,182.12777760600406,107.84947016924788,276.384240498994
2222,control,183.37754192965875,108.62103312876785,278.1505087294565
2223,control,184.66319974516216,109.39338622317207,279.9172167119741
2224,control,185.915599168492,110.16647850604933,281.68436262662146
2225,control,187.13560374393873,110.94075161041152,283.45010775791314
2226,control,188.39421978724482,111.71607171260662,285.2066122701093
2227,control,189.66508335209872,112.49097626606041,286.96217693461324
2228,control,190.9032850866023,113.26592816018264,288.7173835499192
2229,control,192.16976139701285,114.02018349440387,290.4714467255756
2230,control,193.50770182819286,114.72289468872944,292.3894208491639
2231,control,194.75048979903812,115.45589621027653,294.06247337222544
2232,control,195.97681919057288,116.22191652305696,295.75984427748045
2233,control,197.20103598197755,116.92044400391838,297.51574594889655
2234,control,198.5148466114601,117.7025599393808,299.2712792185801
2235,control,199.78611730892055,118.55418883706359,301.026874092068
2236,control,201.02179960245311,119.33338206252883,302.78241291070555
2237,control,202.31382139481755,120.11251615347958,304.6715382760162
2238,control,203.58378745507434,120.89107188015636,306.4184719059623
2239,control,204.8482344524253,121.66604040823447,308.12098752673955
2240,control,206.11301164630777,122.4422018983498,309.831213085782
2241,control,207.33967934426423,123.32599457485044,311.59483022979964
2242,control,208.61841536001424,124.11263448578799,313.35874064647646
2243,control,209.95244806177453,124.88721953975131,315.11201726718383
2244,control,211.29210459872291,125.66199490784427,316.9651834579703
2245,control,212.56882078763044,126.43719215416525,318.822548846346
2246,control,213.78585799874136,127.21225610812398,320.71638390333874
2247,control,215.06728963561204,127.98717555228117,322.7763631545092
2248,control,216.28182810470872,128.76222399424694,324.4750621256821
2249,control,217.54640586918106,129.5366325413707,326.29243963176515
2250,control,218.8440260703301,130.29502522041875,328.1679677926958
2251,control,220.14093834265861,131.04562788651285,330.0425610131368
