marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
M,CH4,0.01,glaciers,2100,2000,13.2761160644746,13.277135457259256,0.0010215442585650436,0.0010193927846557926,0.001053912073719343,0.0007115901177717098,0.0014867516177318406,0.10215442585650436,5.3904786573075774e-6,0.008568370986920332,0.001044615821567339,9.298409786752821e-6
M,CH4,0.01,glaciers,2150,2000,21.115971983960797,21.116586940232505,0.0008271070960468307,0.0006149562717077117,0.0008420529651872241,0.0005172665133370558,0.001237587016925623,0.08271070960468307,4.874151062213725e-6,0.009307372175980976,0.0008342608702224446,7.787760794305574e-6
M,CH4,0.01,glaciers,2300,2000,33.24258302749521,33.24270636215463,0.00016740474223730928,0.00012333465942049315,0.00018504342069674174,0.0,0.00045690767661099585,0.016740474223730928,3.352156863370429e-6,0.009615338882282996,0.00018360332239759534,1.395163307335464e-6
M,CH4,0.01,gis,2100,2000,6.9834240635981315,6.983797322114138,0.00034648831728212315,0.00037325851600655824,0.0004077748313429108,7.438982060126165e-5,0.0009755162190616672,0.034648831728212315,6.71622493017217e-6,0.008568370986920332,0.00040400518910340403,3.7718788452493365e-6
M,CH4,0.01,gis,2150,2000,11.646630240170426,11.647096119945362,0.00039058117557999594,0.0004658797749357291,0.00046651684796637484,8.42235284004289e-5,0.0011427213157810812,0.039058117557999594,7.924190436108535e-6,0.009307372175980976,0.00046187509632780385,4.670486621013994e-6
M,CH4,0.01,gis,2300,2000,26.187816579797264,26.18823768985218,0.0004170966788841213,0.0004211100549156299,0.0005088791732953321,9.072316288882831e-5,0.001306002499337211,0.04170966788841213,9.025341395345945e-6,0.009615338882282996,0.0005035971066383401,5.333608151555561e-6
M,CH4,0.01,ais,2100,2000,27.47715688594801,27.509942868686565,2.213201330292236e-5,0.03278598273855593,0.008528919520434495,-0.0004952445554992302,0.0011997107022612141,0.002213201330292236,0.0021299961920313018,0.008568370986920332,0.0001403572910624813,0.008456027093208631
M,CH4,0.01,ais,2150,2000,72.74265804223575,72.74458881495306,7.301196146158873e-5,0.0019307727173156763,0.008454608062650961,-0.000526592477547183,0.0018212197922650828,0.007301196146158873,0.0020793628177301075,0.009307372175980976,0.00026331265785726625,0.008969110315310502
M,CH4,0.01,ais,2300,2000,212.79611141017784,212.79613308259576,0.00020530157243570102,2.167241791539709e-5,0.008260138849784628,-0.0005368355677113357,0.00343762609084166,0.020530157243570102,0.001936827725544758,0.009615338882282996,0.0006291952645111934,0.008631446510014674
M,CH4,0.01,te,2100,2000,19.64553864803208,19.647326083593903,0.0017668379144275548,0.0017874355618232585,0.0018483751661812588,0.00104475019802015,0.0029144832743735805,0.17668379144275548,1.3142567983839439e-5,0.008568370986920332,0.0018319349875411386,1.6445067749189663e-5
M,CH4,0.01,te,2150,2000,31.66627453291553,31.667460765414816,0.001447682874765377,0.0011862324992861772,0.0015224208227397052,0.0007966869919908249,0.002480115452909004,0.1447682874765377,1.2131132498792633e-5,0.009307372175980976,0.001507458027631027,1.503883138124876e-5
M,CH4,0.01,te,2300,2000,56.20498857952818,56.20572722792482,0.0008448029678511659,0.0007386483966413948,0.0009125061679365842,0.00030998892160631896,0.001736933447180888,0.0844802967851166,1.0293710644636298e-5,0.009615338882282996,0.0009023928716506758,1.0290732598829069e-5
M,CH4,0.01,lws,2100,2000,2.342515618878139,2.342515618878139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008568370986920332,0.0,0.0
M,CH4,0.01,lws,2150,2000,4.0429579468315175,4.0429579468315175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009307372175980976,0.0,0.0
M,CH4,0.01,lws,2300,2000,8.89738572754609,8.89738572754609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615338882282996,0.0,0.0
M,CH4,0.01,total,2100,2000,71.03623077177319,71.0395236626209,0.0032445277254460336,0.0032928908477032337,0.011838981591677906,0.0020449635684393285,0.005721548312035195,0.32445277254460336,0.0021304902038784363,0.008568370986920332,0.0034209132892742723,0.00848554244958981
M,CH4,0.01,total,2150,2000,143.58232117916012,143.58531013811574,0.002817771090711574,0.002988958955626231,0.011285598698543809,0.0016366476001486775,0.005516343980532665,0.2817771090711574,0.002079823746596997,0.009307372175980976,0.0030669066520380753,0.00899660739410708
M,CH4,0.01,total,2300,2000,344.97475370652836,344.9761651935842,0.0017592421395988822,0.0014114870558614712,0.0098665676117147,0.0006315922918730621,0.005716481533690396,0.17592421395988822,0.0019373105833051948,0.009615338882282996,0.0022187885651990123,0.008648466014072625
