year,incumbent_hindcast_cm,stock_hindcast_cm,A_hindcast_cm,B_hindcast_cm,A+B_hindcast_cm,A+B'_hindcast_cm,A+B+C_hindcast_cm,A+B'+C_hindcast_cm,A+B+C+D_hindcast_cm,A+B'+C+D_hindcast_cm,A+B'+C+D2_hindcast_cm
1850,-6.27266719,-27.0634823,-5.44143697,-24.0735429,-5.88104987,-7.84149446,-3.05876119,-3.34715262,-5.29968442,-3.20808956,-0.165159323
1851,-6.23205024,-26.12786,-5.40136274,-23.210001,-5.82976421,-7.74005555,-3.0425134,-3.33731731,-5.24587555,-3.20416582,-0.165094286
1852,-6.19124726,-25.2088587,-5.31790848,-22.3614355,-5.73968322,-7.60393544,-3.02581252,-3.30967104,-5.17341049,-3.17951142,-0.153232154
1853,-6.15025761,-24.3070084,-5.23749686,-21.5280651,-5.65255327,-7.47149568,-3.00865653,-3.28273175,-5.10094543,-3.15547805,-0.135069907
1854,-6.10923657,-23.4348456,-5.19684316,-20.7243089,-5.60163518,-7.37282748,-2.99138386,-3.27189775,-5.04016821,-3.15023762,-0.128451857
1855,-6.06812958,-22.5874751,-5.17131102,-19.9443417,-5.56483942,-7.28906235,-2.97387586,-3.26849532,-5.0295271,-3.14952914,-0.127288281
1856,-6.02719366,-21.7830374,-5.16238562,-19.2095962,-5.53564231,-7.2231513,-2.95669178,-3.26848923,-5.02942709,-3.14952902,-0.127288281
1857,-5.98685178,-21.0485655,-5.07029308,-18.5525305,-5.43886317,-7.0867602,-2.9407547,-3.23652528,-4.95696203,-3.12027138,-0.397810576
1858,-5.94675506,-20.3553845,-5.04226515,-17.9397398,-5.40076512,-7.00321265,-2.9253014,-3.2314114,-4.93818259,-3.11905404,-0.782463709
1859,-5.90651375,-19.6757169,-5.01225907,-17.3381007,-5.36117276,-6.9186551,-2.90948862,-3.22516383,-4.9124518,-3.11742322,-0.780938106
1860,-5.86597288,-19.00003,-5.01225906,-16.7356966,-5.33752805,-6.86982357,-2.89297576,-3.22515806,-4.91238548,-3.1174231,-0.780938106
1861,-5.82526242,-18.3374252,-4.97628855,-16.1432348,-5.29307733,-6.78137238,-2.87604437,-3.21576049,-4.86520517,-3.1139069,-0.773201079
1862,-5.78436984,-17.6874641,-4.96579694,-15.5600017,-5.26618492,-6.7180171,-2.85866726,-3.21575429,-4.86510516,-3.11390677,-0.773201079
1863,-5.74360078,-17.0678745,-4.96579694,-15.0079044,-5.24491472,-6.67488367,-2.84151141,-3.2157482,-4.86510506,-3.11390665,-0.773201079
1864,-5.70299021,-16.4790424,-4.96579693,-14.4876875,-5.23582487,-6.67069997,-2.8246538,-3.21574226,-4.86510496,-3.11390653,-0.773201079
1865,-5.66342658,-15.9663423,-4.92951573,-14.0566757,-5.19212671,-6.58417533,-2.81001436,-3.20601889,-4.82415974,-3.11035043,-1.40246851
1866,-5.6241688,-15.4855865,-4.92951573,-13.6608145,-5.16969329,-6.53451408,-2.79596721,-3.20601418,-4.82405974,-3.11035032,-1.85389643
1867,-5.58445227,-14.9968658,-4.92951572,-13.2495606,-5.15715992,-6.51743336,-2.78091276,-3.20600904,-4.82405965,-3.11035021,-1.85389643
1868,-5.5443628,-14.5059806,-4.90478077,-12.8294867,-5.12501572,-6.44270087,-2.76500568,-3.202252,-4.81313696,-3.10957059,-1.85098709
1869,-5.50408947,-14.0230297,-4.90478077,-12.4132435,-5.10458266,-6.39797434,-2.74864968,-3.20224629,-4.81308617,-3.10957048,-1.85098709
1870,-5.46372227,-13.5524196,-4.90474672,-12.0064906,-5.08329315,-6.34950577,-2.73204056,-3.20224046,-4.81298617,-3.10957036,-1.85098709
