param,horizon,r,r2
ais_iceflow0,2100,-0.018524649109374357,0.0003431626246254442
ais_iceflow0,2150,-0.03152250659978488,0.0009936684223334814
ais_iceflow0,2300,-0.03290326585336702,0.001082624903817348
antarctic_temp_threshold,2100,-0.5898714176645224,0.3479482893775535
antarctic_temp_threshold,2150,-0.6591517508010273,0.43448103058405957
antarctic_temp_threshold,2300,-0.6450203694892654,0.41605127705606854
ais_gmst_amp,2100,0.4127864710317052,0.17039267066680877
ais_gmst_amp,2150,0.4607302819111883,0.21227239266996306
ais_gmst_amp,2300,0.46693109343264005,0.21802464601420082
antarctic_alpha,2100,0.03874325630789348,0.0015010399093391279
antarctic_alpha,2150,0.042411530692526386,0.0017987379356831077
antarctic_alpha,2300,0.04001914248991486,0.0016015317656281089
antarctic_gamma,2100,-0.005643141316929406,3.184504392283576e-5
antarctic_gamma,2150,-0.0005264241627434964,2.771223991201911e-7
antarctic_gamma,2300,-0.00915599219135609,8.383219300817371e-5
ais_mu,2100,0.0017153059802523895,2.942274605889611e-6
ais_mu,2150,-0.02662935148869644,0.0007091223607085393
ais_mu,2300,-0.049104017286445846,0.0024112045136675726
